# E_keV  H_X  H_O  H_total  H_bb
4.308667e-03  3.857459e-03  7.772166e-03  1.162962e-02  8.130248e-02
4.754779e-03  8.300494e-03  1.069600e-02  1.899649e-02  9.875174e-02
5.247082e-03  3.696155e-03  5.264427e-02  5.634042e-02  1.199133e-01
5.790357e-03  9.431964e-03  8.273842e-03  1.770581e-02  1.455655e-01
6.389882e-03  4.854208e-02  1.341462e-02  6.195670e-02  1.766465e-01
7.051481e-03  1.495230e-01  1.073294e-02  1.602559e-01  2.142847e-01
7.781580e-03  9.273475e-02  1.241827e-01  2.169175e-01  2.598364e-01
8.587273e-03  1.731795e-02  1.471975e-02  3.203770e-02  3.149289e-01
9.476387e-03  1.392966e-01  2.006903e-01  3.399869e-01  3.815117e-01
1.045756e-02  2.260301e-01  1.439256e-01  3.699557e-01  4.619157e-01
1.154032e-02  1.761518e-01  3.470048e-01  5.231565e-01  5.589221e-01
1.273518e-02  3.321749e-01  4.503098e-01  7.824848e-01  6.758412e-01
1.405377e-02  1.434084e-01  4.740786e-01  6.174870e-01  8.166029e-01
1.550887e-02  6.043807e-01  2.744717e-01  8.788525e-01  9.858580e-01
1.711464e-02  1.973937e-01  1.263522e+00  1.460915e+00  1.189092e+00
1.888666e-02  8.806010e-01  1.446540e+00  2.327141e+00  1.432748e+00
2.084216e-02  1.275428e+00  1.638165e+00  2.913593e+00  1.724360e+00
2.300012e-02  1.626252e+00  1.110185e+00  2.736438e+00  2.072692e+00
2.538152e-02  5.292365e+01  7.973743e-01  5.372102e+01  2.487875e+00
2.800948e-02  2.292699e+00  2.717579e+00  5.010279e+00  2.981535e+00
3.090954e-02  4.912697e+00  6.348502e+00  1.126120e+01  3.566904e+00
3.410987e-02  6.947088e+00  7.165865e+00  1.411295e+01  4.258887e+00
3.764155e-02  3.602642e+01  8.548610e+00  4.457503e+01  5.074064e+00
4.153890e-02  1.322304e+01  2.209455e+01  3.531760e+01  6.030601e+00
4.583978e-02  1.107904e+01  1.724206e+01  2.832110e+01  7.148024e+00
5.058596e-02  1.403295e+01  2.920234e+02  3.060564e+02  8.446789e+00
5.582355e-02  1.914998e+01  1.701553e+01  3.616550e+01  9.947614e+00
6.160344e-02  4.989762e+01  7.199393e+01  1.218915e+02  1.167046e+01
6.798177e-02  3.131040e+01  2.668744e+01  5.799784e+01  1.363311e+01
7.502050e-02  9.666312e+01  7.754634e+01  1.742095e+02  1.584922e+01
8.278800e-02  3.458874e+01  9.138191e+01  1.259706e+02  1.832583e+01
9.135975e-02  5.004155e+01  4.180000e+02  4.680416e+02  2.106017e+01
1.008190e-01  1.123396e+02  1.457128e+02  2.580525e+02  2.403588e+01
1.112576e-01  9.129131e+01  1.629456e+02  2.542369e+02  2.721873e+01
1.227771e-01  1.289899e+02  1.696743e+02  2.986643e+02  3.055197e+01
1.354892e-01  2.068124e+02  2.239510e+02  4.307633e+02  3.395201e+01
1.495176e-01  2.736574e+02  2.413221e+02  5.149794e+02  3.730487e+01
1.649984e-01  2.512708e+02  3.291386e+02  5.804095e+02  4.046478e+01
1.820821e-01  7.460010e+02  3.164439e+02  1.062445e+03  4.325605e+01
2.009346e-01  2.987727e+02  3.437361e+02  6.425089e+02  4.547983e+01
2.217391e-01  4.203061e+02  4.068859e+02  8.271920e+02  4.692717e+01
2.446976e-01  4.155706e+02  4.659166e+02  8.814872e+02  4.739925e+01
2.700332e-01  5.161013e+02  5.125201e+02  1.028621e+03  4.673414e+01
2.979921e-01  5.570423e+02  5.613650e+02  1.118407e+03  4.483779e+01
3.288457e-01  5.872028e+02  6.091493e+02  1.196352e+03  4.171401e+01
3.628939e-01  6.177296e+02  6.499019e+02  1.267632e+03  3.748608e+01
4.004674e-01  6.591892e+02  6.812387e+02  1.340428e+03  3.240161e+01
4.419312e-01  6.727313e+02  6.993421e+02  1.372073e+03  2.681377e+01
4.876881e-01  6.618178e+02  7.040081e+02  1.365826e+03  2.113735e+01
5.381826e-01  7.745234e+02  6.897483e+02  1.464272e+03  1.578552e+01
5.939052e-01  1.143622e+03  6.574029e+02  1.801025e+03  1.110172e+01
6.553972e-01  1.659798e+02  6.068275e+02  7.728072e+02  7.305016e+00
7.232560e-01  5.222582e+02  5.408871e+02  1.063145e+03  4.465523e+00
7.981409e-01  4.415238e+02  4.635379e+02  9.050617e+02  2.516371e+00
8.807792e-01  3.762694e+02  3.792575e+02  7.555269e+02  1.296084e+00
9.719737e-01  2.926897e+02  2.954996e+02  5.881893e+02  6.044841e-01
1.072610e+00  2.171214e+02  2.179231e+02  4.350445e+02  2.526719e-01
1.183667e+00  1.504903e+02  1.510703e+02  3.015606e+02  9.358759e-02
1.306222e+00  9.755144e+01  9.783374e+01  1.953852e+02  3.033402e-02
1.441466e+00  5.867415e+01  5.876337e+01  1.174375e+02  8.485772e-03
1.590713e+00  3.243091e+01  3.248171e+01  6.491262e+01  2.017813e-03
1.755413e+00  1.635495e+01  1.637405e+01  3.272900e+01  4.010436e-04
1.937166e+00  7.454272e+00  7.458560e+00  1.491283e+01  6.539732e-05
2.137738e+00  3.035325e+00  3.036871e+00  6.072196e+00  8.572110e-06
2.359076e+00  1.092166e+00  1.092899e+00  2.185065e+00  8.829888e-07
2.603331e+00  3.429967e-01  3.431011e-01  6.860978e-01  6.971496e-08
2.872876e+00  9.262731e-02  9.266291e-02  1.852902e-01  4.104325e-09
3.170329e+00  2.118917e-02  2.119634e-02  4.238551e-02  1.747858e-10
3.498580e+00  4.034993e-03  4.035710e-03  8.070703e-03  5.206621e-12
3.860818e+00  6.275133e-04  6.275182e-04  1.255031e-03  1.045492e-13
4.260561e+00  7.806178e-05  7.806658e-05  1.561284e-04  1.358520e-15
4.701693e+00  7.588948e-06  7.589800e-06  1.517875e-05  1.091996e-17
5.188499e+00  5.621591e-07  5.621819e-07  1.124341e-06  5.166404e-20
5.725708e+00  3.084157e-08  3.084135e-08  6.168292e-08  1.361867e-22
6.318540e+00  1.214995e-09  1.215019e-09  2.430015e-09  1.882607e-25
6.972752e+00  3.320950e-11  3.320853e-11  6.641803e-11  1.276552e-28
7.694700e+00  6.063542e-13  6.062084e-13  1.212563e-12  3.944050e-32
8.491397e+00  7.093350e-15  7.091228e-15  1.418458e-14  5.118301e-36
9.370584e+00  5.076050e-17  5.074409e-17  1.015046e-16  2.550255e-40
1.034080e+01  2.112310e-19  2.111475e-19  4.223786e-19  4.418474e-45
