theta_deg,mode,energy_keV,ff_cm2_g,pp_cm2_g,absorption_cm2_g,scattering_cm2_g,total_cm2_g
5.0,1,0.02378463920804954,2.9698832167479917e-6,3.5060129489023376e-7,3.3204845116382254e-6,1.6783477395639578e-10,3.320652346412182e-6
5.0,1,0.02407259499360342,3.029533161099547e-6,3.500088559169421e-7,3.379542017016489e-6,1.7192550830745312e-10,3.3797139425247966e-6
5.0,1,0.024364037001239913,3.0934463588437635e-6,3.494170565681684e-7,3.442863415411932e-6,1.7611606244437884e-10,3.4430395314743764e-6
5.0,1,0.02465900743794015,3.158776503339577e-6,3.4882591063942334e-7,3.507602413979e-6,1.8040888066049235e-10,3.5077828228596608e-6
5.0,1,0.024957549021676597,3.2255496557984887e-6,3.482354322646256e-7,3.5737850880631142e-6,1.8480646774167652e-10,3.5739698945308557e-6
5.0,1,0.025259704987599524,3.293797442230482e-6,3.476456359262438e-7,3.641443078156726e-6,1.8931139051543925e-10,3.6416323895472414e-6
5.0,1,0.02556551909429835,3.363562830692848e-6,3.470565364640854e-7,3.7106193671569333e-6,1.939262794352775e-10,3.7108132934363685e-6
5.0,1,0.025875035630138845,3.4348797012512303e-6,3.464681490837993e-7,3.7813478503350297e-6,1.986538302155809e-10,3.7815465041652454e-6
5.0,1,0.026188299419677,3.507786303732996e-6,3.4588048936577424e-7,3.85366679309877e-6,2.0349680551026144e-10,3.85387028990428e-6
5.0,1,0.026505355830150568,3.5823219929476263e-6,3.452935732743715e-7,3.927615566221997e-6,2.0845803663722158e-10,3.9278240242586345e-6
5.0,1,0.02682625077804926,3.6585272700115085e-6,3.447074171671412e-7,4.00323468717865e-6,2.1354042535550442e-10,4.003448227604005e-6
5.0,1,0.027151030735764334,3.7364438207350023e-6,3.441220378044526e-7,4.080565858539455e-6,2.187469456907526e-10,4.080784605485146e-6
5.0,1,0.027479742738318852,3.816114558345382e-6,3.435374523592514e-7,4.1596520107046335e-6,2.2408064581515627e-10,4.159876091350448e-6
5.0,1,0.02781243439017932,3.8975836657608856e-6,3.429536784271388e-7,4.240537344188025e-6,2.2954464998078506e-10,4.2407668888380056e-6
5.0,1,0.02814915387214983,3.980896640227558e-6,3.423707340366746e-7,4.323267374264232e-6,2.3514216050999297e-10,4.323502516424742e-6
5.0,1,0.028489949948349667,4.066100342365079e-6,3.4178863765984594e-7,4.407888980024926e-6,2.4087645984644917e-10,4.408129856484772e-6
