 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
  0.80   7.5423   1.061  -119.19  20.68  18.81  1.779  0.960 9.06E-01 9.06E-01 9.04E-03 4.60E-03  -8.520  -8.521
  1.00   7.7344   1.042  -119.56  19.81  17.92  1.751  0.960 9.09E-01 9.09E-01 1.40E-02 6.04E-03  -8.431  -8.433
  1.20   7.9264   1.023  -119.93  18.97  18.03  1.776  0.958 9.02E-01 9.02E-01 2.08E-02 1.00E-02  -8.314  -8.320
  1.40   8.1177   1.003  -120.34  18.09  19.19  1.866  0.953 8.85E-01 8.85E-01 2.92E-02 1.93E-02  -8.156  -8.164
  1.60   8.3076   0.980  -120.80  17.17  21.25  2.016  0.945 8.56E-01 8.56E-01 3.78E-02 3.88E-02  -7.931  -7.941
  1.80   8.4958   0.953  -121.35  16.18  23.85  2.221  0.936 8.13E-01 8.13E-01 4.36E-02 7.63E-02  -7.652  -7.660
  2.00   8.6823   0.924  -121.97  15.13  26.81  2.454  0.926 7.57E-01 7.57E-01 4.24E-02 1.40E-01  -7.344  -7.347
  2.20   8.8674   0.893  -122.70  13.99  28.67  2.682  0.924 6.88E-01 6.88E-01 3.22E-02 2.33E-01  -7.013  -7.015
  2.40   9.0524   0.863  -123.47  12.81  29.38  2.882  0.927 6.12E-01 6.12E-01 1.69E-02 3.43E-01  -6.646  -6.648
  2.60   9.2389   0.836  -124.26  11.64  28.77  3.037  0.940 5.31E-01 5.31E-01 5.11E-03 4.50E-01  -6.243  -6.244
  2.80   9.4293   0.818  -125.04  10.48  26.97  3.163  0.966 4.50E-01 4.50E-01 6.57E-04 5.42E-01  -5.794  -5.795
  3.00   9.6267   0.813  -125.77   9.36  24.19  3.294  1.012 3.71E-01 3.71E-01 2.24E-05 6.23E-01  -5.183  -5.184
  3.20   9.8359   0.830  -126.45   8.29  21.03  3.469  1.090 2.98E-01 2.98E-01 9.52E-08 6.98E-01  -4.446  -4.447
  3.40  10.0671   0.892  -127.04   7.26  17.71  3.763  1.250 2.29E-01 2.29E-01 1.52E-11 7.66E-01  -3.469  -3.471
     5.800    14.900
 -7.40   0.0170   1.997   -81.51  69.11   1.00  1.001  1.000 6.64E-04 1.11E-04 0.00E+00 1.23E-02  -9.357  -9.357
