 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    14.700
 -7.40  -0.3830   1.998   -64.54  69.34   1.00  1.001  1.000 6.33E-04 1.04E-04 0.00E+00 1.13E-02  -9.157  -9.157
 -7.20  -0.1831   1.997   -64.54  68.42   1.00  1.001  0.999 7.08E-04 1.20E-04 0.00E+00 1.28E-02  -9.157  -9.157
 -7.00   0.0168   1.997   -64.54  67.50   1.01  1.001  0.999 7.92E-04 1.42E-04 0.00E+00 1.46E-02  -9.157  -9.157
 -6.80   0.2167   1.996   -64.53  66.59   1.01  1.001  0.999 8.81E-04 1.65E-04 0.00E+00 1.66E-02  -9.157  -9.157
 -6.60   0.4166   1.996   -64.53  65.67   1.01  1.001  0.999 9.79E-04 1.95E-04 0.00E+00 1.87E-02  -9.157  -9.157
 -6.40   0.6165   1.995   -64.53  64.75   1.01  1.002  0.999 1.09E-03 2.33E-04 0.00E+00 2.11E-02  -9.156  -9.156
 -6.20   0.8163   1.994   -64.53  63.84   1.01  1.002  0.999 1.19E-03 2.71E-04 0.00E+00 2.37E-02  -9.156  -9.156
 -6.00   1.0162   1.994   -64.53  62.92   1.02  1.002  0.999 1.32E-03 3.27E-04 0.00E+00 2.64E-02  -9.156  -9.156
 -5.80   1.2160   1.993   -64.53  62.01   1.02  1.002  0.999 1.44E-03 3.80E-04 2.99E-19 2.94E-02  -9.156  -9.156
 -5.60   1.4159   1.992   -64.53  61.09   1.02  1.003  0.999 1.59E-03 4.65E-04 1.18E-18 3.26E-02  -9.156  -9.156
 -5.40   1.6158   1.992   -64.53  60.18   1.03  1.003  0.999 1.74E-03 5.43E-04 4.63E-18 3.58E-02  -9.156  -9.156
 -5.20   1.8156   1.991   -64.53  59.26   1.04  1.003  0.999 1.93E-03 6.76E-04 1.82E-17 3.92E-02  -9.156  -9.156
 -5.00   2.0155   1.990   -64.52  58.35   1.05  1.004  0.999 2.12E-03 7.98E-04 7.16E-17 4.27E-02  -9.156  -9.156
 -4.80   2.2153   1.990   -64.52  57.43   1.08  1.005  0.999 2.40E-03 1.02E-03 2.81E-16 4.64E-02  -9.156  -9.156
 -4.60   2.4152   1.989   -64.53  56.52   1.11  1.006  0.999 2.76E-03 1.33E-03 1.10E-15 5.01E-02  -9.155  -9.155
