 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    12.900
 -7.40  -1.9827   1.999  -1.437 65.867  1.538  1.001  1.000 4.47E-04 6.28E-05 0.00E+00 7.30E-03 -6.010 -6.010
 -7.20  -1.7828   1.998  -1.437 64.947  1.538  1.001  1.000 5.11E-04 7.39E-05 0.00E+00 8.40E-03 -6.010 -6.010
 -7.00  -1.5829   1.998  -1.436 64.028  1.538  1.001  1.000 5.83E-04 8.76E-05 0.00E+00 9.64E-03 -6.010 -6.010
 -6.80  -1.3830   1.997  -1.436 63.108  1.538  1.001  0.999 6.65E-04 1.05E-04 0.00E+00 1.10E-02 -6.009 -6.009
 -6.60  -1.1831   1.997  -1.435 62.189  1.539  1.001  0.999 7.56E-04 1.25E-04 0.00E+00 1.26E-02 -6.008 -6.008
 -6.40  -0.9832   1.996  -1.435 61.270  1.541  1.002  0.999 8.59E-04 1.52E-04 0.00E+00 1.44E-02 -6.006 -6.006
 -6.20  -0.7833   1.996  -1.435 60.351  1.544  1.002  0.999 9.75E-04 1.85E-04 1.07E-19 1.64E-02 -6.002 -6.002
 -6.00  -0.5835   1.995  -1.434 59.431  1.548  1.002  0.999 1.11E-03 2.31E-04 4.22E-19 1.87E-02 -5.997 -5.997
 -5.80  -0.3837   1.994  -1.434 58.512  1.555  1.003  0.999 1.26E-03 2.91E-04 1.66E-18 2.12E-02 -5.989 -5.990
 -5.60  -0.1838   1.994  -1.434 57.593  1.567  1.003  0.999 1.44E-03 3.75E-04 6.55E-18 2.39E-02 -5.977 -5.978
 -5.40   0.0160   1.993  -1.434 56.674  1.585  1.004  0.999 1.66E-03 4.91E-04 2.58E-17 2.69E-02 -5.959 -5.960
