 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    14.300
 -7.40  -0.3830   1.998   -25.09  67.50   1.00  1.001  1.000 6.28E-04 9.90E-05 0.00E+00 1.13E-02  -8.348  -8.348
 -7.20  -0.1831   1.997   -25.09  66.58   1.00  1.001  0.999 7.03E-04 1.15E-04 0.00E+00 1.28E-02  -8.348  -8.348
 -7.00   0.0168   1.997   -25.09  65.66   1.00  1.001  0.999 7.84E-04 1.34E-04 0.00E+00 1.46E-02  -8.347  -8.347
 -6.80   0.2167   1.996   -25.08  64.74   1.00  1.001  0.999 8.71E-04 1.55E-04 0.00E+00 1.66E-02  -8.347  -8.347
 -6.60   0.4166   1.996   -25.08  63.83   1.01  1.001  0.999 9.64E-04 1.81E-04 0.00E+00 1.87E-02  -8.346  -8.346
 -6.40   0.6165   1.995   -25.08  62.91   1.01  1.001  0.999 1.06E-03 2.09E-04 0.00E+00 2.11E-02  -8.346  -8.346
 -6.20   0.8163   1.994   -25.08  61.99   1.01  1.002  0.999 1.17E-03 2.44E-04 0.00E+00 2.37E-02  -8.345  -8.345
 -6.00   1.0162   1.994   -25.08  61.08   1.01  1.002  0.999 1.27E-03 2.82E-04 0.00E+00 2.64E-02  -8.344  -8.344
 -5.80   1.2161   1.993   -25.08  60.16   1.01  1.002  0.999 1.39E-03 3.29E-04 0.00E+00 2.94E-02  -8.343  -8.343
 -5.60   1.4159   1.992   -25.08  59.25   1.01  1.002  0.999 1.51E-03 3.81E-04 0.00E+00 3.26E-02  -8.343  -8.343
 -5.40   1.6158   1.992   -25.08  58.34   1.01  1.002  0.999 1.64E-03 4.45E-04 0.00E+00 3.58E-02  -8.341  -8.341
 -5.20   1.8157   1.991   -25.07  57.42   1.02  1.002  0.999 1.77E-03 5.16E-04 0.00E+00 3.92E-02  -8.340  -8.340
 -5.00   2.0155   1.991   -25.07  56.51   1.02  1.003  0.999 1.92E-03 6.06E-04 2.86E-19 4.28E-02  -8.339  -8.339
 -4.80   2.2154   1.990   -25.07  55.59   1.02  1.003  0.999 2.09E-03 7.15E-04 1.12E-18 4.64E-02  -8.337  -8.337
 -4.60   2.4153   1.990   -25.07  54.68   1.03  1.003  0.999 2.27E-03 8.34E-04 4.41E-18 5.01E-02  -8.335  -8.335
 -4.40   2.6152   1.989   -25.07  53.77   1.03  1.003  0.999 2.48E-03 9.94E-04 1.73E-17 5.39E-02  -8.332  -8.332
 -4.20   2.8151   1.988   -25.07  52.85   1.04  1.004  0.999 2.70E-03 1.17E-03 6.76E-17 5.79E-02  -8.328  -8.328
 -4.00   3.0149   1.988   -25.07  51.94   1.05  1.004  0.999 2.99E-03 1.41E-03 2.65E-16 6.18E-02  -8.323  -8.323
 -3.80   3.2148   1.987   -25.07  51.03   1.07  1.005  0.999 3.30E-03 1.68E-03 1.04E-15 6.58E-02  -8.316  -8.317
 -3.60   3.4146   1.986   -25.07  50.11   1.10  1.007  0.999 3.72E-03 2.08E-03 4.05E-15 6.99E-02  -8.307  -8.307
