 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    13.100
 -7.40  -1.9827   1.999  -3.086 66.620  1.222  1.001  1.000 4.78E-04 7.60E-05 0.00E+00 7.63E-03 -6.559 -6.559
 -7.20  -1.7828   1.998  -3.085 65.700  1.224  1.001  1.000 5.50E-04 9.23E-05 0.00E+00 8.77E-03 -6.559 -6.559
 -7.00  -1.5829   1.998  -3.085 64.780  1.227  1.001  0.999 6.34E-04 1.15E-04 0.00E+00 1.01E-02 -6.559 -6.559
 -6.80  -1.3830   1.997  -3.085 63.861  1.232  1.001  1.000 7.33E-04 1.47E-04 0.00E+00 1.15E-02 -6.558 -6.558
 -6.60  -1.1831   1.997  -3.084 62.942  1.238  1.002  0.999 8.46E-04 1.87E-04 3.84E-19 1.32E-02 -6.558 -6.558
 -6.40  -0.9833   1.996  -3.084 62.022  1.250  1.002  0.999 9.86E-04 2.47E-04 1.52E-18 1.50E-02 -6.557 -6.557
 -6.20  -0.7834   1.995  -3.084 61.103  1.267  1.003  0.999 1.15E-03 3.26E-04 6.00E-18 1.71E-02 -6.556 -6.556
 -6.00  -0.5836   1.995  -3.085 60.182  1.294  1.004  0.999 1.37E-03 4.50E-04 2.36E-17 1.95E-02 -6.554 -6.554
 -5.80  -0.3838   1.994  -3.086 59.261  1.336  1.005  0.999 1.64E-03 6.21E-04 9.31E-17 2.20E-02 -6.551 -6.551
 -5.60  -0.1840   1.993  -3.089 58.340  1.403  1.007  0.999 2.01E-03 8.92E-04 3.67E-16 2.49E-02 -6.547 -6.547
 -5.40   0.0157   1.992  -3.094 57.417  1.506  1.010  0.999 2.50E-03 1.28E-03 1.44E-15 2.79E-02 -6.540 -6.540
 -5.20   0.2154   1.990  -3.102 56.490  1.669  1.015  0.998 3.22E-03 1.89E-03 5.65E-15 3.13E-02 -6.529 -6.530
 -5.00   0.4150   1.988  -3.116 55.559  1.924  1.023  1.000 4.28E-03 2.84E-03 2.21E-14 3.49E-02 -6.513 -6.513
 -4.80   0.6146   1.986  -3.138 54.620  2.316  1.034  0.997 5.78E-03 4.23E-03 8.63E-14 3.86E-02 -6.488 -6.489
 -4.60   0.8139   1.983  -3.173 53.671  2.923  1.052  0.996 8.09E-03 6.45E-03 3.36E-13 4.24E-02 -6.452 -6.453
 -4.40   1.0130   1.979  -3.228 52.702  3.852  1.078  0.995 1.15E-02 9.74E-03 1.30E-12 4.64E-02 -6.401 -6.403
 -4.20   1.2117   1.973  -3.315 51.704  5.272  1.119  0.992 1.67E-02 1.49E-02 4.98E-12 5.03E-02 -6.332 -6.335
 -4.00   1.4099   1.965  -3.446 50.665  7.385  1.180  0.989 2.45E-02 2.26E-02 1.89E-11 5.41E-02 -6.241 -6.247
 -3.80   1.6072   1.953  -3.647 49.560 10.486  1.270  0.984 3.63E-02 3.43E-02 7.05E-11 5.75E-02 -6.126 -6.137
 -3.60   1.8033   1.935  -3.943 48.368 14.848  1.397  0.976 5.33E-02 5.13E-02 2.57E-10 6.03E-02 -5.985 -6.004
 -3.40   1.9977   1.911  -4.375 47.047 20.749  1.574  0.967 7.81E-02 7.60E-02 9.03E-10 6.25E-02 -5.818 -5.849
 -3.20   2.1900   1.877  -4.972 45.577 28.098  1.801  0.954 1.12E-01 1.10E-01 3.05E-09 6.31E-02 -5.628 -5.681
 -3.00   2.3793   1.831  -5.762 43.936 35.885  2.090  0.939 1.58E-01 1.55E-01 9.72E-09 6.16E-02 -5.414 -5.493
 -2.80   2.5657   1.775  -6.764 42.105 44.952  2.367  0.924 2.15E-01 2.13E-01 2.89E-08 5.87E-02 -5.185 -5.298
 -2.60   2.7492   1.709  -7.949 40.118 52.276  2.652  0.909 2.82E-01 2.80E-01 7.97E-08 5.42E-02 -4.950 -5.095
