 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    13.200
 -7.40  -1.9827   1.999  -4.185 67.045  1.114  1.001  1.000 5.00E-04 9.48E-05 0.00E+00 7.68E-03 -6.817 -6.817
 -7.20  -1.7828   1.998  -4.185 66.125  1.118  1.001  1.000 5.80E-04 1.19E-04 0.00E+00 8.83E-03 -6.817 -6.817
 -7.00  -1.5829   1.998  -4.185 65.205  1.126  1.001  0.999 6.80E-04 1.58E-04 2.22E-19 1.01E-02 -6.817 -6.817
 -6.80  -1.3830   1.997  -4.185 64.285  1.138  1.002  1.000 8.03E-04 2.13E-04 8.78E-19 1.16E-02 -6.816 -6.816
 -6.60  -1.1832   1.997  -4.185 63.365  1.156  1.003  0.999 9.47E-04 2.83E-04 3.47E-18 1.33E-02 -6.816 -6.816
 -6.40  -0.9833   1.996  -4.186 62.445  1.185  1.003  0.999 1.14E-03 3.99E-04 1.37E-17 1.51E-02 -6.816 -6.816
 -6.20  -0.7835   1.995  -4.187 61.525  1.228  1.005  0.999 1.38E-03 5.53E-04 5.42E-17 1.72E-02 -6.815 -6.815
 -6.00  -0.5837   1.994  -4.190 60.601  1.298  1.007  0.999 1.73E-03 8.07E-04 2.14E-16 1.96E-02 -6.814 -6.814
 -5.80  -0.3839   1.993  -4.195 59.678  1.405  1.010  0.999 2.18E-03 1.16E-03 8.41E-16 2.22E-02 -6.812 -6.812
 -5.60  -0.1842   1.992  -4.203 58.751  1.575  1.015  0.998 2.86E-03 1.74E-03 3.31E-15 2.50E-02 -6.809 -6.809
 -5.40   0.0155   1.990  -4.217 57.819  1.834  1.022  0.998 3.79E-03 2.57E-03 1.30E-14 2.80E-02 -6.805 -6.805
