 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    12.000
 -7.40  -1.9823   2.000   1.769 64.076  2.191  1.001  1.000 1.46E-04 1.97E-05 0.00E+00 2.44E-03 -3.387 -3.387
 -7.20  -1.7824   2.000   1.769 63.155  2.191  1.001  1.000 1.66E-04 2.29E-05 0.00E+00 2.82E-03 -3.356 -3.355
 -7.00  -1.5824   2.000   1.769 62.235  2.191  1.001  1.000 1.90E-04 2.67E-05 0.00E+00 3.25E-03 -3.323 -3.322
 -6.80  -1.3824   2.000   1.769 61.314  2.191  1.001  1.000 2.15E-04 3.10E-05 0.00E+00 3.74E-03 -3.289 -3.288
 -6.60  -1.1825   2.000   1.768 60.393  2.191  1.001  1.000 2.44E-04 3.62E-05 0.00E+00 4.31E-03 -3.253 -3.253
 -6.40  -0.9825   2.000   1.768 59.472  2.191  1.001  1.000 2.76E-04 4.21E-05 0.00E+00 4.95E-03 -3.216 -3.216
 -6.20  -0.7826   1.999   1.768 58.551  2.191  1.001  1.000 3.11E-04 4.91E-05 0.00E+00 5.67E-03 -3.176 -3.177
 -6.00  -0.5826   1.999   1.767 57.630  2.191  1.001  1.000 3.49E-04 5.72E-05 0.00E+00 6.49E-03 -3.135 -3.137
 -5.80  -0.3827   1.999   1.767 56.710  2.191  1.002  1.000 3.90E-04 6.67E-05 0.00E+00 7.42E-03 -3.092 -3.095
 -5.60  -0.1828   1.998   1.767 55.789  2.191  1.002  1.000 4.35E-04 7.79E-05 0.00E+00 8.45E-03 -3.049 -3.053
 -5.40   0.0172   1.998   1.766 54.868  2.191  1.002  1.000 4.82E-04 9.10E-05 0.00E+00 9.60E-03 -3.004 -3.008
 -5.20   0.2171   1.998   1.765 53.948  2.191  1.002  1.000 5.34E-04 1.06E-04 0.00E+00 1.09E-02 -2.956 -2.961
 -5.00   0.4170   1.997   1.765 53.027  2.191  1.002  1.000 5.89E-04 1.25E-04 0.00E+00 1.23E-02 -2.902 -2.910
 -4.80   0.6169   1.997   1.764 52.107  2.191  1.003  1.000 6.49E-04 1.47E-04 0.00E+00 1.38E-02 -2.840 -2.856
 -4.60   0.8168   1.996   1.763 51.186  2.191  1.003  0.999 7.13E-04 1.73E-04 0.00E+00 1.55E-02 -2.766 -2.797
 -4.40   1.0167   1.996   1.762 50.266  2.192  1.003  0.999 7.82E-04 2.06E-04 0.00E+00 1.72E-02 -2.666 -2.729
 -4.20   1.2166   1.995   1.761 49.344  2.193  1.004  0.999 8.62E-04 2.46E-04 1.61E-19 1.93E-02 -2.512 -2.641
 -4.00   1.4165   1.995   1.759 48.423  2.194  1.004  0.999 9.51E-04 2.96E-04 6.37E-19 2.13E-02 -2.181 -2.479
 -3.80   1.6163   1.994   1.758 47.502  2.196  1.004  0.999 1.06E-03 3.60E-04 2.51E-18 2.35E-02 -1.703 -2.071
 -3.60   1.8162   1.994   1.756 46.581  2.198  1.005  0.999 1.18E-03 4.44E-04 9.91E-18 2.57E-02 -1.912 -2.215
 -3.40   2.0161   1.993   1.753 45.660  2.203  1.006  0.999 1.34E-03 5.55E-04 3.91E-17 2.81E-02 -1.940 -2.190
 -3.20   2.2159   1.992   1.750 44.738  2.210  1.007  0.999 1.55E-03 7.07E-04 1.54E-16 3.05E-02 -1.871 -2.095
 -3.00   2.4157   1.991   1.746 43.816  2.221  1.008  0.999 1.82E-03 9.18E-04 6.04E-16 3.30E-02 -1.750 -1.964
 -2.80   2.6154   1.990   1.741 42.893  2.239  1.009  0.998 2.20E-03 1.22E-03 2.37E-15 3.56E-02 -1.598 -1.810
 -2.60   2.8150   1.988   1.735 41.969  2.266  1.012  0.998 2.73E-03 1.65E-03 9.27E-15 3.82E-02 -1.429 -1.642
 -2.40   3.0146   1.986   1.726 41.047  2.307  1.015  0.997 3.50E-03 2.28E-03 3.63E-14 4.06E-02 -1.253 -1.464
 -2.20   3.2140   1.983   1.713 40.119  2.372  1.020  0.997 4.62E-03 3.21E-03 1.41E-13 4.33E-02 -1.068 -1.274
 -2.00   3.4132   1.980   1.696 39.188  2.471  1.028  0.995 6.29E-03 4.60E-03 5.48E-13 4.61E-02 -0.873 -1.071
 -1.80   3.6120   1.975   1.670 38.252  2.624  1.039  0.994 8.91E-03 6.69E-03 2.11E-12 4.89E-02 -0.673 -0.862
 -1.60   3.8105   1.968   1.634 37.307  2.853  1.054  0.991 1.27E-02 9.81E-03 8.05E-12 5.18E-02 -0.472 -0.649
 -1.40   4.0084   1.958   1.582 36.350  3.196  1.077  0.988 1.84E-02 1.45E-02 3.03E-11 5.45E-02 -0.269 -0.433
 -1.20   4.2056   1.945   1.508 35.376  3.696  1.110  0.984 2.67E-02 2.14E-02 1.12E-10 5.72E-02 -0.065 -0.213
 -1.00   4.4018   1.929   1.401 34.377  4.405  1.156  0.978 3.86E-02 3.14E-02 4.08E-10 6.01E-02  0.139  0.009
 -0.80   4.5964   1.905   1.252 33.343  5.378  1.219  0.970 5.56E-02 4.59E-02 1.44E-09 6.22E-02  0.338  0.225
 -0.60   4.7894   1.874   1.047 32.268  6.629  1.299  0.960 7.96E-02 6.58E-02 4.85E-09 6.48E-02  0.526  0.428
