 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    14.200
 -7.40  -0.3830   1.998   -19.72  67.04   1.00  1.001  1.000 6.28E-04 9.89E-05 0.00E+00 1.13E-02  -8.141  -8.141
 -7.20  -0.1831   1.997   -19.72  66.12   1.00  1.001  0.999 7.03E-04 1.15E-04 0.00E+00 1.28E-02  -8.140  -8.140
 -7.00   0.0168   1.997   -19.72  65.20   1.00  1.001  0.999 7.84E-04 1.33E-04 0.00E+00 1.46E-02  -8.140  -8.140
 -6.80   0.2167   1.996   -19.72  64.28   1.00  1.001  0.999 8.71E-04 1.55E-04 0.00E+00 1.66E-02  -8.139  -8.139
 -6.60   0.4166   1.996   -19.72  63.37   1.01  1.001  0.999 9.63E-04 1.79E-04 0.00E+00 1.87E-02  -8.138  -8.138
 -6.40   0.6165   1.995   -19.72  62.45   1.01  1.001  0.999 1.06E-03 2.08E-04 0.00E+00 2.11E-02  -8.136  -8.136
 -6.20   0.8163   1.994   -19.71  61.53   1.01  1.002  0.999 1.16E-03 2.41E-04 0.00E+00 2.37E-02  -8.135  -8.135
 -6.00   1.0162   1.994   -19.71  60.62   1.01  1.002  0.999 1.27E-03 2.80E-04 0.00E+00 2.64E-02  -8.134  -8.134
 -5.80   1.2161   1.993   -19.71  59.70   1.01  1.002  0.999 1.39E-03 3.25E-04 0.00E+00 2.94E-02  -8.132  -8.132
 -5.60   1.4159   1.992   -19.71  58.79   1.01  1.002  0.999 1.51E-03 3.78E-04 0.00E+00 3.26E-02  -8.130  -8.130
 -5.40   1.6158   1.992   -19.71  57.88   1.01  1.002  0.999 1.63E-03 4.37E-04 0.00E+00 3.58E-02  -8.128  -8.128
 -5.20   1.8157   1.991   -19.71  56.96   1.01  1.002  0.999 1.77E-03 5.09E-04 0.00E+00 3.92E-02  -8.126  -8.126
