 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    12.500
 -7.40  -1.9826   1.999   0.613 64.862  2.277  1.001  1.000 3.24E-04 4.39E-05 0.00E+00 5.36E-03 -4.660 -4.660
 -7.20  -1.7826   1.999   0.613 63.942  2.277  1.001  1.000 3.70E-04 5.11E-05 0.00E+00 6.17E-03 -4.647 -4.647
 -7.00  -1.5827   1.999   0.613 63.021  2.276  1.001  1.000 4.21E-04 5.96E-05 0.00E+00 7.10E-03 -4.632 -4.632
 -6.80  -1.3828   1.998   0.613 62.101  2.276  1.001  1.000 4.78E-04 6.95E-05 0.00E+00 8.15E-03 -4.614 -4.616
 -6.60  -1.1828   1.998   0.613 61.181  2.276  1.002  1.000 5.42E-04 8.11E-05 0.00E+00 9.35E-03 -4.592 -4.596
 -6.40  -0.9829   1.998   0.613 60.261  2.275  1.002  1.000 6.12E-04 9.47E-05 0.00E+00 1.07E-02 -4.563 -4.570
 -6.20  -0.7830   1.997   0.613 59.341  2.275  1.002  0.999 6.89E-04 1.11E-04 0.00E+00 1.22E-02 -4.522 -4.536
 -6.00  -0.5832   1.997   0.613 58.421  2.275  1.002  0.999 7.73E-04 1.30E-04 0.00E+00 1.39E-02 -4.466 -4.487
 -5.80  -0.3833   1.996   0.613 57.502  2.274  1.003  0.999 8.64E-04 1.53E-04 0.00E+00 1.58E-02 -4.382 -4.422
 -5.60  -0.1834   1.995   0.612 56.582  2.274  1.003  1.001 9.64E-04 1.80E-04 0.00E+00 1.78E-02 -4.281 -4.336
 -5.40   0.0165   1.995   0.612 55.661  2.274  1.003  0.999 1.07E-03 2.14E-04 0.00E+00 2.03E-02 -4.205 -4.251
 -5.20   0.2163   1.994   0.612 54.741  2.275  1.003  0.999 1.19E-03 2.56E-04 1.11E-19 2.28E-02 -4.110 -4.146
 -5.00   0.4162   1.993   0.611 53.822  2.276  1.004  0.999 1.32E-03 3.09E-04 4.36E-19 2.55E-02 -3.969 -4.009
 -4.80   0.6160   1.993   0.610 52.902  2.279  1.004  0.999 1.47E-03 3.76E-04 1.72E-18 2.85E-02 -3.806 -3.851
 -4.60   0.8158   1.992   0.610 51.983  2.284  1.005  0.999 1.64E-03 4.66E-04 6.75E-18 3.17E-02 -3.643 -3.684
 -4.40   1.0156   1.991   0.608 51.063  2.292  1.006  0.999 1.83E-03 5.84E-04 2.65E-17 3.51E-02 -3.488 -3.528
 -4.20   1.2155   1.990   0.606 50.143  2.306  1.006  0.999 2.08E-03 7.49E-04 1.04E-16 3.87E-02 -3.320 -3.356
 -4.00   1.4152   1.989   0.604 49.224  2.327  1.008  0.999 2.39E-03 9.78E-04 4.09E-16 4.21E-02 -3.141 -3.175
 -3.80   1.6150   1.988   0.600 48.303  2.362  1.010  0.999 2.80E-03 1.31E-03 1.60E-15 4.59E-02 -2.956 -2.988
 -3.60   1.8148   1.987   0.594 47.381  2.417  1.012  0.999 3.35E-03 1.79E-03 6.27E-15 4.97E-02 -2.766 -2.797
 -3.40   2.0144   1.986   0.586 46.456  2.503  1.016  0.998 4.15E-03 2.50E-03 2.45E-14 5.36E-02 -2.571 -2.603
 -3.20   2.2140   1.984   0.573 45.528  2.637  1.022  0.998 5.30E-03 3.55E-03 9.55E-14 5.75E-02 -2.374 -2.406
