 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    13.600
 -7.40  -0.3830   1.998    -4.18  64.29   1.11  1.001  1.000 6.25E-04 9.81E-05 0.00E+00 1.12E-02  -6.703  -6.703
 -7.20  -0.1831   1.997    -4.18  63.38   1.11  1.001  0.999 7.00E-04 1.14E-04 0.00E+00 1.28E-02  -6.692  -6.692
 -7.00   0.0168   1.997    -4.18  62.46   1.11  1.001  0.999 7.81E-04 1.32E-04 0.00E+00 1.46E-02  -6.681  -6.681
 -6.80   0.2167   1.996    -4.18  61.54   1.11  1.001  0.999 8.67E-04 1.53E-04 0.00E+00 1.65E-02  -6.668  -6.668
 -6.60   0.4166   1.996    -4.18  60.62   1.11  1.001  0.999 9.59E-04 1.78E-04 0.00E+00 1.87E-02  -6.656  -6.656
 -6.40   0.6165   1.995    -4.18  59.71   1.11  1.002  0.999 1.06E-03 2.06E-04 0.00E+00 2.10E-02  -6.643  -6.643
 -6.20   0.8163   1.994    -4.18  58.79   1.11  1.002  0.999 1.16E-03 2.38E-04 0.00E+00 2.36E-02  -6.629  -6.629
 -6.00   1.0162   1.994    -4.18  57.88   1.11  1.002  0.999 1.26E-03 2.76E-04 0.00E+00 2.64E-02  -6.614  -6.614
 -5.80   1.2161   1.993    -4.17  56.96   1.11  1.002  0.999 1.38E-03 3.19E-04 0.00E+00 2.93E-02  -6.599  -6.599
 -5.60   1.4159   1.992    -4.17  56.05   1.11  1.002  0.999 1.49E-03 3.69E-04 0.00E+00 3.25E-02  -6.582  -6.582
 -5.40   1.6158   1.992    -4.17  55.13   1.11  1.002  0.999 1.62E-03 4.26E-04 0.00E+00 3.57E-02  -6.564  -6.564
