 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    13.700
 -7.40  -0.3830   1.998    -5.54  64.74   1.04  1.001  1.000 6.27E-04 9.84E-05 0.00E+00 1.13E-02  -6.975  -6.975
 -7.20  -0.1831   1.997    -5.54  63.82   1.04  1.001  0.999 7.02E-04 1.14E-04 0.00E+00 1.28E-02  -6.966  -6.966
 -7.00   0.0168   1.997    -5.54  62.90   1.04  1.001  0.999 7.83E-04 1.32E-04 0.00E+00 1.46E-02  -6.957  -6.957
 -6.80   0.2167   1.996    -5.54  61.99   1.04  1.001  0.999 8.69E-04 1.54E-04 0.00E+00 1.66E-02  -6.947  -6.947
 -6.60   0.4166   1.996    -5.54  61.07   1.04  1.001  0.999 9.61E-04 1.78E-04 0.00E+00 1.87E-02  -6.936  -6.936
 -6.40   0.6165   1.995    -5.54  60.15   1.04  1.001  0.999 1.06E-03 2.06E-04 0.00E+00 2.11E-02  -6.925  -6.925
 -6.20   0.8163   1.994    -5.54  59.24   1.04  1.002  0.999 1.16E-03 2.39E-04 0.00E+00 2.36E-02  -6.914  -6.914
 -6.00   1.0162   1.994    -5.54  58.32   1.04  1.002  0.999 1.27E-03 2.76E-04 0.00E+00 2.64E-02  -6.901  -6.901
 -5.80   1.2161   1.993    -5.53  57.41   1.04  1.002  0.999 1.38E-03 3.20E-04 0.00E+00 2.94E-02  -6.888  -6.888
 -5.60   1.4159   1.992    -5.53  56.49   1.05  1.002  0.999 1.50E-03 3.70E-04 0.00E+00 3.25E-02  -6.874  -6.874
 -5.40   1.6158   1.992    -5.53  55.58   1.05  1.002  0.999 1.62E-03 4.28E-04 0.00E+00 3.58E-02  -6.859  -6.859
 -5.20   1.8157   1.991    -5.53  54.66   1.05  1.002  0.999 1.75E-03 4.95E-04 0.00E+00 3.92E-02  -6.842  -6.842
 -5.00   2.0155   1.991    -5.53  53.75   1.05  1.002  0.999 1.89E-03 5.72E-04 0.00E+00 4.27E-02  -6.823  -6.823
 -4.80   2.2154   1.990    -5.53  52.84   1.05  1.003  0.999 2.04E-03 6.61E-04 0.00E+00 4.64E-02  -6.800  -6.800
 -4.60   2.4153   1.990    -5.53  51.92   1.05  1.003  0.999 2.20E-03 7.66E-04 0.00E+00 5.01E-02  -6.773  -6.773
 -4.40   2.6152   1.989    -5.52  51.01   1.05  1.003  0.999 2.37E-03 8.85E-04 0.00E+00 5.38E-02  -6.740  -6.740
 -4.20   2.8151   1.989    -5.52  50.10   1.06  1.003  0.999 2.56E-03 1.03E-03 2.33E-19 5.79E-02  -6.697  -6.698
 -4.00   3.0150   1.988    -5.52  49.19   1.06  1.003  0.999 2.77E-03 1.19E-03 9.14E-19 6.18E-02  -6.644  -6.645
 -3.80   3.2148   1.987    -5.52  48.27   1.06  1.003  0.999 3.00E-03 1.38E-03 3.58E-18 6.58E-02  -6.577  -6.578
 -3.60   3.4147   1.987    -5.52  47.36   1.06  1.004  0.999 3.25E-03 1.61E-03 1.40E-17 6.99E-02  -6.494  -6.498
