 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    13.500
 -7.40  -1.9829   1.998  -9.396 68.394  1.240  1.007  0.999 1.14E-03 7.38E-04 2.53E-17 7.69E-03 -7.518 -7.518
 -7.20  -1.7830   1.997  -9.401 67.470  1.350  1.009  0.999 1.46E-03 1.00E-03 1.00E-16 8.84E-03 -7.518 -7.518
 -7.00  -1.5832   1.996  -9.411 66.540  1.550  1.014  0.999 2.08E-03 1.55E-03 3.97E-16 1.01E-02 -7.518 -7.518
 -6.80  -1.3835   1.995  -9.427 65.605  1.864  1.022  1.010 3.00E-03 2.41E-03 1.57E-15 1.16E-02 -7.517 -7.517
 -6.60  -1.1838   1.994  -9.447 64.667  2.282  1.032  0.998 4.05E-03 3.39E-03 6.18E-15 1.32E-02 -7.517 -7.517
 -6.40  -0.9844   1.991  -9.484 63.712  3.007  1.050  0.997 6.02E-03 5.28E-03 2.43E-14 1.50E-02 -7.517 -7.517
 -6.20  -0.7850   1.988  -9.532 62.747  4.005  1.073  0.996 8.41E-03 7.58E-03 9.50E-14 1.70E-02 -7.516 -7.516
 -6.00  -0.5861   1.983  -9.618 61.745  5.677  1.112  0.994 1.27E-02 1.18E-02 3.68E-13 1.92E-02 -7.515 -7.515
 -5.80  -0.3874   1.977  -9.735 60.714  8.006  1.165  0.991 1.82E-02 1.72E-02 1.42E-12 2.16E-02 -7.513 -7.513
 -5.60  -0.1896   1.967  -9.930 59.610 11.676  1.252  0.987 2.76E-02 2.65E-02 5.39E-12 2.39E-02 -7.509 -7.509
 -5.40   0.0076   1.955 -10.199 58.435 16.724  1.368  0.981 3.99E-02 3.87E-02 2.02E-11 2.63E-02 -7.504 -7.504
 -5.20   0.2031   1.934 -10.621 57.118 24.041  1.544  0.973 5.96E-02 5.84E-02 7.32E-11 2.84E-02 -7.494 -7.494
 -5.00   0.3967   1.906 -11.222 55.631 33.670  1.780  1.096 8.78E-02 8.65E-02 2.56E-10 3.00E-02 -7.480 -7.480
 -4.80   0.5886   1.871 -12.004 53.975 45.219  2.064  0.949 1.23E-01 1.21E-01 8.61E-10 3.11E-02 -7.461 -7.461
 -4.60   0.7770   1.822 -13.072 52.057 58.233  2.411  0.934 1.72E-01 1.71E-01 2.70E-09 3.12E-02 -7.434 -7.434
 -4.40   0.9633   1.765 -14.353 49.946 71.068  2.770  0.920 2.29E-01 2.28E-01 8.01E-09 3.03E-02 -7.399 -7.399
 -4.20   1.1460   1.696 -15.886 47.617 81.553  3.113  0.906 2.99E-01 2.98E-01 2.17E-08 2.82E-02 -7.353 -7.353
 -4.00   1.3270   1.623 -17.545 45.189 88.684  3.389  0.896 3.72E-01 3.71E-01 5.54E-08 2.54E-02 -7.297 -7.297
 -3.80   1.5056   1.545 -19.287 42.719 90.757  3.561  0.890 4.51E-01 4.50E-01 1.29E-07 2.18E-02 -7.229 -7.229
 -3.60   1.6842   1.471 -20.984 40.324 89.480  3.624  0.889 5.26E-01 5.25E-01 2.86E-07 1.81E-02 -7.149 -7.149
 -3.40   1.8623   1.399 -22.609 38.040 83.688  3.570  0.892 5.99E-01 5.98E-01 5.86E-07 1.45E-02 -7.057 -7.057
 -3.20   2.0419   1.335 -24.102 35.913 76.034  3.439  0.899 6.64E-01 6.63E-01 1.16E-06 1.13E-02 -6.955 -6.955
 -3.00   2.2227   1.277 -25.407 34.009 66.989  3.232  0.908 7.22E-01 7.22E-01 2.17E-06 8.55E-03 -6.842 -6.842
 -2.80   2.4054   1.227 -26.529 32.311 57.876  2.989  0.918 7.72E-01 7.72E-01 3.94E-06 6.28E-03 -6.719 -6.719
 -2.60   2.5904   1.185 -27.508 30.773 49.321  2.741  0.929 8.14E-01 8.14E-01 7.02E-06 4.54E-03 -6.587 -6.587
 -2.40   2.7773   1.150 -28.302 29.442 41.539  2.490  0.939 8.50E-01 8.49E-01 1.21E-05 3.20E-03 -6.446 -6.446
 -2.20   2.9662   1.121 -28.983 28.234 34.685  2.261  0.949 8.79E-01 8.78E-01 2.07E-05 2.23E-03 -6.298 -6.298
 -2.00   3.1569   1.097 -29.519 27.188 28.892  2.051  0.957 9.02E-01 9.02E-01 3.46E-05 1.52E-03 -6.142 -6.143
 -1.80   3.3492   1.078 -29.977 26.226 23.934  1.869  0.965 9.22E-01 9.21E-01 5.76E-05 1.03E-03 -5.981 -5.981
 -1.60   3.5428   1.062 -30.330 25.381 19.920  1.712  0.971 9.37E-01 9.37E-01 9.44E-05 6.84E-04 -5.814 -5.814
 -1.40   3.7377   1.050 -30.632 24.591 16.532  1.581  0.976 9.50E-01 9.50E-01 1.54E-04 4.48E-04 -5.641 -5.642
 -1.20   3.9334   1.040 -30.861 23.881 13.867  1.472  0.981 9.60E-01 9.59E-01 2.50E-04 2.89E-04 -5.465 -5.465
 -1.00   4.1300   1.031 -31.046 23.219 11.730  1.383  0.984 9.67E-01 9.67E-01 4.02E-04 1.88E-04 -5.285 -5.285
 -0.80   4.3271   1.025 -31.209 22.581  9.935  1.313  0.987 9.73E-01 9.73E-01 6.48E-04 1.18E-04 -5.102 -5.102
