 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    12.200
 -7.40  -1.9824   2.000   1.483 64.416  2.333  1.001  1.000 2.09E-04 2.82E-05 0.00E+00 3.48E-03 -3.776 -3.787
 -7.20  -1.7825   2.000   1.483 63.495  2.333  1.001  1.000 2.38E-04 3.28E-05 0.00E+00 4.01E-03 -3.742 -3.762
 -7.00  -1.5825   2.000   1.483 62.575  2.333  1.001  1.000 2.72E-04 3.82E-05 0.00E+00 4.63E-03 -3.699 -3.729
 -6.80  -1.3826   1.999   1.483 61.654  2.332  1.001  1.000 3.08E-04 4.45E-05 0.00E+00 5.32E-03 -3.637 -3.683
 -6.60  -1.1826   1.999   1.483 60.733  2.332  1.001  1.000 3.49E-04 5.18E-05 0.00E+00 6.12E-03 -3.580 -3.629
 -6.40  -0.9827   1.999   1.482 59.812  2.332  1.001  1.000 3.95E-04 6.04E-05 0.00E+00 7.02E-03 -3.554 -3.594
 -6.20  -0.7827   1.999   1.482 58.892  2.332  1.002  1.000 4.44E-04 7.04E-05 0.00E+00 8.03E-03 -3.488 -3.522
 -6.00  -0.5828   1.998   1.482 57.971  2.332  1.002  1.000 4.99E-04 8.21E-05 0.00E+00 9.18E-03 -3.400 -3.429
 -5.80  -0.3829   1.998   1.481 57.051  2.332  1.002  1.000 5.57E-04 9.58E-05 0.00E+00 1.05E-02 -3.301 -3.326
 -5.60  -0.1830   1.997   1.481 56.131  2.331  1.002  1.000 6.21E-04 1.12E-04 0.00E+00 1.19E-02 -3.185 -3.207
 -5.40   0.0169   1.997   1.480 55.210  2.331  1.003  0.999 6.89E-04 1.31E-04 0.00E+00 1.35E-02 -3.059 -3.079
 -5.20   0.2168   1.996   1.480 54.290  2.331  1.003  0.999 7.63E-04 1.54E-04 0.00E+00 1.52E-02 -2.929 -2.947
 -5.00   0.4167   1.996   1.479 53.370  2.331  1.003  0.999 8.42E-04 1.82E-04 0.00E+00 1.71E-02 -2.799 -2.816
 -4.80   0.6166   1.995   1.478 52.448  2.331  1.003  0.999 9.28E-04 2.15E-04 0.00E+00 1.93E-02 -2.672 -2.687
 -4.60   0.8164   1.995   1.477 51.528  2.332  1.004  0.999 1.02E-03 2.56E-04 1.06E-19 2.15E-02 -2.546 -2.561
 -4.40   1.0163   1.994   1.476 50.608  2.333  1.004  0.999 1.12E-03 3.07E-04 4.17E-19 2.40E-02 -2.421 -2.438
 -4.20   1.2162   1.994   1.475 49.687  2.335  1.005  0.999 1.24E-03 3.72E-04 1.64E-18 2.65E-02 -2.293 -2.316
 -4.00   1.4160   1.993   1.473 48.767  2.338  1.005  0.999 1.38E-03 4.56E-04 6.46E-18 2.93E-02 -2.157 -2.193
 -3.80   1.6159   1.992   1.471 47.846  2.343  1.006  0.999 1.55E-03 5.67E-04 2.54E-17 3.21E-02 -2.003 -2.063
 -3.60   1.8157   1.991   1.469 46.925  2.351  1.006  0.999 1.75E-03 7.18E-04 1.00E-16 3.51E-02 -1.803 -1.913
 -3.40   2.0155   1.991   1.465 46.003  2.364  1.007  0.999 2.02E-03 9.27E-04 3.93E-16 3.81E-02 -1.490 -1.693
 -3.20   2.2153   1.990   1.461 45.084  2.385  1.009  0.999 2.38E-03 1.22E-03 1.54E-15 4.10E-02 -1.229 -1.355
 -3.00   2.4150   1.988   1.455 44.161  2.417  1.011  0.998 2.88E-03 1.65E-03 6.05E-15 4.41E-02 -1.175 -1.354
 -2.80   2.6147   1.987   1.447 43.236  2.468  1.015  0.998 3.59E-03 2.27E-03 2.36E-14 4.73E-02 -1.065 -1.244
 -2.60   2.8142   1.985   1.436 42.310  2.547  1.020  0.997 4.62E-03 3.18E-03 9.22E-14 5.04E-02 -0.916 -1.091
 -2.40   3.0136   1.982   1.419 41.379  2.669  1.027  0.996 6.14E-03 4.55E-03 3.58E-13 5.37E-02 -0.745 -0.918
 -2.20   3.2127   1.978   1.395 40.442  2.858  1.038  0.995 8.37E-03 6.60E-03 1.39E-12 5.69E-02 -0.562 -0.735
 -2.00   3.4116   1.973   1.359 39.493  3.148  1.053  0.993 1.17E-02 9.69E-03 5.31E-12 6.05E-02 -0.378 -0.549
 -1.80   3.6099   1.965   1.306 38.532  3.585  1.077  0.990 1.69E-02 1.43E-02 2.01E-11 6.37E-02 -0.193 -0.362
 -1.60   3.8076   1.955   1.228 37.551  4.230  1.112  0.987 2.45E-02 2.12E-02 7.55E-11 6.67E-02 -0.007 -0.175
 -1.40   4.0043   1.940   1.115 36.540  5.162  1.163  0.981 3.56E-02 3.15E-02 2.78E-10 6.94E-02  0.178  0.012
 -1.20   4.1998   1.920   0.953 35.488  6.459  1.232  0.974 5.19E-02 4.63E-02 9.95E-10 7.15E-02  0.359  0.195
 -1.00   4.3937   1.893   0.725 34.381  8.174  1.325  0.965 7.48E-02 6.72E-02 3.44E-09 7.31E-02  0.535  0.373
 -0.80   4.5853   1.857   0.415 33.208 10.309  1.443  0.953 1.06E-01 9.60E-02 1.14E-08 7.29E-02  0.704  0.545
 -0.60   4.7746   1.812   0.012 31.961 12.726  1.579  0.940 1.48E-01 1.33E-01 3.55E-08 7.21E-02  0.868  0.713
 -0.40   4.9607   1.755  -0.487 30.644 14.878  1.744  0.927 1.99E-01 1.81E-01 1.05E-07 6.84E-02  1.012  0.863
 -0.20   5.1449   1.692  -1.074 29.265 17.473  1.865  0.914 2.59E-01 2.36E-01 2.85E-07 6.52E-02  1.138  0.998
  0.00   5.3268   1.623  -1.729 27.848 19.187  1.983  0.904 3.26E-01 2.97E-01 7.22E-07 6.06E-02  1.248  1.120
  0.20   5.5061   1.547  -2.437 26.409 20.113  2.064  0.899 3.98E-01 3.63E-01 1.70E-06 5.29E-02  1.347  1.234
  0.40   5.6857   1.476  -3.124 25.030 20.337  2.101  0.897 4.68E-01 4.28E-01 3.76E-06 4.83E-02  1.439  1.343
  0.60   5.8653   1.409  -3.784 23.709 19.919  2.095  0.898 5.35E-01 4.90E-01 7.84E-06 4.39E-02  1.532  1.452
  0.80   6.0458   1.347  -4.396 22.465 19.051  2.053  0.905 5.96E-01 5.47E-01 1.55E-05 4.03E-02  1.625  1.560
  1.00   6.2278   1.292  -4.951 21.305 17.871  1.984  0.914 6.51E-01 5.98E-01 2.94E-05 3.75E-02  1.719  1.670
  1.20   6.4106   1.242  -5.474 20.200 16.457  1.888  0.926 7.01E-01 6.45E-01 5.40E-05 3.39E-02  1.812  1.777
  1.40   6.5969   1.203  -5.900 19.212 15.075  1.798  0.936 7.40E-01 6.82E-01 9.56E-05 3.47E-02  1.897  1.875
  1.60   6.7853   1.171  -6.268 18.296 13.730  1.705  0.947 7.71E-01 7.13E-01 1.65E-04 3.69E-02  1.977  1.963
  1.80   6.9758   1.146  -6.583 17.447 12.476  1.612  0.959 7.95E-01 7.36E-01 2.75E-04 4.11E-02  2.044  2.035
  2.00   7.1689   1.128  -6.850 16.654 11.350  1.524  0.972 8.11E-01 7.53E-01 4.45E-04 4.83E-02  2.095  2.087
  2.20   7.3648   1.118  -7.075 15.907 10.366  1.443  0.988 8.19E-01 7.63E-01 6.94E-04 5.94E-02  2.130  2.117
  2.40   7.5642   1.116  -7.264 15.196  9.534  1.369  1.007 8.16E-01 7.63E-01 1.03E-03 7.63E-02  2.144  2.125
  2.60   7.7680   1.126  -7.423 14.508  8.865  1.299  1.033 8.00E-01 7.53E-01 1.41E-03 1.02E-01  2.146  2.118
  2.80   7.9778   1.152  -7.540 13.844  8.437  1.232  1.067 7.64E-01 7.24E-01 1.72E-03 1.44E-01  2.138  2.096
  3.00   8.1953   1.199  -7.661 13.151  8.143  1.160  1.111 6.99E-01 6.68E-01 1.76E-03 2.11E-01  2.129  2.069
  3.20   8.4217   1.274  -7.773 12.424  8.200  1.077  1.152 5.81E-01 5.62E-01 1.35E-03 3.24E-01  2.149  2.073
  3.40   8.6514   1.364  -7.821 11.701  9.491  0.954  1.130 3.69E-01 3.62E-01 6.23E-04 5.14E-01  2.474  2.371
  3.60   8.8624   1.399  -7.790 11.027 11.944  0.741  0.949 1.08E-01 1.07E-01 1.11E-04 7.17E-01  3.191  3.049
     5.350    12.200
 -7.40  -1.7824   2.000   1.574 63.993  2.298  1.001  1.000 2.00E-04 2.73E-05 0.00E+00 3.36E-03 -3.706 -3.718
 -7.20  -1.5825   2.000   1.574 63.072  2.298  1.001  1.000 2.28E-04 3.18E-05 0.00E+00 3.88E-03 -3.663 -3.686
 -7.00  -1.3825   2.000   1.574 62.151  2.298  1.001  1.000 2.59E-04 3.70E-05 0.00E+00 4.47E-03 -3.609 -3.646
 -6.80  -1.1825   1.999   1.573 61.230  2.298  1.001  1.000 2.93E-04 4.31E-05 0.00E+00 5.14E-03 -3.555 -3.596
 -6.60  -0.9826   1.999   1.573 60.310  2.298  1.001  1.000 3.32E-04 5.02E-05 0.00E+00 5.90E-03 -3.529 -3.563
 -6.40  -0.7827   1.999   1.573 59.389  2.298  1.001  1.000 3.74E-04 5.84E-05 0.00E+00 6.76E-03 -3.479 -3.505
 -6.20  -0.5827   1.999   1.573 58.469  2.298  1.002  1.000 4.19E-04 6.80E-05 0.00E+00 7.74E-03 -3.406 -3.429
 -6.00  -0.3828   1.998   1.572 57.548  2.298  1.002  1.000 4.69E-04 7.91E-05 0.00E+00 8.83E-03 -3.323 -3.341
 -5.80  -0.1829   1.998   1.572 56.628  2.298  1.002  1.000 5.23E-04 9.22E-05 0.00E+00 1.01E-02 -3.227 -3.242
 -5.60   0.0170   1.998   1.571 55.708  2.297  1.002  1.000 5.80E-04 1.07E-04 0.00E+00 1.14E-02 -3.123 -3.136
 -5.40   0.2170   1.997   1.571 54.788  2.297  1.002  1.000 6.42E-04 1.25E-04 0.00E+00 1.29E-02 -3.017 -3.028
 -5.20   0.4169   1.997   1.570 53.868  2.297  1.003  0.999 7.07E-04 1.46E-04 0.00E+00 1.46E-02 -2.912 -2.923
 -5.00   0.6167   1.996   1.569 52.948  2.297  1.003  0.999 7.77E-04 1.71E-04 0.00E+00 1.64E-02 -2.812 -2.821
 -4.80   0.8166   1.996   1.569 52.026  2.297  1.003  0.999 8.52E-04 2.01E-04 0.00E+00 1.84E-02 -2.715 -2.723
 -4.60   1.0165   1.995   1.568 51.106  2.297  1.004  0.999 9.33E-04 2.36E-04 0.00E+00 2.05E-02 -2.619 -2.629
 -4.40   1.2164   1.995   1.567 50.186  2.297  1.004  0.999 1.02E-03 2.78E-04 0.00E+00 2.28E-02 -2.522 -2.538
 -4.20   1.4163   1.994   1.565 49.266  2.298  1.004  0.999 1.12E-03 3.30E-04 2.62E-19 2.52E-02 -2.419 -2.446
 -4.00   1.6162   1.994   1.564 48.346  2.299  1.005  0.999 1.23E-03 3.94E-04 1.03E-18 2.77E-02 -2.299 -2.350
 -3.80   1.8160   1.993   1.562 47.425  2.300  1.005  0.999 1.35E-03 4.74E-04 4.07E-18 3.03E-02 -2.138 -2.241
 -3.60   2.0159   1.992   1.560 46.505  2.303  1.005  0.999 1.50E-03 5.77E-04 1.60E-17 3.31E-02 -1.854 -2.078
 -3.40   2.2157   1.992   1.558 45.585  2.307  1.006  0.999 1.69E-03 7.11E-04 6.29E-17 3.59E-02 -1.444 -1.690
 -3.20   2.4155   1.991   1.555 44.666  2.311  1.012  0.999 1.92E-03 8.90E-04 2.48E-16 3.86E-02 -1.501 -1.740
 -3.00   2.6153   1.990   1.551 43.745  2.326  1.008  0.999 2.22E-03 1.13E-03 9.71E-16 4.15E-02 -1.469 -1.689
 -2.80   2.8150   1.988   1.546 42.823  2.344  1.010  0.998 2.64E-03 1.47E-03 3.81E-15 4.44E-02 -1.365 -1.572
 -2.60   3.0146   1.987   1.539 41.901  2.372  1.013  0.998 3.21E-03 1.95E-03 1.49E-14 4.74E-02 -1.218 -1.423
 -2.40   3.2142   1.984   1.530 40.977  2.416  1.016  0.997 3.99E-03 2.64E-03 5.80E-14 5.05E-02 -1.050 -1.256
 -2.20   3.4136   1.982   1.517 40.051  2.483  1.021  0.996 5.15E-03 3.65E-03 2.26E-13 5.37E-02 -0.871 -1.080
 -2.00   3.6127   1.978   1.499 39.121  2.587  1.029  0.995 6.95E-03 5.14E-03 8.72E-13 5.68E-02 -0.691 -0.899
 -1.80   3.8116   1.973   1.473 38.182  2.757  1.031  0.994 9.52E-03 7.35E-03 3.34E-12 6.04E-02 -0.506 -0.713
 -1.60   4.0100   1.966   1.436 37.238  2.988  1.056  0.992 1.33E-02 1.06E-02 1.27E-11 6.36E-02 -0.318 -0.525
 -1.40   4.2081   1.957   1.383 36.280  3.346  1.079  0.988 1.89E-02 1.55E-02 4.78E-11 6.71E-02 -0.132 -0.337
 -1.20   4.4052   1.944   1.306 35.304  3.869  1.113  0.984 2.72E-02 2.26E-02 1.77E-10 7.01E-02  0.051 -0.151
 -1.00   4.6012   1.926   1.197 34.302  4.615  1.160  0.978 3.94E-02 3.31E-02 6.42E-10 7.23E-02  0.230  0.033
 -0.80   4.7962   1.904   1.043 33.266  5.627  1.223  0.970 5.66E-02 4.79E-02 2.25E-09 7.50E-02  0.406  0.214
 -0.60   4.9889   1.872   0.832 32.184  6.948  1.306  0.961 8.10E-02 6.86E-02 7.63E-09 7.55E-02  0.572  0.387
 -0.40   5.1799   1.834   0.554 31.052  8.532  1.406  0.949 1.13E-01 9.61E-02 2.46E-08 7.70E-02  0.725  0.550
 -0.20   5.3687   1.787   0.199 29.864 10.302  1.520  0.937 1.53E-01 1.31E-01 7.48E-08 7.71E-02  0.865  0.702
  0.00   5.5537   1.727  -0.238 28.619 12.122  1.639  0.924 2.04E-01 1.76E-01 2.15E-07 7.22E-02  0.997  0.849
  0.20   5.7376   1.664  -0.732 27.344 13.706  1.747  0.914 2.61E-01 2.25E-01 5.70E-07 7.15E-02  1.118  0.985
  0.40   5.9196   1.596  -1.274 26.053 14.922  1.835  0.906 3.22E-01 2.80E-01 1.41E-06 6.99E-02  1.238  1.120
  0.60   6.1005   1.527  -1.840 24.767 15.592  1.896  0.904 3.86E-01 3.36E-01 3.25E-06 6.83E-02  1.356  1.252
  0.80   6.2810   1.460  -2.400 23.522 15.838  1.922  0.903 4.48E-01 3.92E-01 7.07E-06 6.66E-02  1.472  1.383
  1.00   6.4603   1.392  -2.959 22.305 15.652  1.908  0.909 5.10E-01 4.48E-01 1.47E-05 6.17E-02  1.587  1.512
  1.20   6.6428   1.338  -3.472 21.165 15.194  1.877  0.916 5.62E-01 4.96E-01 2.87E-05 6.35E-02  1.693  1.632
  1.40   6.8269   1.289  -3.935 20.097 14.442  1.827  0.924 6.07E-01 5.38E-01 5.39E-05 6.68E-02  1.791  1.741
  1.60   7.0128   1.248  -4.351 19.097 13.556  1.761  0.934 6.43E-01 5.72E-01 9.70E-05 7.27E-02  1.877  1.834
  1.80   7.2009   1.214  -4.718 18.162 12.620  1.683  0.947 6.69E-01 5.99E-01 1.68E-04 8.28E-02  1.948  1.907
  2.00   7.3918   1.189  -5.036 17.288 11.700  1.599  0.963 6.82E-01 6.15E-01 2.76E-04 9.88E-02  1.997  1.955
  2.20   7.5861   1.174  -5.309 16.467 10.841  1.512  0.981 6.81E-01 6.20E-01 4.31E-04 1.23E-01  2.023  1.977
  2.40   7.7847   1.170  -5.538 15.691 10.081  1.419  1.005 6.62E-01 6.09E-01 6.22E-04 1.60E-01  2.029  1.974
  2.60   7.9886   1.180  -5.726 14.951  9.454  1.318  1.036 6.17E-01 5.75E-01 8.03E-04 2.15E-01  2.021  1.951
  2.80   8.1992   1.210  -5.863 14.246  8.987  1.194  1.073 5.36E-01 5.07E-01 8.75E-04 2.99E-01  2.000  1.915
  3.00   8.4173   1.261  -5.965 13.553  8.789  1.030  1.107 4.03E-01 3.88E-01 7.27E-04 4.22E-01  2.039  1.937
  3.20   8.6385   1.324  -5.964 12.926  8.937  0.796  1.093 2.12E-01 2.08E-01 3.77E-04 5.80E-01  2.305  2.177
  3.40   8.8446   1.343  -5.830 12.411  9.076  0.520  0.936 4.32E-02 4.30E-02 8.24E-05 6.70E-01  2.772  2.626
  3.60   8.9981   1.207  -5.599 12.041  7.919  0.334  0.535 8.43E-04 8.43E-04 3.81E-06 5.68E-01  3.452  3.311
     5.400    12.200
 -7.40  -1.5824   2.000   1.651 63.565  2.262  1.001  1.000 1.90E-04 2.64E-05 0.00E+00 3.24E-03 -3.710 -3.722
 -7.20  -1.3824   2.000   1.651 62.644  2.262  1.001  1.000 2.17E-04 3.08E-05 0.00E+00 3.74E-03 -3.665 -3.686
 -7.00  -1.1825   2.000   1.650 61.723  2.262  1.001  1.000 2.46E-04 3.58E-05 0.00E+00 4.30E-03 -3.614 -3.641
 -6.80  -0.9825   2.000   1.650 60.803  2.262  1.001  1.000 2.78E-04 4.17E-05 0.00E+00 4.94E-03 -3.581 -3.604
 -6.60  -0.7826   1.999   1.650 59.882  2.262  1.001  1.000 3.13E-04 4.85E-05 0.00E+00 5.67E-03 -3.541 -3.558
 -6.40  -0.5826   1.999   1.650 58.962  2.261  1.001  1.000 3.52E-04 5.64E-05 0.00E+00 6.50E-03 -3.482 -3.497
 -6.20  -0.3827   1.999   1.649 58.041  2.261  1.002  1.000 3.94E-04 6.56E-05 0.00E+00 7.43E-03 -3.415 -3.427
 -6.00  -0.1828   1.998   1.649 57.121  2.261  1.002  1.000 4.40E-04 7.63E-05 0.00E+00 8.47E-03 -3.339 -3.349
 -5.80   0.0172   1.998   1.649 56.200  2.261  1.002  1.000 4.88E-04 8.88E-05 0.00E+00 9.63E-03 -3.258 -3.266
 -5.60   0.2171   1.998   1.648 55.280  2.261  1.002  1.000 5.40E-04 1.03E-04 0.00E+00 1.09E-02 -3.174 -3.181
 -5.40   0.4170   1.997   1.648 54.360  2.261  1.002  1.000 5.96E-04 1.20E-04 0.00E+00 1.23E-02 -3.092 -3.097
 -5.20   0.6169   1.997   1.647 53.440  2.261  1.003  1.000 6.54E-04 1.40E-04 0.00E+00 1.39E-02 -3.012 -3.017
 -5.00   0.8168   1.997   1.646 52.520  2.261  1.003  1.000 7.17E-04 1.63E-04 0.00E+00 1.56E-02 -2.934 -2.939
 -4.80   1.0167   1.996   1.645 51.599  2.260  1.003  0.999 7.83E-04 1.91E-04 0.00E+00 1.75E-02 -2.857 -2.863
 -4.60   1.2166   1.996   1.644 50.679  2.260  1.003  0.999 8.54E-04 2.23E-04 0.00E+00 1.95E-02 -2.778 -2.789
 -4.40   1.4165   1.995   1.643 49.759  2.260  1.004  0.999 9.32E-04 2.61E-04 0.00E+00 2.16E-02 -2.693 -2.714
 -4.20   1.6164   1.995   1.642 48.839  2.260  1.004  0.999 1.02E-03 3.07E-04 0.00E+00 2.38E-02 -2.595 -2.636
 -4.00   1.8163   1.994   1.641 47.919  2.261  1.004  0.999 1.11E-03 3.62E-04 2.19E-19 2.61E-02 -2.465 -2.548
 -3.80   2.0162   1.994   1.639 47.000  2.261  1.005  0.999 1.21E-03 4.29E-04 8.62E-19 2.85E-02 -2.233 -2.425
 -3.60   2.2160   1.993   1.638 46.080  2.263  1.005  0.999 1.34E-03 5.11E-04 3.39E-18 3.10E-02 -1.749 -2.100
 -3.40   2.4159   1.992   1.635 45.159  2.264  1.005  0.999 1.48E-03 6.15E-04 1.34E-17 3.36E-02 -1.795 -2.068
 -3.20   2.6157   1.992   1.633 44.239  2.267  1.006  0.999 1.66E-03 7.47E-04 5.25E-17 3.63E-02 -1.831 -2.068
 -3.00   2.8155   1.990   1.630 43.321  2.272  1.007  0.999 1.88E-03 9.17E-04 2.07E-16 3.88E-02 -1.769 -1.984
 -2.80   3.0152   1.989   1.626 42.400  2.280  1.008  0.999 2.17E-03 1.14E-03 8.11E-16 4.15E-02 -1.654 -1.862
 -2.60   3.2149   1.988   1.621 41.479  2.291  1.010  0.998 2.53E-03 1.45E-03 3.17E-15 4.43E-02 -1.506 -1.716
 -2.40   3.4145   1.986   1.614 40.558  2.309  1.012  0.998 3.05E-03 1.87E-03 1.24E-14 4.72E-02 -1.341 -1.556
 -2.20   3.6140   1.984   1.605 39.635  2.337  1.015  0.997 3.76E-03 2.47E-03 4.83E-14 5.03E-02 -1.170 -1.389
 -2.00   3.8132   1.980   1.594 38.711  2.380  1.020  0.996 4.90E-03 3.31E-03 1.87E-13 5.33E-02 -0.992 -1.213
 -1.80   4.0123   1.976   1.578 37.784  2.445  1.026  0.995 6.44E-03 4.54E-03 7.23E-13 5.66E-02 -0.807 -1.028
 -1.60   4.2112   1.971   1.556 36.853  2.544  1.035  0.994 8.62E-03 6.32E-03 2.77E-12 5.98E-02 -0.619 -0.839
 -1.40   4.4096   1.964   1.525 35.914  2.694  1.047  0.992 1.19E-02 8.93E-03 1.05E-11 6.34E-02 -0.433 -0.652
 -1.20   4.6076   1.955   1.482 34.968  2.915  1.065  0.988 1.68E-02 1.27E-02 3.94E-11 6.70E-02 -0.250 -0.466
 -1.00   4.8047   1.942   1.422 34.009  3.240  1.091  0.985 2.39E-02 1.83E-02 1.46E-10 6.99E-02 -0.068 -0.279
 -0.80   5.0011   1.926   1.337 33.034  3.700  1.126  0.979 3.42E-02 2.63E-02 5.27E-10 7.34E-02  0.108 -0.097
 -0.60   5.1959   1.903   1.220 32.034  4.336  1.174  0.972 4.86E-02 3.78E-02 1.86E-09 7.58E-02  0.278  0.082
 -0.40   5.3895   1.875   1.061 31.005  5.165  1.235  0.963 6.81E-02 5.35E-02 6.30E-09 7.91E-02  0.439  0.253
 -0.20   5.5813   1.840   0.853 29.941  6.191  1.310  0.953 9.41E-02 7.47E-02 2.04E-08 8.20E-02  0.592  0.418
  0.00   5.7698   1.792   0.582 28.832  7.394  1.399  0.941 1.29E-01 1.02E-01 6.32E-08 8.14E-02  0.742  0.581
  0.20   5.9570   1.740   0.260 27.699  8.631  1.490  0.930 1.69E-01 1.36E-01 1.83E-07 8.40E-02  0.887  0.739
  0.40   6.1420   1.681  -0.118 26.534  9.823  1.579  0.921 2.16E-01 1.75E-01 4.94E-07 8.65E-02  1.030  0.894
  0.60   6.3255   1.618  -0.539 25.354 10.848  1.656  0.914 2.68E-01 2.19E-01 1.25E-06 8.89E-02  1.170  1.047
  0.80   6.5080   1.554  -0.990 24.168 11.556  1.718  0.910 3.21E-01 2.64E-01 2.95E-06 9.18E-02  1.305  1.195
  1.00   6.6885   1.486  -1.462 22.995 12.005  1.751  0.913 3.76E-01 3.12E-01 6.64E-06 9.12E-02  1.436  1.339
  1.20   6.8713   1.428  -1.920 21.868 12.202  1.763  0.915 4.25E-01 3.56E-01 1.40E-05 9.69E-02  1.556  1.469
  1.40   7.0547   1.375  -2.359 20.784 12.061  1.753  0.920 4.67E-01 3.95E-01 2.79E-05 1.05E-01  1.663  1.584
  1.60   7.2394   1.327  -2.770 19.751 11.708  1.720  0.927 4.99E-01 4.27E-01 5.28E-05 1.18E-01  1.752  1.678
  1.80   7.4261   1.287  -3.145 18.773 11.208  1.669  0.940 5.18E-01 4.50E-01 9.41E-05 1.38E-01  1.819  1.745
  2.00   7.6155   1.256  -3.480 17.851 10.623  1.601  0.955 5.21E-01 4.59E-01 1.57E-04 1.67E-01  1.859  1.782
  2.20   7.8085   1.236  -3.772 16.982 10.007  1.518  0.975 5.02E-01 4.50E-01 2.43E-04 2.11E-01  1.875  1.789
  2.40   8.0058   1.228  -4.020 16.162  9.403  1.415  0.999 4.56E-01 4.18E-01 3.34E-04 2.73E-01  1.872  1.772
  2.60   8.2084   1.236  -4.217 15.391  8.844  1.287  1.028 3.76E-01 3.52E-01 3.89E-04 3.59E-01  1.854  1.742
  2.80   8.4166   1.259  -4.356 14.668  8.341  1.119  1.052 2.58E-01 2.48E-01 3.47E-04 4.67E-01  1.902  1.773
  3.00   8.6269   1.289  -4.406 14.017  7.785  0.909  1.043 1.19E-01 1.17E-01 1.99E-04 5.71E-01  2.100  1.954
  3.20   8.8277   1.292  -4.360 13.451  6.910  0.723  0.941 2.22E-02 2.21E-02 5.29E-05 5.94E-01  2.435  2.284
  3.40   8.9939   1.195  -4.298 12.929  5.480  0.737  0.684 5.74E-04 5.74E-04 3.72E-06 4.95E-01  2.915  2.763
  3.60   9.0875   0.935  -4.401 12.336  3.741  1.313  0.186 3.35E-07 3.35E-07 3.02E-08 3.40E-01  3.575  3.418
     5.450    12.200
 -7.40  -1.3824   2.000   1.715 63.133  2.225  1.001  1.000 1.81E-04 2.55E-05 0.00E+00 3.11E-03 -3.766 -3.777
 -7.20  -1.1824   2.000   1.715 62.212  2.225  1.001  1.000 2.05E-04 2.97E-05 0.00E+00 3.59E-03 -3.723 -3.737
 -7.00  -0.9825   2.000   1.715 61.291  2.225  1.001  1.000 2.32E-04 3.45E-05 0.00E+00 4.13E-03 -3.685 -3.698
 -6.80  -0.7825   2.000   1.715 60.371  2.225  1.001  1.000 2.62E-04 4.02E-05 0.00E+00 4.74E-03 -3.650 -3.660
