 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    14.100
 -7.40  -0.3830   1.998   -15.46  66.58   1.00  1.001  1.000 6.28E-04 9.87E-05 0.00E+00 1.13E-02  -7.929  -7.929
 -7.20  -0.1831   1.997   -15.46  65.66   1.00  1.001  0.999 7.03E-04 1.15E-04 0.00E+00 1.28E-02  -7.928  -7.928
 -7.00   0.0168   1.997   -15.46  64.74   1.00  1.001  0.999 7.83E-04 1.33E-04 0.00E+00 1.46E-02  -7.926  -7.926
 -6.80   0.2167   1.996   -15.45  63.82   1.00  1.001  0.999 8.70E-04 1.54E-04 0.00E+00 1.66E-02  -7.925  -7.925
 -6.60   0.4166   1.996   -15.45  62.91   1.01  1.001  0.999 9.63E-04 1.79E-04 0.00E+00 1.87E-02  -7.923  -7.923
 -6.40   0.6165   1.995   -15.45  61.99   1.01  1.001  0.999 1.06E-03 2.07E-04 0.00E+00 2.11E-02  -7.921  -7.921
 -6.20   0.8163   1.994   -15.45  61.07   1.01  1.002  0.999 1.16E-03 2.41E-04 0.00E+00 2.37E-02  -7.918  -7.918
 -6.00   1.0162   1.994   -15.45  60.16   1.01  1.002  0.999 1.27E-03 2.78E-04 0.00E+00 2.64E-02  -7.916  -7.916
 -5.80   1.2161   1.993   -15.45  59.24   1.01  1.002  0.999 1.38E-03 3.23E-04 0.00E+00 2.94E-02  -7.913  -7.913
 -5.60   1.4159   1.992   -15.45  58.33   1.01  1.002  0.999 1.50E-03 3.75E-04 0.00E+00 3.26E-02  -7.910  -7.910
 -5.40   1.6158   1.992   -15.45  57.41   1.01  1.002  0.999 1.63E-03 4.34E-04 0.00E+00 3.58E-02  -7.907  -7.907
 -5.20   1.8157   1.991   -15.44  56.50   1.01  1.002  0.999 1.76E-03 5.05E-04 0.00E+00 3.92E-02  -7.903  -7.903
 -5.00   2.0155   1.991   -15.44  55.59   1.02  1.002  0.999 1.90E-03 5.84E-04 0.00E+00 4.28E-02  -7.899  -7.899
 -4.80   2.2154   1.990   -15.44  54.67   1.02  1.003  0.999 2.06E-03 6.81E-04 1.22E-19 4.64E-02  -7.893  -7.893
 -4.60   2.4153   1.990   -15.44  53.76   1.02  1.003  0.999 2.22E-03 7.89E-04 4.77E-19 5.01E-02  -7.888  -7.888
 -4.40   2.6152   1.989   -15.44  52.85   1.02  1.003  0.999 2.41E-03 9.24E-04 1.87E-18 5.39E-02  -7.880  -7.880
 -4.20   2.8151   1.989   -15.44  51.93   1.03  1.003  0.999 2.61E-03 1.08E-03 7.33E-18 5.79E-02  -7.871  -7.871
 -4.00   3.0150   1.988   -15.44  51.02   1.03  1.004  0.999 2.85E-03 1.27E-03 2.87E-17 6.18E-02  -7.859  -7.859
 -3.80   3.2148   1.987   -15.43  50.11   1.04  1.004  0.999 3.13E-03 1.51E-03 1.12E-16 6.58E-02  -7.843  -7.843
 -3.60   3.4146   1.987   -15.43  49.20   1.05  1.005  0.999 3.42E-03 1.78E-03 4.39E-16 6.99E-02  -7.822  -7.822
 -3.40   3.6144   1.985   -15.44  48.28   1.07  1.006  0.999 3.80E-03 2.14E-03 1.72E-15 7.38E-02  -7.793  -7.793
 -3.20   3.8141   1.984   -15.44  47.37   1.09  1.007  0.998 4.21E-03 2.56E-03 6.71E-15 7.80E-02  -7.754  -7.754
 -3.00   4.0137   1.982   -15.44  46.46   1.12  1.009  0.998 4.78E-03 3.16E-03 2.61E-14 8.23E-02  -7.702  -7.702
 -2.80   4.2133   1.980   -15.44  45.54   1.17  1.012  0.998 5.42E-03 3.86E-03 1.01E-13 8.68E-02  -7.635  -7.635
 -2.60   4.4127   1.978   -15.45  44.62   1.23  1.006  0.997 6.39E-03 4.90E-03 3.92E-13 9.15E-02  -7.549  -7.550
 -2.40   4.6119   1.974   -15.46  43.70   1.36  1.022  0.997 7.59E-03 6.20E-03 1.51E-12 9.61E-02  -7.447  -7.448
 -2.20   4.8113   1.971   -15.48  42.78   1.54  1.031  0.996 9.44E-03 8.17E-03 5.81E-12 1.01E-01  -7.323  -7.326
 -2.00   5.0100   1.966   -15.50  41.85   1.79  1.043  0.995 1.19E-02 1.08E-02 2.23E-11 1.05E-01  -7.183  -7.187
 -1.80   5.2088   1.960   -15.55  40.90   2.20  1.063  0.993 1.57E-02 1.48E-02 8.45E-11 1.10E-01  -7.025  -7.030
 -1.60   5.4066   1.950   -15.61  39.94   2.80  1.091  0.991 2.14E-02 2.07E-02 3.18E-10 1.13E-01  -6.853  -6.865
 -1.40   5.6045   1.941   -15.69  38.96   3.64  1.130  0.987 2.91E-02 2.86E-02 1.18E-09 1.17E-01  -6.673  -6.694
 -1.20   5.8015   1.927   -15.83  37.94   4.89  1.187  0.981 4.09E-02 4.06E-02 4.27E-09 1.21E-01  -6.480  -6.515
 -1.00   5.9961   1.904   -16.02  36.85   6.63  1.267  0.973 5.77E-02 5.75E-02 1.54E-08 1.17E-01  -6.284  -6.332
