 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    15.000
 -7.40  -0.3830   1.998  -129.77  70.72   1.01  1.001  1.000 6.57E-04 1.28E-04 0.00E+00 1.13E-02  -9.757  -9.757
 -7.20  -0.1831   1.997  -129.77  69.80   1.01  1.001  0.999 7.36E-04 1.48E-04 0.00E+00 1.28E-02  -9.757  -9.757
 -7.00   0.0168   1.997  -129.77  68.89   1.01  1.001  0.999 8.37E-04 1.86E-04 0.00E+00 1.46E-02  -9.757  -9.757
 -6.80   0.2167   1.996  -129.77  67.97   1.02  1.002  0.999 9.55E-04 2.39E-04 0.00E+00 1.66E-02  -9.757  -9.757
 -6.60   0.4166   1.995  -129.77  67.05   1.02  1.002  0.999 1.06E-03 2.77E-04 1.76E-19 1.87E-02  -9.757  -9.757
 -6.40   0.6164   1.995  -129.77  66.13   1.04  1.003  0.999 1.21E-03 3.62E-04 6.95E-19 2.11E-02  -9.757  -9.757
 -6.20   0.8163   1.994  -129.77  65.22   1.04  1.003  0.999 1.34E-03 4.21E-04 2.74E-18 2.36E-02  -9.757  -9.757
 -6.00   1.0161   1.993  -129.77  64.30   1.06  1.004  0.999 1.56E-03 5.64E-04 1.08E-17 2.64E-02  -9.757  -9.757
 -5.80   1.2160   1.993  -129.76  63.38   1.08  1.004  0.999 1.72E-03 6.63E-04 4.25E-17 2.94E-02  -9.757  -9.757
 -5.60   1.4158   1.992  -129.77  62.47   1.12  1.006  0.999 2.04E-03 9.10E-04 1.67E-16 3.25E-02  -9.757  -9.757
 -5.40   1.6156   1.991  -129.77  61.55   1.15  1.007  0.999 2.28E-03 1.08E-03 6.58E-16 3.57E-02  -9.757  -9.757
 -5.20   1.8154   1.990  -129.77  60.63   1.23  1.010  0.999 2.78E-03 1.53E-03 2.58E-15 3.91E-02  -9.757  -9.757
 -5.00   2.0152   1.989  -129.78  59.71   1.36  1.014  0.999 3.51E-03 2.19E-03 1.01E-14 4.26E-02  -9.757  -9.757
 -4.80   2.2150   1.988  -129.78  58.79   1.47  1.017  0.998 4.06E-03 2.68E-03 3.97E-14 4.62E-02  -9.757  -9.757
 -4.60   2.4146   1.986  -129.80  57.86   1.73  1.026  0.998 5.36E-03 3.93E-03 1.55E-13 4.98E-02  -9.756  -9.756
 -4.40   2.6143   1.985  -129.81  56.93   1.98  1.033  0.997 6.42E-03 4.94E-03 6.07E-13 5.35E-02  -9.756  -9.756
 -4.20   2.8137   1.982  -129.85  55.99   2.52  1.050  0.996 8.89E-03 7.36E-03 2.36E-12 5.73E-02  -9.756  -9.756
 -4.00   3.0132   1.980  -129.88  55.04   3.10  1.066  0.995 1.11E-02 9.51E-03 9.16E-12 6.10E-02  -9.755  -9.755
 -3.80   3.2120   1.975  -129.95  54.06   4.23  1.101  0.993 1.59E-02 1.43E-02 3.52E-11 6.45E-02  -9.754  -9.754
 -3.60   3.4109   1.970  -130.03  53.07   5.53  1.138  0.991 2.06E-02 1.90E-02 1.35E-10 6.80E-02  -9.752  -9.752
 -3.40   3.6087   1.959  -130.19  52.01   7.86  1.208  0.986 3.03E-02 2.87E-02 5.09E-10 7.10E-02  -9.750  -9.750
 -3.20   3.8053   1.944  -130.42  50.89  11.19  1.310  0.980 4.46E-02 4.30E-02 1.88E-09 7.32E-02  -9.746  -9.746
 -3.00   4.0018   1.929  -130.68  49.73  15.06  1.421  0.974 5.94E-02 5.78E-02 6.91E-09 7.55E-02  -9.741  -9.741
 -2.80   4.1956   1.901  -131.13  48.40  20.95  1.602  0.963 8.64E-02 8.49E-02 2.41E-08 7.63E-02  -9.733  -9.733
 -2.60   4.3888   1.872  -131.64  47.00  27.54  1.796  0.953 1.15E-01 1.14E-01 8.29E-08 7.66E-02  -9.723  -9.723
 -2.40   4.5779   1.825  -132.44  45.36  36.15  2.049  0.939 1.61E-01 1.60E-01 2.62E-07 7.46E-02  -9.708  -9.708
 -2.20   4.7664   1.778  -133.31  43.64  43.92  2.327  0.925 2.09E-01 2.08E-01 8.10E-07 7.22E-02  -9.690  -9.690
 -2.00   4.9498   1.711  -134.48  41.67  51.49  2.611  0.911 2.75E-01 2.74E-01 2.25E-06 6.56E-02  -9.664  -9.664
 -1.80   5.1332   1.647  -135.69  39.66  57.53  2.848  0.901 3.40E-01 3.40E-01 6.07E-06 6.00E-02  -9.633  -9.633
 -1.60   5.3121   1.569  -137.08  37.53  60.62  3.016  0.894 4.19E-01 4.18E-01 1.46E-05 5.07E-02  -9.590  -9.590
 -1.40   5.4924   1.499  -138.43  35.45  61.49  3.120  0.890 4.90E-01 4.90E-01 3.41E-05 4.36E-02  -9.545  -9.545
 -1.20   5.6706   1.426  -139.79  33.42  58.59  3.127  0.891 5.65E-01 5.65E-01 7.17E-05 3.55E-02  -9.491  -9.491
 -1.00   5.8484   1.355  -141.07  31.49  54.08  3.027  0.897 6.36E-01 6.36E-01 1.43E-04 2.55E-02  -9.428  -9.428
 -0.80   6.0298   1.298  -142.20  29.73  49.42  2.906  0.904 6.94E-01 6.94E-01 2.85E-04 2.00E-02  -9.364  -9.364
 -0.60   6.2116   1.245  -143.18  28.16  43.61  2.723  0.914 7.48E-01 7.48E-01 5.22E-04 1.51E-02  -9.292  -9.292
 -0.40   6.3960   1.201  -144.06  26.70  38.30  2.542  0.923 7.91E-01 7.91E-01 9.62E-04 1.13E-02  -9.218  -9.218
 -0.20   6.5817   1.162  -144.79  25.43  33.09  2.345  0.933 8.28E-01 8.28E-01 1.67E-03 8.25E-03  -9.139  -9.139
  0.00   6.7692   1.129  -145.45  24.23  28.53  2.161  0.943 8.58E-01 8.58E-01 2.90E-03 5.23E-03  -9.060  -9.060
  0.20   6.9584   1.101  -145.97  23.19  24.99  2.018  0.949 8.80E-01 8.80E-01 4.82E-03 4.09E-03  -8.984  -8.984
  0.40   7.1490   1.078  -146.46  22.19  22.50  1.918  0.954 8.95E-01 8.95E-01 7.98E-03 3.47E-03  -8.915  -8.915
  0.60   7.3400   1.056  -146.88  21.28  21.00  1.860  0.956 9.02E-01 9.02E-01 1.27E-02 3.43E-03  -8.853  -8.853
  0.80   7.5312   1.034  -147.32  20.36  20.65  1.865  0.955 9.00E-01 9.00E-01 1.99E-02 4.45E-03  -8.796  -8.796
  1.00   7.7217   1.012  -147.75  19.45  21.50  1.930  0.950 8.89E-01 8.89E-01 2.99E-02 7.47E-03  -8.722  -8.724
  1.20   7.9109   0.987  -148.26  18.48  23.49  2.069  0.942 8.64E-01 8.64E-01 4.30E-02 1.47E-02  -8.597  -8.602
  1.40   8.0983   0.959  -148.81  17.48  23.87  2.258  0.931 8.27E-01 8.27E-01 5.77E-02 3.02E-02  -8.406  -8.411
  1.60   8.2833   0.926  -149.49  16.37  29.62  2.501  0.919 7.75E-01 7.75E-01 7.13E-02 6.09E-02  -8.148  -8.156
  1.80   8.4661   0.890  -150.24  15.19  32.00  2.736  0.909 7.11E-01 7.11E-01 7.82E-02 1.16E-01  -7.858  -7.864
