 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    11.900
 -7.40  -1.9823   2.001   1.850 63.883  2.133  1.000  1.000 1.20E-04 1.62E-05 0.00E+00 2.01E-03 -3.468 -3.468
 -7.20  -1.7823   2.000   1.849 62.962  2.133  1.001  1.000 1.37E-04 1.89E-05 0.00E+00 2.32E-03 -3.442 -3.442
 -7.00  -1.5824   2.000   1.849 62.041  2.133  1.001  1.000 1.56E-04 2.20E-05 0.00E+00 2.68E-03 -3.415 -3.416
 -6.80  -1.3824   2.000   1.849 61.120  2.133  1.001  1.000 1.78E-04 2.56E-05 0.00E+00 3.09E-03 -3.387 -3.389
 -6.60  -1.1824   2.000   1.849 60.199  2.133  1.001  1.000 2.01E-04 2.98E-05 0.00E+00 3.56E-03 -3.358 -3.360
 -6.40  -0.9825   2.000   1.849 59.279  2.133  1.001  1.000 2.27E-04 3.47E-05 0.00E+00 4.09E-03 -3.327 -3.330
 -6.20  -0.7825   2.000   1.848 58.358  2.133  1.001  1.000 2.56E-04 4.04E-05 0.00E+00 4.70E-03 -3.296 -3.300
 -6.00  -0.5826   1.999   1.848 57.437  2.133  1.001  1.000 2.88E-04 4.71E-05 0.00E+00 5.38E-03 -3.264 -3.269
 -5.80  -0.3826   1.999   1.848 56.516  2.133  1.001  1.000 3.22E-04 5.49E-05 0.00E+00 6.15E-03 -3.232 -3.238
 -5.60  -0.1827   1.999   1.847 55.595  2.133  1.002  1.000 3.59E-04 6.41E-05 0.00E+00 7.02E-03 -3.197 -3.204
 -5.40   0.0173   1.999   1.847 54.674  2.133  1.002  1.000 3.98E-04 7.49E-05 0.00E+00 7.98E-03 -3.157 -3.168
 -5.20   0.2172   1.998   1.846 53.754  2.133  1.002  1.000 4.41E-04 8.76E-05 0.00E+00 9.05E-03 -3.109 -3.129
 -5.00   0.4171   1.998   1.846 52.833  2.133  1.002  1.000 4.86E-04 1.03E-04 0.00E+00 1.02E-02 -3.047 -3.085
 -4.80   0.6170   1.998   1.845 51.912  2.133  1.002  1.000 5.35E-04 1.20E-04 0.00E+00 1.15E-02 -2.963 -3.033
 -4.60   0.8170   1.997   1.844 50.992  2.133  1.003  1.000 5.88E-04 1.42E-04 0.00E+00 1.29E-02 -2.837 -2.964
 -4.40   1.0169   1.997   1.843 50.071  2.134  1.003  1.000 6.45E-04 1.68E-04 0.00E+00 1.45E-02 -2.617 -2.856
 -4.20   1.2168   1.996   1.842 49.151  2.134  1.003  0.999 7.09E-04 2.00E-04 0.00E+00 1.61E-02 -2.099 -2.568
 -4.00   1.4167   1.996   1.841 48.228  2.135  1.004  0.999 7.84E-04 2.39E-04 2.29E-19 1.79E-02 -2.044 -2.418
 -3.80   1.6165   1.995   1.839 47.307  2.136  1.004  0.999 8.70E-04 2.89E-04 9.04E-19 1.97E-02 -2.201 -2.510
 -3.60   1.8164   1.995   1.837 46.386  2.138  1.004  0.999 9.71E-04 3.54E-04 3.57E-18 2.17E-02 -2.209 -2.485
 -3.40   2.0163   1.994   1.835 45.465  2.141  1.005  0.999 1.10E-03 4.38E-04 1.41E-17 2.37E-02 -2.151 -2.408
 -3.20   2.2161   1.993   1.832 44.544  2.146  1.006  0.999 1.26E-03 5.51E-04 5.54E-17 2.58E-02 -2.051 -2.302
 -3.00   2.4159   1.992   1.829 43.622  2.153  1.007  0.999 1.48E-03 7.06E-04 2.18E-16 2.80E-02 -1.922 -2.174
 -2.80   2.6157   1.991   1.825 42.699  2.164  1.008  0.999 1.78E-03 9.23E-04 8.57E-16 3.02E-02 -1.776 -2.032
 -2.60   2.8153   1.990   1.819 41.776  2.180  1.010  0.998 2.19E-03 1.23E-03 3.36E-15 3.25E-02 -1.619 -1.878
 -2.40   3.0149   1.988   1.812 40.852  2.206  1.012  0.998 2.79E-03 1.68E-03 1.32E-14 3.48E-02 -1.452 -1.711
 -2.20   3.2144   1.985   1.802 39.926  2.246  1.016  0.997 3.66E-03 2.34E-03 5.13E-14 3.73E-02 -1.273 -1.530
 -2.00   3.4137   1.982   1.788 39.001  2.306  1.022  0.996 4.94E-03 3.31E-03 2.00E-13 3.96E-02 -1.086 -1.340
 -1.80   3.6127   1.978   1.769 38.069  2.400  1.030  0.994 6.94E-03 4.76E-03 7.72E-13 4.21E-02 -0.896 -1.143
 -1.60   3.8114   1.972   1.742 37.132  2.542  1.041  0.993 9.80E-03 6.92E-03 2.96E-12 4.48E-02 -0.703 -0.941
 -1.40   4.0096   1.963   1.704 36.188  2.754  1.057  0.990 1.40E-02 1.02E-02 1.12E-11 4.75E-02 -0.506 -0.732
 -1.20   4.2071   1.952   1.651 35.231  3.068  1.081  0.986 2.01E-02 1.50E-02 4.20E-11 5.04E-02 -0.308 -0.518
 -1.00   4.4039   1.938   1.574 34.258  3.520  1.114  0.981 2.89E-02 2.20E-02 1.54E-10 5.38E-02 -0.108 -0.301
 -0.80   4.5994   1.918   1.467 33.262  4.154  1.159  0.975 4.15E-02 3.23E-02 5.52E-10 5.68E-02  0.091 -0.085
 -0.60   4.7933   1.891   1.318 32.237  4.998  1.219  0.966 5.97E-02 4.66E-02 1.90E-09 6.08E-02  0.285  0.125
