 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    12.700
 -7.40  -1.9826   1.999  -0.267 65.276  1.916  1.001  1.000 3.97E-04 5.41E-05 0.00E+00 6.52E-03 -5.307 -5.307
 -7.20  -1.7827   1.999  -0.267 64.356  1.916  1.001  1.000 4.53E-04 6.31E-05 0.00E+00 7.50E-03 -5.295 -5.295
 -7.00  -1.5828   1.998  -0.267 63.436  1.916  1.001  1.000 5.16E-04 7.39E-05 0.00E+00 8.62E-03 -5.282 -5.282
 -6.80  -1.3829   1.998  -0.267 62.516  1.915  1.001  1.000 5.86E-04 8.66E-05 0.00E+00 9.89E-03 -5.268 -5.268
 -6.60  -1.1830   1.997  -0.267 61.596  1.915  1.002  0.999 6.64E-04 1.02E-04 0.00E+00 1.13E-02 -5.252 -5.252
 -6.40  -0.9831   1.997  -0.266 60.676  1.915  1.002  0.999 7.50E-04 1.20E-04 0.00E+00 1.29E-02 -5.233 -5.234
 -6.20  -0.7832   1.996  -0.266 59.757  1.915  1.002  0.999 8.46E-04 1.41E-04 0.00E+00 1.47E-02 -5.212 -5.213
 -6.00  -0.5834   1.996  -0.266 58.838  1.915  1.002  0.999 9.52E-04 1.68E-04 0.00E+00 1.67E-02 -5.184 -5.186
 -5.80  -0.3835   1.995  -0.266 57.917  1.916  1.003  0.999 1.07E-03 2.01E-04 0.00E+00 1.90E-02 -5.148 -5.152
 -5.60  -0.1836   1.994  -0.266 56.998  1.917  1.003  0.999 1.20E-03 2.44E-04 1.79E-19 2.15E-02 -5.099 -5.106
 -5.40   0.0162   1.994  -0.266 56.079  1.920  1.003  0.999 1.34E-03 2.98E-04 7.07E-19 2.43E-02 -5.032 -5.046
 -5.20   0.2160   1.993  -0.266 55.160  1.926  1.004  0.999 1.51E-03 3.70E-04 2.78E-18 2.72E-02 -4.944 -4.965
 -5.00   0.4158   1.992  -0.266 54.241  1.935  1.004  0.999 1.70E-03 4.68E-04 1.09E-17 3.05E-02 -4.826 -4.862
 -4.80   0.6156   1.991  -0.267 53.322  1.949  1.005  0.999 1.93E-03 6.01E-04 4.30E-17 3.39E-02 -4.696 -4.738
 -4.60   0.8154   1.990  -0.269 52.402  1.972  1.006  0.999 2.21E-03 7.92E-04 1.69E-16 3.76E-02 -4.589 -4.620
 -4.40   1.0152   1.989  -0.271 51.483  2.009  1.008  0.999 2.58E-03 1.06E-03 6.62E-16 4.13E-02 -4.435 -4.465
 -4.20   1.2149   1.988  -0.276 50.562  2.067  1.011  0.999 3.07E-03 1.46E-03 2.59E-15 4.53E-02 -4.252 -4.290
 -4.00   1.4146   1.986  -0.283 49.639  2.158  1.014  0.998 3.75E-03 2.05E-03 1.01E-14 4.94E-02 -4.051 -4.099
 -3.80   1.6143   1.985  -0.293 48.712  2.302  1.020  0.998 4.73E-03 2.94E-03 3.95E-14 5.36E-02 -3.857 -3.901
 -3.60   1.8138   1.983  -0.310 47.780  2.525  1.028  0.997 6.16E-03 4.27E-03 1.54E-13 5.78E-02 -3.679 -3.720
 -3.40   2.0133   1.980  -0.337 46.837  2.873  1.041  0.996 8.29E-03 6.30E-03 5.95E-13 6.23E-02 -3.489 -3.526
 -3.20   2.2124   1.976  -0.378 45.883  3.407  1.061  0.995 1.15E-02 9.37E-03 2.30E-12 6.65E-02 -3.290 -3.324
 -3.00   2.4112   1.971  -0.442 44.908  4.221  1.091  0.993 1.63E-02 1.41E-02 8.79E-12 7.06E-02 -3.084 -3.117
 -2.80   2.6095   1.963  -0.539 43.903  5.443  1.136  0.989 2.35E-02 2.12E-02 3.33E-11 7.44E-02 -2.876 -2.909
 -2.60   2.8069   1.952  -0.685 42.854  7.231  1.202  0.984 3.43E-02 3.18E-02 1.24E-10 7.77E-02 -2.667 -2.700
 -2.40   3.0031   1.935  -0.900 41.746  9.752  1.297  0.977 5.02E-02 4.74E-02 4.53E-10 7.99E-02 -2.457 -2.491
 -2.20   3.1978   1.911  -1.211 40.549 13.175  1.427  0.968 7.29E-02 6.99E-02 1.60E-09 8.15E-02 -2.250 -2.284
 -2.00   3.3903   1.878  -1.645 39.242 17.511  1.597  0.956 1.05E-01 1.01E-01 5.42E-09 8.17E-02 -2.046 -2.082
 -1.80   3.5803   1.835  -2.230 37.800 22.945  1.781  0.942 1.47E-01 1.43E-01 1.73E-08 8.06E-02 -1.851 -1.888
 -1.60   3.7673   1.781  -2.967 36.231 27.759  2.029  0.927 2.00E-01 1.96E-01 5.20E-08 7.70E-02 -1.666 -1.706
 -1.40   3.9512   1.717  -3.851 34.546 32.424  2.252  0.913 2.64E-01 2.60E-01 1.45E-07 7.13E-02 -1.497 -1.539
