 FILTERED output of ioneqmn.
    NRmax =  55,  NTmax =  21
                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
  0.80   7.6800   1.457   -17.03  24.79  22.74  2.159  0.904 4.57E-01 4.57E-01 5.84E-05 8.94E-02  -4.478  -4.500
  1.00   7.8612   1.395   -17.73  23.42  22.18  2.165  0.906 5.14E-01 5.14E-01 1.11E-04 8.61E-02  -4.349  -4.370
  1.20   8.0431   1.338   -18.40  22.13  21.44  2.119  0.914 5.66E-01 5.66E-01 1.93E-04 8.52E-02  -4.218  -4.239
  1.40   8.2268   1.289   -19.00  20.92  20.13  2.049  0.924 6.07E-01 6.07E-01 2.97E-04 8.93E-02  -4.078  -4.099
  1.60   8.4129   1.248   -19.54  19.80  18.65  1.956  0.937 6.36E-01 6.36E-01 3.92E-04 9.97E-02  -3.923  -3.944
  1.80   8.6021   1.218   -20.01  18.76  17.16  1.850  0.955 6.51E-01 6.51E-01 4.13E-04 1.19E-01  -3.747  -3.768
  2.00   8.7952   1.199   -20.42  17.80  15.81  1.739  0.977 6.49E-01 6.49E-01 3.13E-04 1.49E-01  -3.528  -3.550
  2.20   8.9934   1.194   -20.77  16.91  14.73  1.629  1.006 6.26E-01 6.26E-01 1.42E-04 1.94E-01  -3.272  -3.294
  2.40   9.1984   1.207   -21.07  16.07  14.03  1.519  1.046 5.78E-01 5.78E-01 2.91E-05 2.58E-01  -2.931  -2.953
  2.60   9.4124   1.247   -21.32  15.27  13.85  1.399  1.098 4.94E-01 4.94E-01 1.71E-06 3.50E-01  -2.516  -2.538
  2.80   9.6380   1.323   -21.52  14.52  16.82  1.235  1.164 3.66E-01 3.66E-01 1.38E-08 4.75E-01  -1.871  -1.894
  3.00   9.8762   1.444   -21.59  13.85  15.52  0.936  1.215 1.92E-01 1.92E-01 4.79E-12 6.25E-01  -0.882  -0.910
  3.20  10.1163   1.584   -21.36  13.43  16.52  0.419  1.157 4.00E-02 4.00E-02 1.09E-17 7.14E-01   0.318   0.266
  3.40  10.3225   1.607   -20.67  13.39  15.06  0.209  0.849 7.75E-04 7.75E-04 0.00E+00 6.24E-01   2.135   2.074
     5.800    14.000
 -7.40   0.0170   1.997    -9.38  64.97   1.00  1.001  1.000 6.62E-04 1.10E-04 0.00E+00 1.23E-02  -7.442  -7.442
