 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    13.900
 -7.40  -0.3830   1.998    -9.38  65.66   1.00  1.001  1.000 6.27E-04 9.85E-05 0.00E+00 1.13E-02  -7.477  -7.477
 -7.20  -0.1831   1.997    -9.38  64.74   1.00  1.001  0.999 7.02E-04 1.14E-04 0.00E+00 1.28E-02  -7.473  -7.473
 -7.00   0.0168   1.997    -9.38  63.82   1.01  1.001  0.999 7.83E-04 1.33E-04 0.00E+00 1.46E-02  -7.468  -7.468
 -6.80   0.2167   1.996    -9.38  62.90   1.01  1.001  0.999 8.70E-04 1.54E-04 0.00E+00 1.66E-02  -7.463  -7.463
 -6.60   0.4166   1.996    -9.38  61.99   1.01  1.001  0.999 9.62E-04 1.78E-04 0.00E+00 1.87E-02  -7.457  -7.457
 -6.40   0.6165   1.995    -9.38  61.07   1.01  1.001  0.999 1.06E-03 2.07E-04 0.00E+00 2.11E-02  -7.451  -7.451
 -6.20   0.8163   1.994    -9.38  60.15   1.01  1.002  0.999 1.16E-03 2.39E-04 0.00E+00 2.37E-02  -7.444  -7.444
 -6.00   1.0162   1.994    -9.37  59.24   1.01  1.002  0.999 1.27E-03 2.77E-04 0.00E+00 2.64E-02  -7.437  -7.437
 -5.80   1.2161   1.993    -9.37  58.32   1.01  1.002  0.999 1.38E-03 3.21E-04 0.00E+00 2.94E-02  -7.430  -7.430
 -5.60   1.4159   1.992    -9.37  57.41   1.01  1.002  0.999 1.50E-03 3.72E-04 0.00E+00 3.26E-02  -7.421  -7.421
 -5.40   1.6158   1.992    -9.37  56.49   1.01  1.002  0.999 1.62E-03 4.30E-04 0.00E+00 3.58E-02  -7.412  -7.412
 -5.20   1.8157   1.991    -9.37  55.58   1.01  1.002  0.999 1.75E-03 4.98E-04 0.00E+00 3.92E-02  -7.402  -7.402
 -5.00   2.0155   1.991    -9.37  54.67   1.02  1.002  0.999 1.89E-03 5.76E-04 0.00E+00 4.28E-02  -7.391  -7.391
 -4.80   2.2154   1.990    -9.36  53.75   1.02  1.003  0.999 2.04E-03 6.67E-04 0.00E+00 4.64E-02  -7.378  -7.378
 -4.60   2.4153   1.990    -9.36  52.84   1.02  1.003  1.000 2.21E-03 7.75E-04 0.00E+00 5.01E-02  -7.363  -7.363
 -4.40   2.6152   1.989    -9.36  51.93   1.02  1.003  0.999 2.38E-03 8.97E-04 2.94E-19 5.39E-02  -7.345  -7.345
 -4.20   2.8151   1.989    -9.36  51.01   1.02  1.003  0.999 2.58E-03 1.05E-03 1.15E-18 5.79E-02  -7.323  -7.323
 -4.00   3.0150   1.988    -9.36  50.10   1.03  1.003  0.999 2.79E-03 1.21E-03 4.51E-18 6.18E-02  -7.295  -7.295
 -3.80   3.2148   1.987    -9.36  49.19   1.03  1.004  0.999 3.04E-03 1.42E-03 1.76E-17 6.58E-02  -7.258  -7.258
 -3.60   3.4147   1.987    -9.36  48.28   1.04  1.004  0.999 3.30E-03 1.66E-03 6.90E-17 6.99E-02  -7.212  -7.212
 -3.40   3.6144   1.986    -9.36  47.36   1.04  1.005  0.999 3.61E-03 1.96E-03 2.70E-16 7.38E-02  -7.152  -7.153
 -3.20   3.8142   1.984    -9.36  46.45   1.05  1.006  0.999 3.95E-03 2.30E-03 1.05E-15 7.80E-02  -7.078  -7.079
 -3.00   4.0138   1.983    -9.36  45.54   1.07  1.007  0.998 4.37E-03 2.75E-03 4.11E-15 8.23E-02  -6.987  -6.989
 -2.80   4.2134   1.981    -9.36  44.63   1.09  1.009  0.998 4.84E-03 3.28E-03 1.60E-14 8.68E-02  -6.880  -6.884
 -2.60   4.4129   1.979    -9.36  43.71   1.11  1.001  0.998 5.48E-03 3.99E-03 6.18E-14 9.16E-02  -6.757  -6.763
 -2.40   4.6122   1.976    -9.37  42.80   1.17  1.014  0.998 6.32E-03 4.94E-03 2.39E-13 9.63E-02  -6.617  -6.628
 -2.20   4.8117   1.973    -9.38  41.88   1.24  1.019  0.997 7.38E-03 6.12E-03 9.20E-13 1.02E-01  -6.463  -6.482
 -2.00   5.0107   1.968    -9.39  40.96   1.36  1.026  0.996 8.98E-03 7.87E-03 3.54E-12 1.06E-01  -6.293  -6.322
 -1.80   5.2098   1.965    -9.41  40.04   1.52  1.035  0.995 1.11E-02 1.02E-02 1.35E-11 1.11E-01  -6.111  -6.153
 -1.60   5.4081   1.957    -9.44  39.10   1.78  1.050  0.994 1.43E-02 1.36E-02 5.13E-11 1.14E-01  -5.919  -5.976
 -1.40   5.6068   1.951    -9.49  38.16   2.14  1.070  0.992 1.87E-02 1.82E-02 1.92E-10 1.19E-01  -5.728  -5.796
 -1.20   5.8048   1.942    -9.56  37.20   2.69  1.100  0.988 2.54E-02 2.51E-02 7.13E-10 1.23E-01  -5.545  -5.616
 -1.00   6.0009   1.925    -9.66  36.19   3.50  1.143  0.982 3.52E-02 3.50E-02 2.64E-09 1.21E-01  -5.376  -5.441
 -0.80   6.1968   1.906    -9.80  35.17   4.61  1.201  0.976 4.89E-02 4.88E-02 9.33E-09 1.25E-01  -5.218  -5.272
 -0.60   6.3912   1.882    -9.99  34.11   6.08  1.278  0.968 6.77E-02 6.76E-02 3.20E-08 1.27E-01  -5.060  -5.104
 -0.40   6.5839   1.851   -10.25  32.98   7.97  1.377  0.958 9.34E-02 9.34E-02 1.05E-07 1.28E-01  -4.898  -4.935
 -0.20   6.7745   1.811   -10.60  31.80  10.20  1.495  0.947 1.27E-01 1.27E-01 3.29E-07 1.28E-01  -4.736  -4.768
  0.00   6.9597   1.751   -11.06  30.49  12.78  1.629  0.935 1.71E-01 1.71E-01 9.84E-07 1.17E-01  -4.575  -4.606
  0.20   7.1458   1.695   -11.57  29.18  15.16  1.760  0.925 2.20E-01 2.20E-01 2.68E-06 1.16E-01  -4.423  -4.451
  0.40   7.3299   1.634   -12.16  27.82  17.26  1.883  0.916 2.76E-01 2.76E-01 6.77E-06 1.13E-01  -4.276  -4.304
  0.60   7.5126   1.570   -12.81  26.44  18.80  1.985  0.909 3.35E-01 3.35E-01 1.58E-05 1.09E-01  -4.135  -4.162
  0.80   7.6941   1.505   -13.48  25.06  19.73  2.050  0.906 3.95E-01 3.95E-01 3.40E-05 1.04E-01  -3.999  -4.025
  1.00   7.8756   1.442   -14.14  23.71  19.83  2.085  0.906 4.51E-01 4.51E-01 6.66E-05 1.02E-01  -3.862  -3.888
  1.20   8.0572   1.382   -14.78  22.42  20.61  2.105  0.911 5.03E-01 5.03E-01 1.18E-04 1.02E-01  -3.724  -3.750
  1.40   8.2403   1.330   -15.39  21.19  18.87  2.022  0.920 5.44E-01 5.44E-01 1.84E-04 1.08E-01  -3.576  -3.602
  1.60   8.4256   1.285   -15.93  20.04  17.78  1.949  0.933 5.72E-01 5.72E-01 2.39E-04 1.21E-01  -3.409  -3.435
  1.80   8.6139   1.251   -16.42  18.98  16.56  1.855  0.950 5.86E-01 5.86E-01 2.43E-04 1.44E-01  -3.222  -3.249
  2.00   8.8061   1.229   -16.84  17.99  15.38  1.746  0.973 5.80E-01 5.80E-01 1.70E-04 1.80E-01  -2.996  -3.023
  2.20   9.0036   1.222   -17.20  17.07  14.36  1.627  1.004 5.51E-01 5.51E-01 6.70E-05 2.33E-01  -2.714  -2.740
  2.40   9.2080   1.234   -17.50  16.22  13.64  1.495  1.062 4.92E-01 4.92E-01 1.09E-05 3.07E-01  -2.338  -2.364
