 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    13.400
 -7.40  -1.9828   1.998  -7.250 67.943  1.083  1.003  0.999 6.94E-04 2.88E-04 1.79E-18 7.70E-03 -7.295 -7.295
 -7.20  -1.7829   1.998  -7.252 67.022  1.118  1.004  0.999 8.50E-04 3.88E-04 7.08E-18 8.85E-03 -7.295 -7.295
 -7.00  -1.5830   1.997  -7.254 66.099  1.181  1.005  0.999 1.11E-03 5.83E-04 2.81E-17 1.01E-02 -7.295 -7.295
 -6.80  -1.3832   1.997  -7.259 65.175  1.279  1.008  1.003 1.48E-03 8.84E-04 1.11E-16 1.16E-02 -7.295 -7.295
 -6.60  -1.1834   1.996  -7.265 64.249  1.415  1.011  0.999 1.91E-03 1.24E-03 4.39E-16 1.33E-02 -7.295 -7.295
 -6.40  -0.9836   1.994  -7.277 63.319  1.647  1.017  0.998 2.66E-03 1.91E-03 1.73E-15 1.51E-02 -7.295 -7.295
 -6.20  -0.7840   1.993  -7.293 62.385  1.978  1.025  0.998 3.59E-03 2.76E-03 6.82E-15 1.72E-02 -7.294 -7.294
 -6.00  -0.5844   1.991  -7.321 61.437  2.530  1.039  0.997 5.20E-03 4.28E-03 2.67E-14 1.95E-02 -7.294 -7.294
 -5.80  -0.3850   1.988  -7.361 60.480  3.331  1.058  0.996 7.32E-03 6.30E-03 1.04E-13 2.20E-02 -7.293 -7.293
 -5.60  -0.1859   1.984  -7.429 59.497  4.620  1.090  0.994 1.09E-02 9.77E-03 4.06E-13 2.47E-02 -7.292 -7.292
 -5.40   0.0129   1.978  -7.527 58.485  6.501  1.135  0.992 1.58E-02 1.46E-02 1.57E-12 2.75E-02 -7.289 -7.289
 -5.20   0.2110   1.970  -7.685 57.416  9.411  1.207  0.989 2.37E-02 2.24E-02 5.97E-12 3.04E-02 -7.284 -7.284
 -5.00   0.4082   1.957  -7.925 56.271 13.672  1.312  1.030 3.57E-02 3.43E-02 2.24E-11 3.32E-02 -7.277 -7.277
 -4.80   0.6045   1.941  -8.265 55.032 19.545  1.456  0.976 5.20E-02 5.06E-02 8.21E-11 3.58E-02 -7.265 -7.265
 -4.60   0.7988   1.915  -8.773 53.635 27.602  1.661  0.966 7.69E-02 7.53E-02 2.90E-10 3.78E-02 -7.248 -7.248
 -4.40   0.9913   1.883  -9.459 52.071 37.622  1.919  0.954 1.09E-01 1.08E-01 9.89E-10 3.92E-02 -7.225 -7.225
 -4.20   1.1808   1.838 -10.395 50.278 49.215  2.238  0.940 1.55E-01 1.53E-01 3.16E-09 3.94E-02 -7.193 -7.193
 -4.00   1.3678   1.783 -11.555 48.282 61.077  2.582  0.925 2.09E-01 2.08E-01 9.54E-09 3.83E-02 -7.151 -7.151
 -3.80   1.5513   1.717 -12.955 46.078 71.361  2.921  0.910 2.76E-01 2.75E-01 2.65E-08 3.58E-02 -7.096 -7.096
 -3.60   1.7327   1.645 -14.507 43.750 78.743  3.208  0.899 3.49E-01 3.48E-01 6.86E-08 3.24E-02 -7.027 -7.027
 -3.40   1.9117   1.567 -16.153 41.366 81.809  3.403  0.891 4.28E-01 4.27E-01 1.63E-07 2.80E-02 -6.943 -6.943
 -3.20   2.0901   1.491 -17.799 39.016 81.053  3.494  0.889 5.05E-01 5.04E-01 3.65E-07 2.34E-02 -6.843 -6.843
 -3.00   2.2681   1.417 -19.345 36.804 74.357  3.478  0.891 5.80E-01 5.79E-01 7.63E-07 1.87E-02 -6.727 -6.728
 -2.80   2.4469   1.350 -20.787 34.726 70.300  3.349  0.897 6.48E-01 6.47E-01 1.51E-06 1.45E-02 -6.597 -6.597
 -2.60   2.6274   1.291 -22.083 32.821 62.411  3.173  0.905 7.08E-01 7.07E-01 2.87E-06 1.11E-02 -6.452 -6.452
 -2.40   2.8095   1.239 -23.192 31.131 54.109  2.948  0.916 7.60E-01 7.60E-01 5.25E-06 8.15E-03 -6.294 -6.295
 -2.20   2.9939   1.195 -24.150 29.610 46.158  2.711  0.926 8.04E-01 8.04E-01 9.37E-06 5.89E-03 -6.126 -6.127
 -2.00   3.1802   1.158 -24.938 28.282 38.964  2.469  0.937 8.42E-01 8.41E-01 1.62E-05 4.17E-03 -5.949 -5.950
 -1.80   3.3687   1.128 -25.604 27.088 32.584  2.244  0.947 8.72E-01 8.72E-01 2.78E-05 2.90E-03 -5.767 -5.768
 -1.60   3.5589   1.102 -26.137 26.042 27.166  2.039  0.955 8.97E-01 8.97E-01 4.66E-05 1.99E-03 -5.579 -5.580
 -1.40   3.7508   1.082 -26.584 25.092 22.552  1.860  0.963 9.17E-01 9.17E-01 7.74E-05 1.34E-03 -5.387 -5.389
 -1.20   3.9442   1.066 -26.935 24.246 18.787  1.705  0.970 9.34E-01 9.34E-01 1.27E-04 8.91E-04 -5.194 -5.197
 -1.00   4.1387   1.052 -27.218 23.476 15.714  1.576  0.975 9.47E-01 9.47E-01 2.07E-04 5.94E-04 -4.996 -5.000
 -0.80   4.3342   1.042 -27.456 22.754 13.147  1.469  0.980 9.57E-01 9.57E-01 3.36E-04 3.82E-04 -4.801 -4.806
 -0.60   4.5306   1.033 -27.641 22.092 11.147  1.381  0.983 9.65E-01 9.65E-01 5.42E-04 2.52E-04 -4.603 -4.609
 -0.40   4.7276   1.026 -27.798 21.460  9.501  1.312  0.986 9.72E-01 9.71E-01 8.71E-04 1.60E-04 -4.402 -4.411
 -0.20   4.9251   1.020 -27.922 20.865  8.268  1.259  0.988 9.76E-01 9.76E-01 1.39E-03 1.11E-04 -4.201 -4.214
  0.00   5.1229   1.015 -28.032 20.286  7.302  1.220  0.990 9.79E-01 9.79E-01 2.22E-03 8.53E-05 -3.993 -4.012
  0.20   5.3208   1.010 -28.125 19.728  6.658  1.196  0.990 9.79E-01 9.79E-01 3.52E-03 7.98E-05 -3.786 -3.813
  0.40   5.5188   1.005 -28.216 19.171  6.262  1.188  0.989 9.78E-01 9.78E-01 5.55E-03 1.18E-04 -3.579 -3.613
  0.60   5.7165   1.000 -28.309 18.617  6.200  1.199  0.987 9.74E-01 9.74E-01 8.69E-03 2.31E-04 -3.392 -3.415
  0.80   5.9136   0.993 -28.419 18.048  6.461  1.232  0.984 9.66E-01 9.66E-01 1.35E-02 5.16E-04 -3.213 -3.225
  1.00   6.1098   0.985 -28.554 17.457  7.141  1.294  0.978 9.52E-01 9.52E-01 2.05E-02 1.20E-03 -3.015 -3.026
  1.20   6.3046   0.973 -28.734 16.825  8.253  1.390  0.969 9.32E-01 9.32E-01 3.07E-02 2.82E-03 -2.814 -2.825
  1.40   6.4974   0.957 -28.973 16.142  9.822  1.524  0.958 9.02E-01 9.02E-01 4.43E-02 6.49E-03 -2.610 -2.623
  1.60   6.6877   0.936 -29.287 15.391 11.662  1.693  0.944 8.60E-01 8.60E-01 6.14E-02 1.45E-02 -2.405 -2.421
  1.80   6.8751   0.909 -29.682 14.571 13.657  1.879  0.929 8.07E-01 8.07E-01 8.02E-02 3.09E-02 -2.200 -2.219
  2.00   7.0597   0.877 -30.153 13.687 15.336  2.065  0.916 7.42E-01 7.42E-01 9.71E-02 6.25E-02 -1.993 -2.015
  2.20   7.2419   0.842 -30.682 12.760 16.432  2.223  0.906 6.69E-01 6.69E-01 1.06E-01 1.18E-01 -1.781 -1.805
  2.40   7.4226   0.806 -31.241 11.817 16.748  2.335  0.901 5.90E-01 5.90E-01 1.01E-01 2.06E-01 -1.556 -1.580
  2.60   7.6030   0.770 -31.803 10.887 16.324  2.393  0.903 5.12E-01 5.12E-01 8.03E-02 3.27E-01 -1.293 -1.318
  2.80   7.7844   0.738 -32.340  9.992 15.313  2.403  0.911 4.36E-01 4.36E-01 4.85E-02 4.66E-01 -0.952 -0.976
  3.00   7.9680   0.710 -32.836  9.145 13.888  2.380  0.926 3.67E-01 3.67E-01 1.95E-02 5.94E-01 -0.509 -0.534
  3.20   8.1553   0.690 -33.279  8.348 12.284  2.346  0.948 3.04E-01 3.04E-01 4.20E-03 6.87E-01  0.141  0.113
  3.40   8.3477   0.678 -33.667  7.593 10.680  2.324  0.979 2.50E-01 2.50E-01 3.42E-04 7.49E-01  1.185  1.150
  3.60   8.5478   0.678 -33.995  6.856  9.081  2.349  1.027 2.04E-01 2.04E-01 6.04E-06 7.96E-01  2.425  2.369
     5.350    13.400
 -7.40  -1.7828   1.998  -6.348 67.374  1.030  1.001  1.000 5.34E-04 1.11E-04 0.00E+00 8.09E-03 -7.180 -7.180
 -7.20  -1.5829   1.998  -6.348 66.454  1.035  1.001  1.000 6.15E-04 1.35E-04 0.00E+00 9.29E-03 -7.180 -7.180
 -7.00  -1.3830   1.998  -6.348 65.534  1.043  1.002  0.999 7.23E-04 1.81E-04 1.71E-19 1.07E-02 -7.180 -7.180
 -6.80  -1.1831   1.997  -6.347 64.615  1.052  1.002  0.999 8.38E-04 2.27E-04 6.79E-19 1.22E-02 -7.180 -7.180
 -6.60  -0.9832   1.996  -6.348 63.696  1.070  1.003  0.999 1.00E-03 3.14E-04 2.69E-18 1.39E-02 -7.180 -7.180
 -6.40  -0.7834   1.996  -6.348 62.776  1.093  1.003  0.999 1.17E-03 4.07E-04 1.06E-17 1.58E-02 -7.179 -7.179
 -6.20  -0.5835   1.995  -6.349 61.856  1.134  1.005  1.000 1.44E-03 5.83E-04 4.19E-17 1.80E-02 -7.179 -7.179
 -6.00  -0.3837   1.994  -6.351 60.934  1.189  1.006  0.999 1.73E-03 7.84E-04 1.65E-16 2.05E-02 -7.179 -7.179
 -5.80  -0.1839   1.993  -6.356 60.011  1.285  1.009  0.999 2.19E-03 1.16E-03 6.50E-16 2.31E-02 -7.178 -7.178
 -5.60   0.0158   1.992  -6.363 59.085  1.434  1.014  1.004 2.86E-03 1.73E-03 2.55E-15 2.60E-02 -7.176 -7.176
 -5.40   0.2154   1.990  -6.374 58.157  1.643  1.019  0.998 3.66E-03 2.42E-03 1.00E-14 2.91E-02 -7.174 -7.174
 -5.20   0.4150   1.988  -6.393 57.221  1.992  1.029  0.997 5.02E-03 3.68E-03 3.92E-14 3.25E-02 -7.171 -7.171
 -5.00   0.6145   1.986  -6.420 56.278  2.494  1.043  0.997 6.74E-03 5.30E-03 1.53E-13 3.61E-02 -7.165 -7.165
 -4.80   0.8137   1.982  -6.467 55.316  3.311  1.066  0.995 9.67E-03 8.13E-03 5.93E-13 3.98E-02 -7.156 -7.156
 -4.60   1.0127   1.978  -6.534 54.338  4.485  1.098  0.994 1.36E-02 1.19E-02 2.30E-12 4.34E-02 -7.142 -7.142
 -4.40   1.2111   1.971  -6.644 53.318  6.332  1.149  0.991 2.00E-02 1.83E-02 8.77E-12 4.71E-02 -7.121 -7.121
