 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    13.000
 -7.40  -1.9827   1.999  -2.185 66.225  1.370  1.001  1.000 4.64E-04 6.77E-05 0.00E+00 7.52E-03 -6.289 -6.289
 -7.20  -1.7828   1.998  -2.185 65.305  1.371  1.001  1.000 5.31E-04 8.06E-05 0.00E+00 8.64E-03 -6.289 -6.289
 -7.00  -1.5829   1.998  -2.184 64.386  1.372  1.001  1.000 6.08E-04 9.73E-05 0.00E+00 9.91E-03 -6.289 -6.289
 -6.80  -1.3830   1.997  -2.184 63.466  1.373  1.001  1.000 6.96E-04 1.19E-04 0.00E+00 1.14E-02 -6.288 -6.288
 -6.60  -1.1831   1.997  -2.183 62.547  1.376  1.001  0.999 7.95E-04 1.45E-04 0.00E+00 1.30E-02 -6.287 -6.287
 -6.40  -0.9832   1.996  -2.183 61.628  1.381  1.002  0.999 9.11E-04 1.83E-04 1.91E-19 1.48E-02 -6.286 -6.286
 -6.20  -0.7834   1.996  -2.183 60.709  1.387  1.002  0.999 1.04E-03 2.31E-04 7.55E-19 1.68E-02 -6.284 -6.284
 -6.00  -0.5835   1.995  -2.182 59.789  1.399  1.003  0.999 1.20E-03 3.00E-04 2.98E-18 1.92E-02 -6.281 -6.281
 -5.80  -0.3837   1.994  -2.183 58.869  1.416  1.003  0.999 1.39E-03 3.95E-04 1.17E-17 2.17E-02 -6.277 -6.277
 -5.60  -0.1839   1.993  -2.183 57.950  1.443  1.004  0.999 1.64E-03 5.37E-04 4.62E-17 2.45E-02 -6.269 -6.270
 -5.40   0.0159   1.992  -2.185 57.030  1.486  1.006  0.999 1.94E-03 7.37E-04 1.82E-16 2.76E-02 -6.258 -6.259
 -5.20   0.2156   1.991  -2.188 56.108  1.554  1.008  0.999 2.36E-03 1.05E-03 7.14E-16 3.09E-02 -6.241 -6.242
 -5.00   0.4154   1.990  -2.193 55.185  1.660  1.012  0.999 2.93E-03 1.51E-03 2.80E-15 3.45E-02 -6.215 -6.216
 -4.80   0.6150   1.988  -2.202 54.258  1.824  1.017  0.998 3.72E-03 2.19E-03 1.10E-14 3.83E-02 -6.178 -6.180
 -4.60   0.8146   1.986  -2.217 53.328  2.081  1.025  0.998 4.89E-03 3.27E-03 4.29E-14 4.21E-02 -6.125 -6.128
 -4.40   1.0141   1.984  -2.241 52.389  2.478  1.037  0.997 6.60E-03 4.87E-03 1.67E-13 4.62E-02 -6.051 -6.057
 -4.20   1.2134   1.981  -2.279 51.436  3.094  1.056  0.996 9.20E-03 7.37E-03 6.47E-13 5.03E-02 -5.955 -5.965
 -4.00   1.4124   1.976  -2.339 50.464  4.033  1.084  0.994 1.31E-02 1.11E-02 2.49E-12 5.45E-02 -5.831 -5.850
 -3.80   1.6109   1.970  -2.431 49.462  5.460  1.128  0.991 1.90E-02 1.69E-02 9.53E-12 5.85E-02 -5.679 -5.711
 -3.60   1.8089   1.961  -2.572 48.412  7.587  1.193  0.988 2.77E-02 2.56E-02 3.59E-11 6.25E-02 -5.498 -5.551
 -3.40   2.0059   1.947  -2.786 47.297 10.664  1.288  0.982 4.09E-02 3.87E-02 1.33E-10 6.58E-02 -5.289 -5.371
 -3.20   2.2016   1.928  -3.099 46.090 14.939  1.421  0.974 6.00E-02 5.77E-02 4.79E-10 6.83E-02 -5.057 -5.173
 -3.00   2.3954   1.901  -3.547 44.760 20.573  1.602  0.963 8.73E-02 8.50E-02 1.67E-09 6.97E-02 -4.821 -4.963
 -2.80   2.5868   1.863  -4.163 43.277 27.436  1.831  0.950 1.25E-01 1.22E-01 5.52E-09 6.95E-02 -4.613 -4.759
 -2.60   2.7754   1.815  -4.967 41.626 35.002  2.097  0.935 1.73E-01 1.71E-01 1.72E-08 6.75E-02 -4.443 -4.571
 -2.40   2.9609   1.755  -5.963 39.810 42.295  2.376  0.919 2.33E-01 2.31E-01 5.01E-08 6.35E-02 -4.287 -4.403
 -2.20   3.1434   1.686  -7.113 37.872 48.342  2.629  0.906 3.03E-01 3.01E-01 1.35E-07 5.76E-02 -4.126 -4.234
 -2.00   3.3236   1.611  -8.382 35.847 51.968  2.831  0.895 3.79E-01 3.77E-01 3.36E-07 5.07E-02 -3.958 -4.057
 -1.80   3.5023   1.534  -9.707 33.799 54.359  2.930  0.890 4.58E-01 4.56E-01 7.75E-07 4.34E-02 -3.788 -3.878
 -1.60   3.6801   1.457 -10.984 31.838 51.071  2.990  0.889 5.35E-01 5.33E-01 1.67E-06 3.55E-02 -3.618 -3.700
 -1.40   3.8583   1.386 -12.186 29.985 47.711  2.936  0.893 6.07E-01 6.05E-01 3.42E-06 2.82E-02 -3.449 -3.524
 -1.20   4.0376   1.322 -13.274 28.278 43.134  2.815  0.901 6.73E-01 6.71E-01 6.63E-06 2.17E-02 -3.280 -3.348
 -1.00   4.2187   1.265 -14.226 26.733 38.033  2.653  0.910 7.30E-01 7.28E-01 1.23E-05 1.64E-02 -3.111 -3.173
 -0.80   4.4017   1.217 -15.050 25.339 32.864  2.462  0.921 7.79E-01 7.78E-01 2.22E-05 1.19E-02 -2.942 -2.998
 -0.60   4.5870   1.176 -15.738 24.103 28.060  2.269  0.931 8.20E-01 8.19E-01 3.90E-05 8.69E-03 -2.772 -2.822
 -0.40   4.7742   1.142 -16.315 22.993 23.701  2.079  0.942 8.55E-01 8.53E-01 6.70E-05 6.04E-03 -2.600 -2.644
 -0.20   4.9636   1.114 -16.784 22.006 19.982  1.908  0.951 8.83E-01 8.81E-01 1.13E-04 4.33E-03 -2.427 -2.466
  0.00   5.1547   1.092 -17.168 21.114 16.820  1.755  0.959 9.05E-01 9.04E-01 1.88E-04 3.07E-03 -2.251 -2.286
  0.20   5.3472   1.073 -17.450 20.334 10.827  1.616  0.967 9.24E-01 9.23E-01 3.10E-04 1.97E-03 -2.073 -2.104
  0.40   5.5412   1.058 -17.704 19.589 12.321  1.510  0.973 9.38E-01 9.37E-01 5.04E-04 1.44E-03 -1.892 -1.920
  0.60   5.7362   1.046 -17.911 18.899 10.571  1.418  0.977 9.50E-01 9.49E-01 8.13E-04 1.10E-03 -1.709 -1.735
  0.80   5.9322   1.037 -18.080 18.249  9.160  1.345  0.981 9.58E-01 9.57E-01 1.30E-03 9.12E-04 -1.523 -1.547
  1.00   6.1287   1.028 -18.220 17.634  8.052  1.288  0.984 9.64E-01 9.63E-01 2.05E-03 9.02E-04 -1.335 -1.357
  1.20   6.3257   1.021 -18.341 17.041  7.190  1.244  0.986 9.68E-01 9.67E-01 3.18E-03 1.10E-03 -1.143 -1.165
  1.40   6.5231   1.015 -18.447 16.466  6.593  1.220  0.987 9.69E-01 9.68E-01 4.84E-03 1.86E-03 -0.949 -0.970
  1.60   6.7205   1.009 -18.549 15.897  6.231  1.211  0.987 9.66E-01 9.65E-01 7.13E-03 3.65E-03 -0.750 -0.772
  1.80   6.9178   1.003 -18.656 15.326  6.112  1.223  0.985 9.60E-01 9.58E-01 9.99E-03 7.71E-03 -0.547 -0.570
  2.00   7.1146   0.996 -18.779 14.741  6.251  1.257  0.983 9.47E-01 9.46E-01 1.30E-02 1.65E-02 -0.339 -0.365
  2.20   7.3108   0.987 -18.930 14.131  6.664  1.317  0.979 9.28E-01 9.27E-01 1.50E-02 3.41E-02 -0.126 -0.155
  2.40   7.5061   0.976 -19.124 13.482  7.336  1.405  0.974 8.99E-01 8.98E-01 1.45E-02 6.58E-02  0.095  0.065
  2.60   7.7006   0.964 -19.369 12.782  8.162  1.520  0.971 8.58E-01 8.57E-01 1.06E-02 1.15E-01  0.353  0.323
  2.80   7.8951   0.952 -19.672 12.027  9.095  1.647  0.974 8.06E-01 8.06E-01 4.99E-03 1.79E-01  0.700  0.672
  3.00   8.0910   0.943 -20.027 11.215  9.866  1.780  0.988 7.44E-01 7.43E-01 1.20E-03 2.51E-01  1.255  1.225
  3.20   8.2914   0.944 -20.420 10.354 10.348  1.904  1.021 6.73E-01 6.72E-01 1.02E-04 3.24E-01  1.608  1.575
  3.40   8.5016   0.966 -20.824  9.449 10.461  2.015  1.090 5.99E-01 5.99E-01 1.69E-06 3.98E-01  1.594  1.555
  3.60   8.7314   1.035 -21.197  8.502 10.255  2.111  1.229 5.30E-01 5.29E-01 2.16E-09 4.68E-01  1.802  1.746
     5.350    13.000
 -7.40  -1.7827   1.999  -1.794 65.697  1.451  1.001  1.000 4.73E-04 6.61E-05 0.00E+00 7.80E-03 -6.151 -6.151
 -7.20  -1.5828   1.998  -1.794 64.778  1.451  1.001  1.000 5.39E-04 7.72E-05 0.00E+00 8.96E-03 -6.151 -6.151
 -7.00  -1.3829   1.998  -1.793 63.859  1.451  1.001  1.000 6.13E-04 9.07E-05 0.00E+00 1.03E-02 -6.150 -6.150
 -6.80  -1.1830   1.997  -1.793 62.939  1.451  1.001  0.999 6.95E-04 1.06E-04 0.00E+00 1.18E-02 -6.150 -6.150
 -6.60  -0.9831   1.997  -1.792 62.021  1.452  1.001  0.999 7.86E-04 1.26E-04 0.00E+00 1.34E-02 -6.149 -6.149
 -6.40  -0.7833   1.996  -1.792 61.102  1.452  1.002  0.999 8.86E-04 1.48E-04 0.00E+00 1.53E-02 -6.147 -6.147
 -6.20  -0.5834   1.996  -1.791 60.184  1.453  1.002  0.999 9.98E-04 1.77E-04 0.00E+00 1.74E-02 -6.145 -6.145
 -6.00  -0.3835   1.995  -1.790 59.264  1.455  1.002  0.999 1.12E-03 2.11E-04 0.00E+00 1.98E-02 -6.141 -6.141
 -5.80  -0.1837   1.994  -1.790 58.346  1.457  1.002  0.999 1.26E-03 2.57E-04 2.79E-19 2.24E-02 -6.136 -6.136
 -5.60   0.0161   1.993  -1.789 57.428  1.462  1.003  0.999 1.41E-03 3.16E-04 1.10E-18 2.52E-02 -6.127 -6.127
 -5.40   0.2159   1.992  -1.788 56.510  1.469  1.003  0.999 1.59E-03 3.90E-04 4.33E-18 2.83E-02 -6.113 -6.114
 -5.20   0.4157   1.992  -1.788 55.592  1.480  1.004  0.999 1.79E-03 4.94E-04 1.70E-17 3.16E-02 -6.093 -6.093
 -5.00   0.6155   1.991  -1.788 54.674  1.497  1.005  0.999 2.03E-03 6.32E-04 6.68E-17 3.52E-02 -6.062 -6.063
 -4.80   0.8153   1.990  -1.789 53.756  1.525  1.006  0.999 2.33E-03 8.34E-04 2.62E-16 3.91E-02 -6.018 -6.020
 -4.60   1.0151   1.989  -1.791 52.839  1.568  1.008  0.999 2.71E-03 1.11E-03 1.03E-15 4.29E-02 -5.956 -5.961
 -4.40   1.2148   1.987  -1.794 51.919  1.636  1.010  0.999 3.22E-03 1.53E-03 4.03E-15 4.70E-02 -5.871 -5.881
 -4.20   1.4145   1.986  -1.801 50.997  1.740  1.014  0.998 3.92E-03 2.13E-03 1.57E-14 5.13E-02 -5.762 -5.778
 -4.00   1.6142   1.984  -1.811 50.071  1.906  1.020  0.998 4.94E-03 3.06E-03 6.13E-14 5.56E-02 -5.624 -5.652
 -3.80   1.8137   1.982  -1.828 49.140  2.160  1.029  0.997 6.38E-03 4.42E-03 2.39E-13 6.00E-02 -5.456 -5.503
 -3.60   2.0132   1.980  -1.856 48.197  2.559  1.043  0.996 8.58E-03 6.52E-03 9.23E-13 6.47E-02 -5.259 -5.332
 -3.40   2.2123   1.976  -1.899 47.241  3.170  1.064  0.995 1.19E-02 9.72E-03 3.56E-12 6.90E-02 -5.038 -5.142
 -3.20   2.4111   1.971  -1.966 46.264  4.094  1.096  0.993 1.67E-02 1.45E-02 1.36E-11 7.32E-02 -4.807 -4.939
 -3.00   2.6094   1.963  -2.069 45.254  5.486  1.144  0.989 2.41E-02 2.18E-02 5.15E-11 7.71E-02 -4.598 -4.734
 -2.80   2.8068   1.951  -2.223 44.199  7.503  1.214  0.984 3.50E-02 3.26E-02 1.93E-10 8.02E-02 -4.427 -4.545
 -2.60   3.0030   1.934  -2.454 43.074 10.380  1.316  0.977 5.11E-02 4.86E-02 7.01E-10 8.27E-02 -4.264 -4.372
 -2.40   3.1977   1.911  -2.786 41.856 14.264  1.454  0.968 7.40E-02 7.15E-02 2.48E-09 8.43E-02 -4.088 -4.188
 -2.20   3.3902   1.878  -3.251 40.518 19.189  1.635  0.956 1.06E-01 1.04E-01 8.38E-09 8.44E-02 -3.900 -3.992
 -2.00   3.5801   1.835  -3.872 39.042 24.909  1.853  0.942 1.49E-01 1.46E-01 2.69E-08 8.27E-02 -3.708 -3.795
 -1.80   3.7671   1.780  -4.667 37.413 30.802  2.097  0.927 2.03E-01 2.00E-01 8.03E-08 7.94E-02 -3.515 -3.597
 -1.60   3.9509   1.715  -5.614 35.664 36.057  2.334  0.913 2.67E-01 2.65E-01 2.24E-07 7.34E-02 -3.323 -3.402
 -1.40   4.1324   1.644  -6.677 33.830 39.894  2.537  0.870 3.40E-01 3.37E-01 5.78E-07 6.61E-02 -3.135 -3.210
 -1.20   4.3116   1.567  -7.801 31.972 41.941  2.673  0.894 4.17E-01 4.15E-01 1.38E-06 5.71E-02 -2.951 -3.021
 -1.00   4.4899   1.490  -8.964 30.103 43.253  2.711  0.890 4.95E-01 4.92E-01 3.08E-06 4.79E-02 -2.770 -2.836
 -0.80   4.6681   1.418 -10.049 28.353 39.612  2.739  0.892 5.69E-01 5.66E-01 6.45E-06 3.92E-02 -2.593 -2.653
 -0.60   4.8467   1.349 -11.063 26.704 36.574  2.657  0.898 6.38E-01 6.36E-01 1.28E-05 3.04E-02 -2.417 -2.472
 -0.40   5.0272   1.290 -11.956 25.206 32.865  2.534  0.906 6.99E-01 6.96E-01 2.43E-05 2.37E-02 -2.243 -2.293
 -0.20   5.2095   1.239 -12.737 23.845 28.916  2.381  0.916 7.52E-01 7.49E-01 4.45E-05 1.81E-02 -2.069 -2.113
  0.00   5.3934   1.193 -13.416 22.606 24.894  2.201  0.928 7.98E-01 7.95E-01 7.90E-05 1.24E-02 -1.895 -1.935
  0.20   5.5799   1.157 -13.969 21.513 21.376  2.037  0.938 8.35E-01 8.33E-01 1.37E-04 9.32E-03 -1.718 -1.754
  0.40   5.7685   1.127 -14.427 20.531 18.260  1.880  0.947 8.66E-01 8.63E-01 2.31E-04 6.96E-03 -1.539 -1.573
  0.60   5.9588   1.102 -14.803 19.642 15.580  1.739  0.957 8.91E-01 8.89E-01 3.84E-04 5.24E-03 -1.359 -1.391
  0.80   6.1508   1.082 -15.112 18.830 13.323  1.615  0.963 9.11E-01 9.09E-01 6.27E-04 4.07E-03 -1.178 -1.208
  1.00   6.3440   1.065 -15.370 18.078 11.387  1.502  0.970 9.27E-01 9.25E-01 1.00E-03 3.00E-03 -0.996 -1.024
  1.20   6.5386   1.052 -15.574 17.387  9.921  1.418  0.976 9.39E-01 9.36E-01 1.57E-03 2.98E-03 -0.812 -0.838
  1.40   6.7342   1.042 -15.745 16.734  8.758  1.352  0.980 9.47E-01 9.45E-01 2.39E-03 3.49E-03 -0.627 -0.651
  1.60   6.9306   1.033 -15.890 16.110  7.839  1.306  0.984 9.52E-01 9.49E-01 3.47E-03 4.91E-03 -0.440 -0.464
  1.80   7.1276   1.026 -16.021 15.504  7.226  1.274  0.986 9.53E-01 9.51E-01 4.73E-03 8.11E-03 -0.253 -0.277
  2.00   7.3251   1.020 -16.147 14.906  6.837  1.263  0.988 9.50E-01 9.47E-01 5.85E-03 1.47E-02 -0.066 -0.090
  2.20   7.5231   1.015 -16.250 14.331  6.989  1.276  0.991 9.41E-01 9.38E-01 6.19E-03 2.75E-02  0.122  0.096
  2.40   7.7215   1.011 -16.404 13.707  7.077  1.313  0.994 9.24E-01 9.22E-01 5.16E-03 4.93E-02  0.315  0.288
  2.60   7.9207   1.010 -16.587 13.052  7.417  1.375  1.000 8.99E-01 8.97E-01 2.94E-03 8.18E-02  0.529  0.501
  2.80   8.1218   1.012 -16.812 12.351  7.962  1.461  1.013 8.63E-01 8.61E-01 9.29E-04 1.24E-01  0.816  0.789
  3.00   8.3267   1.024 -17.082 11.593  8.596  1.565  1.040 8.16E-01 8.14E-01 1.16E-04 1.75E-01  1.264  1.233
  3.20   8.5395   1.054 -17.393 10.771  9.194  1.672  1.096 7.57E-01 7.56E-01 3.36E-06 2.35E-01  1.462  1.429
  3.40   8.7679   1.126 -17.719  9.882  9.622  1.762  1.205 6.92E-01 6.90E-01 9.81E-09 3.01E-01  1.422  1.379
  3.60   9.0271   1.290 -17.999  8.933  9.829  1.779  1.420 6.25E-01 6.24E-01 7.65E-13 3.67E-01  1.559  1.502
     5.400    13.000
 -7.40  -1.5828   1.998  -1.437 65.179  1.537  1.001  1.000 4.83E-04 6.75E-05 0.00E+00 8.06E-03 -6.011 -6.011
 -7.20  -1.3828   1.998  -1.436 64.260  1.537  1.001  1.000 5.49E-04 7.87E-05 0.00E+00 9.25E-03 -6.010 -6.010
 -7.00  -1.1829   1.998  -1.436 63.341  1.536  1.001  1.000 6.22E-04 9.15E-05 0.00E+00 1.06E-02 -6.010 -6.010
 -6.80  -0.9830   1.997  -1.435 62.422  1.536  1.001  0.999 7.03E-04 1.07E-04 0.00E+00 1.21E-02 -6.009 -6.009
 -6.60  -0.7832   1.997  -1.435 61.503  1.536  1.001  0.999 7.91E-04 1.24E-04 0.00E+00 1.38E-02 -6.008 -6.008
 -6.40  -0.5833   1.996  -1.434 60.585  1.536  1.002  0.999 8.89E-04 1.45E-04 0.00E+00 1.57E-02 -6.006 -6.006
 -6.20  -0.3834   1.995  -1.434 59.667  1.536  1.002  0.999 9.94E-04 1.70E-04 0.00E+00 1.78E-02 -6.003 -6.003
 -6.00  -0.1836   1.995  -1.433 58.747  1.535  1.002  0.999 1.11E-03 1.99E-04 0.00E+00 2.03E-02 -5.999 -5.999
