 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    14.800
 -7.40  -0.3830   1.998   -81.51  69.80   1.00  1.001  1.000 6.35E-04 1.06E-04 0.00E+00 1.13E-02  -9.357  -9.357
 -7.20  -0.1831   1.997   -81.51  68.88   1.01  1.001  0.999 7.15E-04 1.27E-04 0.00E+00 1.28E-02  -9.357  -9.357
 -7.00   0.0168   1.997   -81.51  67.96   1.01  1.001  0.999 7.97E-04 1.47E-04 0.00E+00 1.46E-02  -9.357  -9.357
 -6.80   0.2167   1.996   -81.51  67.05   1.01  1.001  0.999 8.92E-04 1.76E-04 0.00E+00 1.66E-02  -9.357  -9.357
 -6.60   0.4166   1.995   -81.50  66.13   1.01  1.002  0.999 9.88E-04 2.05E-04 0.00E+00 1.87E-02  -9.357  -9.357
 -6.40   0.6165   1.995   -81.50  65.21   1.01  1.002  0.999 1.10E-03 2.48E-04 0.00E+00 2.11E-02  -9.357  -9.357
 -6.20   0.8163   1.994   -81.50  64.30   1.02  1.002  0.999 1.21E-03 2.89E-04 0.00E+00 2.37E-02  -9.357  -9.357
 -6.00   1.0162   1.994   -81.50  63.38   1.02  1.002  0.999 1.35E-03 3.55E-04 3.53E-19 2.64E-02  -9.357  -9.357
 -5.80   1.2160   1.993   -81.50  62.47   1.03  1.003  0.999 1.50E-03 4.43E-04 1.39E-18 2.94E-02  -9.357  -9.357
 -5.60   1.4159   1.992   -81.50  61.55   1.04  1.003  0.999 1.65E-03 5.20E-04 5.47E-18 3.26E-02  -9.357  -9.357
 -5.40   1.6157   1.992   -81.50  60.64   1.05  1.004  0.999 1.86E-03 6.64E-04 2.15E-17 3.58E-02  -9.357  -9.357
 -5.20   1.8156   1.991   -81.50  59.72   1.07  1.004  0.999 2.05E-03 7.88E-04 8.47E-17 3.92E-02  -9.357  -9.357
 -5.00   2.0154   1.990   -81.50  58.81   1.10  1.005  0.999 2.35E-03 1.03E-03 3.33E-16 4.27E-02  -9.357  -9.357
 -4.80   2.2153   1.990   -81.50  57.89   1.13  1.007  0.999 2.63E-03 1.25E-03 1.31E-15 4.64E-02  -9.356  -9.356
 -4.60   2.4151   1.989   -81.50  56.97   1.20  1.009  0.999 3.12E-03 1.69E-03 5.12E-15 5.00E-02  -9.356  -9.356
 -4.40   2.6149   1.988   -81.50  56.06   1.27  1.011  0.999 3.58E-03 2.10E-03 2.01E-14 5.38E-02  -9.356  -9.356
 -4.20   2.8147   1.987   -81.51  55.13   1.42  1.016  0.998 4.46E-03 2.93E-03 7.83E-14 5.77E-02  -9.355  -9.355
 -4.00   3.0143   1.985   -81.53  54.21   1.64  1.024  0.998 5.75E-03 4.17E-03 3.05E-13 6.16E-02  -9.355  -9.355
 -3.80   3.2140   1.983   -81.54  53.28   1.91  1.032  0.997 7.01E-03 5.40E-03 1.19E-12 6.54E-02  -9.354  -9.354
 -3.60   3.4133   1.980   -81.58  52.33   2.40  1.049  0.996 9.52E-03 7.89E-03 4.62E-12 6.92E-02  -9.352  -9.352
 -3.40   3.6126   1.977   -81.61  51.39   3.01  1.068  0.995 1.22E-02 1.06E-02 1.79E-11 7.28E-02  -9.351  -9.351
 -3.20   3.8113   1.971   -81.69  50.41   4.08  1.102  0.992 1.73E-02 1.57E-02 6.86E-11 7.65E-02  -9.347  -9.347
 -3.00   4.0097   1.964   -81.78  49.41   5.46  1.145  0.989 2.32E-02 2.16E-02 2.62E-10 8.00E-02  -9.343  -9.343
 -2.80   4.2072   1.953   -81.94  48.35   7.72  1.217  0.985 3.37E-02 3.22E-02 9.77E-10 8.31E-02  -9.336  -9.336
 -2.60   4.4040   1.939   -82.14  47.25  10.64  1.307  0.979 4.63E-02 4.49E-02 3.61E-09 8.58E-02  -9.327  -9.327
 -2.40   4.5989   1.916   -82.47  46.03  14.95  1.446  0.971 6.75E-02 6.61E-02 1.29E-08 8.73E-02  -9.313  -9.313
 -2.20   4.7921   1.886   -82.94  44.69  20.50  1.630  0.960 9.71E-02 9.59E-02 4.40E-08 8.79E-02  -9.293  -9.293
 -2.00   4.9836   1.850   -83.52  43.24  26.93  1.838  0.948 1.32E-01 1.31E-01 1.47E-07 8.65E-02  -9.268  -9.268
 -1.80   5.1718   1.800   -84.32  41.60  34.19  2.096  0.933 1.82E-01 1.81E-01 4.50E-07 8.36E-02  -9.231  -9.231
 -1.60   5.3580   1.744   -85.26  39.82  41.84  2.334  0.920 2.37E-01 2.37E-01 1.33E-06 7.83E-02  -9.188  -9.188
 -1.40   5.5407   1.676   -86.39  37.91  46.97  2.603  0.907 3.07E-01 3.06E-01 3.54E-06 7.15E-02  -9.136  -9.136
 -1.20   5.7224   1.607   -87.59  35.94  51.00  2.801  0.897 3.77E-01 3.77E-01 9.03E-06 6.36E-02  -9.076  -9.076
 -1.00   5.9001   1.526   -88.91  33.89  52.41  2.911  0.892 4.58E-01 4.58E-01 2.10E-05 5.02E-02  -9.009  -9.009
 -0.80   6.0794   1.455   -90.16  31.93  52.85  2.937  0.890 5.30E-01 5.30E-01 4.64E-05 4.25E-02  -8.934  -8.935
 -0.60   6.2579   1.385   -91.35  30.10  48.37  2.918  0.894 6.02E-01 6.02E-01 9.45E-05 3.41E-02  -8.857  -8.858
 -0.40   6.4381   1.323   -92.43  28.38  44.55  2.819  0.901 6.65E-01 6.65E-01 1.87E-04 2.70E-02  -8.775  -8.775
 -0.20   6.6192   1.267   -93.39  26.82  39.75  2.664  0.910 7.22E-01 7.22E-01 3.49E-04 2.07E-02  -8.689  -8.690
