 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    12.300
 -7.40  -1.9825   2.000   1.257 64.564  2.379  1.001  1.000 2.45E-04 3.32E-05 0.00E+00 4.08E-03 -4.042 -4.043
 -7.20  -1.7825   2.000   1.257 63.643  2.379  1.001  1.000 2.80E-04 3.86E-05 0.00E+00 4.71E-03 -4.015 -4.024
 -7.00  -1.5826   1.999   1.256 62.722  2.379  1.001  1.000 3.19E-04 4.50E-05 0.00E+00 5.42E-03 -3.988 -4.001
 -6.80  -1.3826   1.999   1.256 61.802  2.379  1.001  1.000 3.63E-04 5.24E-05 0.00E+00 6.23E-03 -3.948 -3.971
 -6.60  -1.1827   1.999   1.256 60.881  2.378  1.001  1.000 4.11E-04 6.10E-05 0.00E+00 7.16E-03 -3.889 -3.929
 -6.40  -0.9828   1.998   1.256 59.961  2.378  1.002  1.000 4.64E-04 7.11E-05 0.00E+00 8.20E-03 -3.818 -3.873
 -6.20  -0.7828   1.998   1.256 59.040  2.378  1.002  1.000 5.22E-04 8.29E-05 0.00E+00 9.38E-03 -3.755 -3.809
 -6.00  -0.5829   1.998   1.255 58.120  2.378  1.002  1.000 5.86E-04 9.68E-05 0.00E+00 1.07E-02 -3.714 -3.757
 -5.80  -0.3830   1.997   1.255 57.200  2.377  1.002  0.999 6.55E-04 1.13E-04 0.00E+00 1.22E-02 -3.621 -3.660
 -5.60  -0.1831   1.997   1.254 56.280  2.377  1.003  0.999 7.29E-04 1.33E-04 0.00E+00 1.38E-02 -3.502 -3.540
 -5.40   0.0168   1.996   1.254 55.360  2.377  1.003  0.999 8.10E-04 1.56E-04 0.00E+00 1.56E-02 -3.376 -3.410
 -5.20   0.2166   1.996   1.253 54.440  2.377  1.003  0.999 8.97E-04 1.83E-04 0.00E+00 1.76E-02 -3.239 -3.269
 -5.00   0.4165   1.995   1.253 53.518  2.377  1.003  0.999 9.91E-04 2.17E-04 0.00E+00 1.99E-02 -3.088 -3.115
 -4.80   0.6164   1.995   1.252 52.598  2.377  1.004  0.999 1.09E-03 2.58E-04 0.00E+00 2.23E-02 -2.929 -2.956
 -4.60   0.8162   1.994   1.251 51.678  2.378  1.004  0.999 1.21E-03 3.10E-04 3.86E-19 2.49E-02 -2.767 -2.792
 -4.40   1.0161   1.993   1.250 50.758  2.380  1.005  0.999 1.33E-03 3.76E-04 1.52E-18 2.76E-02 -2.603 -2.628
 -4.20   1.2159   1.993   1.248 49.838  2.384  1.005  0.999 1.48E-03 4.61E-04 5.99E-18 3.06E-02 -2.438 -2.462
 -4.00   1.4158   1.992   1.247 48.917  2.389  1.006  0.999 1.65E-03 5.73E-04 2.35E-17 3.36E-02 -2.270 -2.295
 -3.80   1.6156   1.991   1.244 47.996  2.399  1.006  0.999 1.87E-03 7.27E-04 9.25E-17 3.68E-02 -2.098 -2.126
