 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    12.400
 -7.40  -1.9825   2.000   0.966 64.707  2.368  1.001  1.000 2.84E-04 3.85E-05 0.00E+00 4.72E-03 -4.345 -4.345
 -7.20  -1.7826   1.999   0.966 63.786  2.368  1.001  1.000 3.25E-04 4.48E-05 0.00E+00 5.44E-03 -4.330 -4.331
 -7.00  -1.5826   1.999   0.966 62.866  2.367  1.001  1.000 3.70E-04 5.22E-05 0.00E+00 6.26E-03 -4.309 -4.314
 -6.80  -1.3827   1.999   0.966 61.945  2.367  1.001  1.000 4.20E-04 6.08E-05 0.00E+00 7.19E-03 -4.286 -4.294
 -6.60  -1.1828   1.998   0.966 61.025  2.367  1.001  1.000 4.76E-04 7.09E-05 0.00E+00 8.25E-03 -4.253 -4.267
 -6.40  -0.9828   1.998   0.965 60.105  2.367  1.002  1.000 5.37E-04 8.27E-05 0.00E+00 9.44E-03 -4.208 -4.229
 -6.20  -0.7829   1.998   0.965 59.185  2.366  1.002  1.000 6.05E-04 9.65E-05 0.00E+00 1.08E-02 -4.136 -4.177
 -6.00  -0.5830   1.997   0.965 58.264  2.366  1.002  0.999 6.78E-04 1.13E-04 0.00E+00 1.23E-02 -4.053 -4.108
 -5.80  -0.3831   1.997   0.965 57.345  2.366  1.002  0.999 7.58E-04 1.32E-04 0.00E+00 1.40E-02 -3.982 -4.031
 -5.60  -0.1833   1.996   0.964 56.425  2.365  1.003  0.999 8.45E-04 1.55E-04 0.00E+00 1.58E-02 -3.914 -3.955
 -5.40   0.0166   1.996   0.964 55.504  2.366  1.002  0.999 9.39E-04 1.83E-04 0.00E+00 1.80E-02 -3.797 -3.837
 -5.20   0.2165   1.995   0.963 54.584  2.365  1.003  0.999 1.04E-03 2.17E-04 0.00E+00 2.03E-02 -3.654 -3.696
 -5.00   0.4163   1.994   0.963 53.664  2.366  1.004  0.999 1.15E-03 2.59E-04 0.00E+00 2.28E-02 -3.506 -3.544
 -4.80   0.6162   1.994   0.962 52.744  2.367  1.004  0.999 1.27E-03 3.11E-04 3.92E-19 2.54E-02 -3.359 -3.396
 -4.60   0.8160   1.993   0.961 51.824  2.369  1.004  0.999 1.41E-03 3.77E-04 1.54E-18 2.83E-02 -3.198 -3.231
 -4.40   1.0159   1.992   0.960 50.904  2.373  1.005  0.999 1.57E-03 4.64E-04 6.08E-18 3.14E-02 -3.028 -3.060
 -4.20   1.2157   1.991   0.958 49.984  2.380  1.006  0.999 1.75E-03 5.79E-04 2.39E-17 3.47E-02 -2.853 -2.883
 -4.00   1.4155   1.991   0.956 49.064  2.391  1.006  0.999 1.98E-03 7.36E-04 9.38E-17 3.81E-02 -2.673 -2.703
 -3.80   1.6153   1.990   0.954 48.145  2.408  1.008  0.999 2.27E-03 9.56E-04 3.69E-16 4.14E-02 -2.489 -2.519
 -3.60   1.8151   1.989   0.950 47.224  2.436  1.009  0.999 2.65E-03 1.27E-03 1.44E-15 4.49E-02 -2.302 -2.332
 -3.40   2.0149   1.988   0.944 46.301  2.481  1.012  0.999 3.18E-03 1.72E-03 5.66E-15 4.86E-02 -2.111 -2.142
 -3.20   2.2145   1.986   0.936 45.377  2.550  1.015  0.998 3.93E-03 2.38E-03 2.21E-14 5.22E-02 -1.918 -1.950
 -3.00   2.4141   1.984   0.924 44.450  2.660  1.021  0.998 5.01E-03 3.36E-03 8.62E-14 5.59E-02 -1.720 -1.755
 -2.80   2.6136   1.982   0.906 43.515  2.839  1.021  0.997 6.60E-03 4.84E-03 3.34E-13 5.99E-02 -1.517 -1.555
 -2.60   2.8129   1.979   0.879 42.575  3.094  1.041  0.996 8.95E-03 7.06E-03 1.29E-12 6.36E-02 -1.320 -1.354
 -2.40   3.0118   1.974   0.839 41.623  3.497  1.060  0.994 1.25E-02 1.04E-02 4.97E-12 6.73E-02 -1.126 -1.163
 -2.20   3.2103   1.967   0.778 40.653  4.107  1.088  0.991 1.78E-02 1.55E-02 1.89E-11 7.09E-02 -0.931 -0.970
 -2.00   3.4082   1.957   0.687 39.657  5.012  1.129  0.987 2.57E-02 2.31E-02 7.11E-11 7.42E-02 -0.735 -0.775
 -1.80   3.6050   1.943   0.553 38.624  6.323  1.189  0.982 3.75E-02 3.43E-02 2.62E-10 7.71E-02 -0.542 -0.583
 -1.60   3.8007   1.924   0.358 37.538  8.149  1.274  0.974 5.46E-02 5.08E-02 9.42E-10 7.94E-02 -0.352 -0.394
 -1.40   3.9945   1.897   0.082 36.382 10.568  1.387  0.965 7.89E-02 7.40E-02 3.27E-09 8.05E-02 -0.168 -0.212
 -1.20   4.1861   1.860  -0.295 35.139 13.558  1.530  0.953 1.12E-01 1.06E-01 1.08E-08 8.03E-02  0.010 -0.035
 -1.00   4.3754   1.815  -0.788 33.800 16.925  1.698  0.939 1.56E-01 1.48E-01 3.40E-08 7.87E-02  0.187  0.140
 -0.80   4.5614   1.758  -1.405 32.363 20.335  1.877  0.925 2.10E-01 2.00E-01 9.97E-08 7.44E-02  0.367  0.320
 -0.60   4.7451   1.693  -2.125 30.851 23.285  2.047  0.911 2.74E-01 2.62E-01 2.71E-07 6.93E-02  0.561  0.514
 -0.40   4.9258   1.619  -2.926 29.293 25.463  2.184  0.902 3.46E-01 3.30E-01 6.88E-07 6.13E-02  0.741  0.695
 -0.20   5.1056   1.546  -3.765 27.728 26.477  2.278  0.896 4.20E-01 4.02E-01 1.61E-06 5.41E-02  0.915  0.871
  0.00   5.2847   1.473  -4.610 26.189 26.253  2.323  0.893 4.94E-01 4.73E-01 3.54E-06 4.65E-02  1.082  1.040
  0.20   5.4627   1.400  -5.424 24.718 25.264  2.299  0.897 5.67E-01 5.42E-01 7.36E-06 3.65E-02  1.238  1.198
  0.40   5.6427   1.337  -6.154 23.361 23.651  2.239  0.903 6.32E-01 6.05E-01 1.45E-05 3.03E-02  1.384  1.348
  0.60   5.8241   1.281  -6.806 22.109 21.685  2.145  0.911 6.90E-01 6.60E-01 2.73E-05 2.51E-02  1.518  1.485
  0.80   6.0073   1.232  -7.376 20.963 19.591  2.032  0.921 7.39E-01 7.08E-01 4.98E-05 2.10E-02  1.643  1.613
  1.00   6.1925   1.191  -7.864 19.918 17.531  1.910  0.931 7.82E-01 7.49E-01 8.81E-05 1.80E-02  1.752  1.725
  1.20   6.3792   1.155  -8.288 18.955 15.527  1.776  0.943 8.18E-01 7.84E-01 1.52E-04 1.51E-02  1.846  1.823
  1.40   6.5689   1.128  -8.627 18.090 13.853  1.665  0.953 8.46E-01 8.11E-01 2.58E-04 1.51E-02  1.929  1.910
  1.60   6.7606   1.107  -8.910 17.292 12.387  1.566  0.963 8.68E-01 8.32E-01 4.29E-04 1.60E-02  1.997  1.982
  1.80   6.9542   1.091  -9.147 16.549 11.117  1.479  0.973 8.84E-01 8.49E-01 7.00E-04 1.80E-02  2.043  2.033
  2.00   7.1498   1.080  -9.345 15.848 10.034  1.404  0.983 8.96E-01 8.61E-01 1.12E-03 2.12E-02  2.073  2.066
  2.20   7.3475   1.074  -9.512 15.181  9.131  1.342  0.995 9.02E-01 8.68E-01 1.76E-03 2.62E-02  2.079  2.073
  2.40   7.5477   1.074  -9.656 14.537  8.397  1.291  1.009 9.03E-01 8.69E-01 2.67E-03 3.40E-02  2.053  2.044
  2.60   7.7512   1.083  -9.784 13.901  7.831  1.255  1.028 8.96E-01 8.64E-01 3.87E-03 4.62E-02  1.999  1.987
  2.80   7.9590   1.103  -9.906 13.259  7.449  1.237  1.052 8.79E-01 8.50E-01 5.23E-03 6.63E-02  1.941  1.923
  3.00   8.1723   1.137 -10.038 12.585  7.297  1.246  1.083 8.46E-01 8.20E-01 6.34E-03 1.01E-01  1.899  1.870
  3.20   8.3917   1.189 -10.207 11.840  7.473  1.309  1.110 7.85E-01 7.64E-01 6.42E-03 1.63E-01  1.897  1.850
  3.40   8.6134   1.250 -10.471 10.958  8.159  1.466  1.098 6.74E-01 6.60E-01 4.75E-03 2.76E-01  1.922  1.862
  3.60   8.8244   1.282 -10.868  9.899  9.555  1.728  0.992 4.90E-01 4.83E-01 1.98E-03 4.60E-01  2.393  2.312
     5.350    12.400
 -7.40  -1.7825   2.000   1.119 64.290  2.383  1.001  1.000 2.76E-04 3.78E-05 0.00E+00 4.63E-03 -4.155 -4.156
 -7.20  -1.5826   1.999   1.119 63.370  2.382  1.001  1.000 3.15E-04 4.40E-05 0.00E+00 5.33E-03 -4.133 -4.141
 -7.00  -1.3826   1.999   1.119 62.449  2.382  1.001  1.000 3.57E-04 5.12E-05 0.00E+00 6.13E-03 -4.119 -4.125
 -6.80  -1.1827   1.999   1.119 61.529  2.382  1.001  1.000 4.05E-04 5.96E-05 0.00E+00 7.04E-03 -4.089 -4.103
 -6.60  -0.9827   1.999   1.119 60.609  2.382  1.001  1.000 4.58E-04 6.93E-05 0.00E+00 8.07E-03 -4.046 -4.072
