 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    14.600
 -7.40  -0.3830   1.998   -51.06  68.88   1.00  1.001  1.000 6.30E-04 1.01E-04 0.00E+00 1.13E-02  -8.956  -8.956
 -7.20  -0.1831   1.997   -51.06  67.96   1.00  1.001  0.999 7.06E-04 1.18E-04 0.00E+00 1.28E-02  -8.956  -8.956
 -7.00   0.0168   1.997   -51.05  67.04   1.00  1.001  0.999 7.89E-04 1.39E-04 0.00E+00 1.46E-02  -8.956  -8.956
 -6.80   0.2167   1.996   -51.05  66.13   1.01  1.001  0.999 8.77E-04 1.61E-04 0.00E+00 1.66E-02  -8.956  -8.956
 -6.60   0.4166   1.996   -51.05  65.21   1.01  1.001  0.999 9.73E-04 1.89E-04 0.00E+00 1.87E-02  -8.956  -8.956
 -6.40   0.6165   1.995   -51.05  64.29   1.01  1.002  0.999 1.07E-03 2.19E-04 0.00E+00 2.11E-02  -8.956  -8.956
 -6.20   0.8163   1.994   -51.05  63.38   1.01  1.002  0.999 1.18E-03 2.60E-04 0.00E+00 2.37E-02  -8.956  -8.956
 -6.00   1.0162   1.994   -51.05  62.46   1.01  1.002  0.999 1.29E-03 3.01E-04 0.00E+00 2.64E-02  -8.955  -8.955
 -5.80   1.2161   1.993   -51.05  61.55   1.01  1.002  0.999 1.42E-03 3.59E-04 0.00E+00 2.94E-02  -8.955  -8.955
 -5.60   1.4159   1.992   -51.05  60.63   1.02  1.002  0.999 1.55E-03 4.17E-04 2.65E-19 3.26E-02  -8.955  -8.955
 -5.40   1.6158   1.992   -51.05  59.72   1.02  1.003  0.999 1.70E-03 5.03E-04 1.04E-18 3.58E-02  -8.955  -8.955
 -5.20   1.8156   1.991   -51.04  58.80   1.03  1.003  0.999 1.87E-03 6.13E-04 4.11E-18 3.92E-02  -8.955  -8.955
 -5.00   2.0155   1.991   -51.04  57.89   1.04  1.003  0.999 2.04E-03 7.19E-04 1.61E-17 4.27E-02  -8.955  -8.955
 -4.80   2.2154   1.990   -51.04  56.97   1.05  1.004  0.999 2.27E-03 8.93E-04 6.33E-17 4.64E-02  -8.954  -8.954
 -4.60   2.4152   1.989   -51.04  56.06   1.07  1.005  0.999 2.50E-03 1.06E-03 2.49E-16 5.01E-02  -8.954  -8.954
 -4.40   2.6151   1.989   -51.04  55.15   1.10  1.006  0.999 2.84E-03 1.35E-03 9.75E-16 5.38E-02  -8.953  -8.953
 -4.20   2.8150   1.988   -51.04  54.23   1.13  1.007  0.999 3.18E-03 1.65E-03 3.81E-15 5.79E-02  -8.952  -8.952
 -4.00   3.0148   1.987   -51.05  53.31   1.19  1.009  0.999 3.74E-03 2.16E-03 1.49E-14 6.18E-02  -8.951  -8.951
