 Output of ioneqmn.

                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
  0.80   7.7329   1.646    -4.99  25.15   9.24  1.597  0.926 2.10E-01 2.10E-01 4.25E-06 1.48E-01  -1.783  -1.824
  1.00   7.9176   1.589    -5.42  23.97  10.22  1.670  0.921 2.49E-01 2.49E-01 9.08E-06 1.53E-01  -1.572  -1.610
  1.20   8.1016   1.531    -5.89  22.78  10.91  1.725  0.918 2.85E-01 2.84E-01 1.68E-05 1.61E-01  -1.364  -1.399
  1.40   8.2856   1.476    -6.35  21.63  11.20  1.757  0.919 3.13E-01 3.12E-01 2.56E-05 1.77E-01  -1.149  -1.184
  1.60   8.4700   1.424    -6.82  20.50  11.40  1.746  0.927 3.28E-01 3.27E-01 3.01E-05 2.01E-01  -0.929  -0.963
  1.80   8.6566   1.381    -7.25  19.42  11.22  1.711  0.940 3.24E-01 3.23E-01 2.38E-05 2.40E-01  -0.688  -0.724
  2.00   8.8464   1.348    -7.65  18.40  10.85  1.641  0.959 2.97E-01 2.97E-01 1.05E-05 2.96E-01  -0.398  -0.438
  2.20   9.0407   1.331    -7.99  17.44  10.35  1.532  0.986 2.45E-01 2.44E-01 1.85E-06 3.69E-01   0.041  -0.015
  2.40   9.2409   1.332    -8.26  16.57   9.80  1.379  1.017 1.69E-01 1.69E-01 7.96E-08 4.53E-01   0.516   0.407
  2.60   9.4472   1.351    -8.44  15.79   9.21  1.174  1.045 8.51E-02 8.50E-02 3.65E-10 5.27E-01   0.509   0.384
  2.80   9.6567   1.381    -8.51  15.11   8.35  0.931  1.040 2.29E-02 2.29E-02 4.84E-14 5.54E-01   0.450   0.340
  3.00   9.8582   1.386    -8.45  14.55   7.01  0.713  0.955 1.70E-03 1.70E-03 0.00E+00 5.05E-01   0.684   0.580
  3.20  10.0302   1.299    -8.34  14.04   5.07  0.697  0.737 1.02E-05 1.02E-05 0.00E+00 3.99E-01   1.165   1.060
  3.40  10.1432   1.063    -8.37  13.44   3.21  1.130  0.351 7.58E-10 7.58E-10 0.00E+00 2.71E-01   1.877   1.766
     5.800    13.500
 -7.40   0.0170   1.997    -2.18  62.79   1.37  1.001  1.000 6.46E-04 1.07E-04 0.00E+00 1.20E-02  -6.091  -6.091
 -7.20   0.2169   1.997    -2.18  61.87   1.37  1.001  0.999 7.19E-04 1.24E-04 0.00E+00 1.37E-02  -6.075  -6.075
 -7.00   0.4168   1.996    -2.18  60.95   1.37  1.001  0.999 7.96E-04 1.44E-04 0.00E+00 1.55E-02  -6.060  -6.060
 -6.80   0.6167   1.996    -2.18  60.03   1.37  1.001  0.999 8.79E-04 1.67E-04 0.00E+00 1.75E-02  -6.043  -6.043
 -6.60   0.8166   1.995    -2.18  59.12   1.37  1.002  0.999 9.66E-04 1.93E-04 0.00E+00 1.97E-02  -6.027  -6.027
 -6.40   1.0165   1.995    -2.18  58.20   1.37  1.002  0.999 1.06E-03 2.23E-04 0.00E+00 2.21E-02  -6.010  -6.010
 -6.20   1.2163   1.994    -2.18  57.28   1.37  1.001  0.999 1.15E-03 2.58E-04 0.00E+00 2.46E-02  -5.993  -5.993
 -6.00   1.4162   1.994    -2.18  56.37   1.37  1.002  0.999 1.25E-03 2.99E-04 0.00E+00 2.74E-02  -5.975  -5.975
 -5.80   1.6161   1.993    -2.18  55.45   1.37  1.002  0.999 1.36E-03 3.45E-04 0.00E+00 3.03E-02  -5.956  -5.956
 -5.60   1.8160   1.993    -2.17  54.54   1.37  1.002  0.999 1.47E-03 3.99E-04 0.00E+00 3.33E-02  -5.935  -5.935
 -5.40   2.0159   1.992    -2.17  53.62   1.37  1.002  0.999 1.58E-03 4.61E-04 0.00E+00 3.65E-02  -5.911  -5.911
 -5.20   2.2158   1.992    -2.17  52.71   1.37  1.003  0.999 1.71E-03 5.32E-04 0.00E+00 3.98E-02  -5.883  -5.883
 -5.00   2.4157   1.991    -2.17  51.80   1.37  1.003  0.999 1.84E-03 6.14E-04 0.00E+00 4.31E-02  -5.847  -5.848
 -4.80   2.6156   1.991    -2.17  50.88   1.37  1.003  1.000 1.98E-03 7.08E-04 0.00E+00 4.66E-02  -5.802  -5.804
 -4.60   2.8154   1.990    -2.17  49.97   1.37  1.003  0.999 2.13E-03 8.16E-04 0.00E+00 5.00E-02  -5.743  -5.748
 -4.40   3.0154   1.990    -2.17  49.06   1.37  1.003  0.999 2.30E-03 9.41E-04 0.00E+00 5.37E-02  -5.666  -5.677
 -4.20   3.2153   1.989    -2.17  48.14   1.37  1.003  0.999 2.47E-03 1.08E-03 0.00E+00 5.74E-02  -5.567  -5.588
 -4.00   3.4151   1.989    -2.17  47.23   1.37  1.003  0.999 2.66E-03 1.25E-03 0.00E+00 6.11E-02  -5.446  -5.481
 -3.80   3.6150   1.988    -2.17  46.32   1.37  1.004  0.999 2.85E-03 1.44E-03 0.00E+00 6.49E-02  -5.306  -5.358
 -3.60   3.8148   1.987    -2.16  45.40   1.37  1.004  0.999 3.05E-03 1.65E-03 2.02E-19 6.88E-02  -5.168  -5.226
 -3.40   4.0146   1.986    -2.16  44.49   1.37  1.005  0.999 3.26E-03 1.89E-03 7.92E-19 7.26E-02  -5.033  -5.096
 -3.20   4.2142   1.985    -2.16  43.58   1.37  1.005  0.999 3.50E-03 2.16E-03 3.09E-18 7.67E-02  -4.882  -4.955
 -3.00   4.4140   1.984    -2.16  42.67   1.37  1.006  0.999 3.76E-03 2.47E-03 1.21E-17 8.10E-02  -4.728  -4.811
