 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    14.400
 -7.40  -0.3830   1.998   -31.84  67.96   1.00  1.001  1.000 6.29E-04 9.96E-05 0.00E+00 1.13E-02  -8.552  -8.552
 -7.20  -0.1831   1.997   -31.84  67.04   1.00  1.001  0.999 7.04E-04 1.16E-04 0.00E+00 1.28E-02  -8.552  -8.552
 -7.00   0.0168   1.997   -31.84  66.12   1.00  1.001  0.999 7.85E-04 1.35E-04 0.00E+00 1.46E-02  -8.552  -8.552
 -6.80   0.2167   1.996   -31.84  65.20   1.01  1.001  0.999 8.72E-04 1.56E-04 0.00E+00 1.66E-02  -8.551  -8.551
 -6.60   0.4166   1.996   -31.84  64.29   1.01  1.001  0.999 9.66E-04 1.82E-04 0.00E+00 1.87E-02  -8.551  -8.551
 -6.40   0.6165   1.995   -31.84  63.37   1.01  1.001  0.999 1.06E-03 2.11E-04 0.00E+00 2.11E-02  -8.551  -8.551
 -6.20   0.8163   1.994   -31.84  62.46   1.01  1.002  0.999 1.17E-03 2.46E-04 0.00E+00 2.37E-02  -8.550  -8.550
 -6.00   1.0162   1.994   -31.84  61.54   1.01  1.002  0.999 1.28E-03 2.88E-04 0.00E+00 2.64E-02  -8.550  -8.550
 -5.80   1.2161   1.993   -31.83  60.62   1.01  1.002  0.999 1.39E-03 3.33E-04 0.00E+00 2.94E-02  -8.549  -8.549
 -5.60   1.4159   1.992   -31.83  59.71   1.01  1.002  0.999 1.52E-03 3.91E-04 0.00E+00 3.26E-02  -8.549  -8.549
 -5.40   1.6158   1.992   -31.83  58.80   1.01  1.002  0.999 1.65E-03 4.54E-04 0.00E+00 3.58E-02  -8.548  -8.548
 -5.20   1.8157   1.991   -31.83  57.88   1.02  1.002  0.999 1.79E-03 5.35E-04 2.70E-19 3.92E-02  -8.547  -8.547
 -5.00   2.0155   1.991   -31.83  56.97   1.02  1.003  0.999 1.94E-03 6.22E-04 1.06E-18 4.28E-02  -8.546  -8.546
