 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
  0.80   5.9732   1.139 -10.729 19.611 16.738  1.833  0.944 8.48E-01 8.33E-01 1.50E-04 9.29E-03  0.683  0.644
  1.00   6.1630   1.113 -11.088 18.734 14.545  1.703  0.954 8.75E-01 8.60E-01 2.52E-04 7.56E-03  0.850  0.814
  1.20   6.3543   1.091 -11.390 17.925 12.600  1.579  0.963 8.98E-01 8.82E-01 4.20E-04 5.97E-03  1.014  0.980
  1.40   6.5476   1.074 -11.628 17.189 11.075  1.483  0.970 9.15E-01 8.98E-01 6.89E-04 5.86E-03  1.174  1.144
  1.60   6.7423   1.061 -11.825 16.500  9.810  1.402  0.977 9.28E-01 9.11E-01 1.12E-03 6.21E-03  1.330  1.302
  1.80   6.9383   1.051 -11.988 15.850  8.777  1.336  0.983 9.37E-01 9.20E-01 1.80E-03 7.08E-03  1.473  1.449
  2.00   7.1357   1.045 -12.125 15.228  7.951  1.286  0.990 9.42E-01 9.26E-01 2.85E-03 8.61E-03  1.606  1.586
  2.20   7.3343   1.042 -12.245 14.624  7.311  1.250  0.997 9.44E-01 9.28E-01 4.46E-03 1.11E-02  1.715  1.698
  2.40   7.5345   1.042 -12.357 14.027  6.851  1.232  1.005 9.41E-01 9.25E-01 6.82E-03 1.53E-02  1.809  1.795
  2.60   7.7365   1.047 -12.471 13.424  6.578  1.235  1.015 9.32E-01 9.17E-01 1.01E-02 2.26E-02  1.867  1.854
  2.80   7.9406   1.057 -12.601 12.796  6.516  1.269  1.027 9.14E-01 8.99E-01 1.42E-02 3.63E-02  1.856  1.842
  3.00   8.1471   1.073 -12.744 12.140  3.963  1.329  1.037 8.81E-01 8.67E-01 1.84E-02 6.38E-02  1.762  1.743
  3.20   8.3546   1.092 -13.018 11.340  7.122  1.508  1.037 8.26E-01 8.15E-01 2.09E-02 1.16E-01  1.731  1.705
  3.40   8.5596   1.104 -13.395 10.414  7.640  1.754  1.006 7.37E-01 7.28E-01 1.86E-02 2.11E-01  1.801  1.757
  3.60   8.7540   1.090 -13.903  9.339  7.708  2.032  0.929 6.08E-01 6.01E-01 1.11E-02 3.57E-01  1.931  1.876
     5.350    12.600
 -7.40  -1.7826   1.999   0.415 64.606  2.203  1.001  1.000 3.58E-04 4.91E-05 0.00E+00 5.97E-03 -4.751 -4.751
 -7.20  -1.5827   1.999   0.415 63.686  2.202  1.001  1.000 4.08E-04 5.71E-05 0.00E+00 6.86E-03 -4.741 -4.741
 -7.00  -1.3827   1.999   0.415 62.765  2.202  1.001  1.000 4.63E-04 6.65E-05 0.00E+00 7.88E-03 -4.729 -4.729
 -6.80  -1.1828   1.998   0.415 61.845  2.202  1.001  1.000 5.25E-04 7.73E-05 0.00E+00 9.04E-03 -4.714 -4.716
 -6.60  -0.9829   1.998   0.415 60.926  2.201  1.002  1.000 5.93E-04 9.01E-05 0.00E+00 1.03E-02 -4.698 -4.700
 -6.40  -0.7830   1.997   0.415 60.006  2.201  1.002  0.999 6.67E-04 1.05E-04 0.00E+00 1.18E-02 -4.678 -4.682
 -6.20  -0.5831   1.997   0.415 59.086  2.200  1.002  0.999 7.48E-04 1.22E-04 0.00E+00 1.35E-02 -4.646 -4.655
 -6.00  -0.3832   1.996   0.415 58.167  2.199  1.002  0.999 8.36E-04 1.43E-04 0.00E+00 1.53E-02 -4.600 -4.615
 -5.80  -0.1834   1.996   0.415 57.248  2.199  1.003  0.999 9.31E-04 1.67E-04 0.00E+00 1.73E-02 -4.533 -4.563
 -5.60   0.0165   1.995   0.415 56.327  2.198  1.003  0.999 1.03E-03 1.95E-04 0.00E+00 1.97E-02 -4.438 -4.486
 -5.40   0.2164   1.994   0.414 55.408  2.198  1.003  0.999 1.14E-03 2.29E-04 0.00E+00 2.21E-02 -4.330 -4.388
 -5.20   0.4162   1.994   0.414 54.489  2.198  1.003  0.999 1.26E-03 2.70E-04 0.00E+00 2.48E-02 -4.246 -4.292
 -5.00   0.6160   1.993   0.414 53.570  2.198  1.004  0.999 1.39E-03 3.19E-04 1.43E-19 2.78E-02 -4.144 -4.175
