 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    12.100
 -7.40  -1.9824   2.000   1.651 64.255  2.262  1.001  1.000 1.75E-04 2.37E-05 0.00E+00 2.93E-03 -3.591 -3.623
 -7.20  -1.7824   2.000   1.651 63.334  2.262  1.001  1.000 2.00E-04 2.75E-05 0.00E+00 3.38E-03 -3.547 -3.589
 -7.00  -1.5825   2.000   1.651 62.413  2.262  1.001  1.000 2.28E-04 3.21E-05 0.00E+00 3.90E-03 -3.507 -3.548
 -6.80  -1.3825   2.000   1.650 61.492  2.262  1.001  1.000 2.59E-04 3.74E-05 0.00E+00 4.49E-03 -3.487 -3.522
 -6.60  -1.1825   1.999   1.650 60.571  2.262  1.001  1.000 2.94E-04 4.35E-05 0.00E+00 5.16E-03 -3.449 -3.476
 -6.40  -0.9826   1.999   1.650 59.651  2.262  1.001  1.000 3.32E-04 5.07E-05 0.00E+00 5.92E-03 -3.393 -3.415
 -6.20  -0.7827   1.999   1.650 58.730  2.261  1.001  1.000 3.74E-04 5.91E-05 0.00E+00 6.79E-03 -3.324 -3.343
 -6.00  -0.5827   1.999   1.649 57.809  2.261  1.002  1.000 4.19E-04 6.89E-05 0.00E+00 7.76E-03 -3.245 -3.261
 -5.80  -0.3828   1.998   1.649 56.889  2.261  1.002  1.000 4.69E-04 8.03E-05 0.00E+00 8.86E-03 -3.160 -3.173
 -5.60  -0.1829   1.998   1.648 55.968  2.261  1.002  1.000 5.22E-04 9.38E-05 0.00E+00 1.01E-02 -3.073 -3.085
 -5.40   0.0170   1.998   1.648 55.048  2.261  1.002  1.000 5.80E-04 1.10E-04 0.00E+00 1.14E-02 -2.988 -2.998
 -5.20   0.2169   1.997   1.647 54.127  2.261  1.003  1.000 6.41E-04 1.29E-04 0.00E+00 1.29E-02 -2.905 -2.913
 -5.00   0.4168   1.997   1.646 53.207  2.261  1.003  0.999 7.08E-04 1.51E-04 0.00E+00 1.46E-02 -2.824 -2.832
 -4.80   0.6167   1.996   1.646 52.287  2.261  1.003  0.999 7.79E-04 1.78E-04 0.00E+00 1.64E-02 -2.743 -2.753
 -4.60   0.8166   1.996   1.645 51.365  2.262  1.003  0.999 8.57E-04 2.11E-04 0.00E+00 1.84E-02 -2.658 -2.674
 -4.40   1.0165   1.995   1.644 50.444  2.262  1.004  0.999 9.43E-04 2.51E-04 1.25E-19 2.05E-02 -2.563 -2.593
 -4.20   1.2164   1.995   1.642 49.524  2.263  1.004  0.999 1.04E-03 3.02E-04 4.92E-19 2.28E-02 -2.449 -2.506
 -4.00   1.4163   1.994   1.641 48.603  2.265  1.005  0.999 1.15E-03 3.66E-04 1.94E-18 2.51E-02 -2.297 -2.404
 -3.80   1.6161   1.993   1.639 47.682  2.268  1.005  0.999 1.28E-03 4.50E-04 7.65E-18 2.76E-02 -2.045 -2.260
 -3.60   1.8160   1.993   1.637 46.761  2.273  1.006  0.999 1.44E-03 5.61E-04 3.01E-17 3.02E-02 -1.517 -1.905
 -3.40   2.0158   1.992   1.634 45.840  2.280  1.006  0.999 1.64E-03 7.11E-04 1.18E-16 3.29E-02 -1.498 -1.786
 -3.20   2.2156   1.991   1.631 44.918  2.292  1.008  0.999 1.91E-03 9.19E-04 4.65E-16 3.57E-02 -1.537 -1.816
 -3.00   2.4154   1.990   1.626 43.995  2.311  1.009  0.999 2.28E-03 1.21E-03 1.82E-15 3.85E-02 -1.466 -1.723
 -2.80   2.6150   1.988   1.620 43.074  2.340  1.012  0.998 2.78E-03 1.64E-03 7.17E-15 4.12E-02 -1.339 -1.587
 -2.60   2.8147   1.987   1.611 42.150  2.385  1.015  0.998 3.50E-03 2.26E-03 2.80E-14 4.41E-02 -1.180 -1.427
 -2.40   3.0141   1.984   1.599 41.223  2.455  1.020  0.997 4.55E-03 3.17E-03 1.09E-13 4.70E-02 -1.005 -1.254
 -2.20   3.2134   1.981   1.583 40.292  2.564  1.027  0.996 6.11E-03 4.53E-03 4.24E-13 5.00E-02 -0.826 -1.075
 -2.00   3.4125   1.977   1.558 39.356  2.731  1.037  0.994 8.43E-03 6.58E-03 1.64E-12 5.30E-02 -0.642 -0.890
 -1.80   3.6111   1.971   1.523 38.410  2.986  1.053  0.992 1.20E-02 9.65E-03 6.26E-12 5.60E-02 -0.455 -0.700
 -1.60   3.8093   1.962   1.471 37.453  3.367  1.077  0.990 1.73E-02 1.42E-02 2.37E-11 5.90E-02 -0.266 -0.508
 -1.40   4.0068   1.951   1.396 36.473  3.933  1.110  0.986 2.51E-02 2.11E-02 8.84E-11 6.21E-02 -0.079 -0.317
 -1.20   4.2033   1.935   1.287 35.468  4.742  1.157  0.980 3.65E-02 3.11E-02 3.23E-10 6.46E-02  0.105 -0.127
 -1.00   4.3986   1.915   1.133 34.427  5.856  1.222  0.973 5.30E-02 4.56E-02 1.15E-09 6.71E-02  0.283  0.060
 -0.80   4.5920   1.886   0.919 33.336  7.329  1.309  0.963 7.61E-02 6.61E-02 3.95E-09 6.81E-02  0.456  0.244
 -0.60   4.7835   1.849   0.631 32.189  9.125  1.416  0.951 1.08E-01 9.36E-02 1.29E-08 6.91E-02  0.621  0.421
 -0.40   4.9720   1.801   0.260 30.980 11.166  1.540  0.939 1.48E-01 1.30E-01 4.01E-08 6.77E-02  0.772  0.585
 -0.20   5.1585   1.746  -0.195 29.709 13.246  1.669  0.926 1.98E-01 1.74E-01 1.16E-07 6.71E-02  0.908  0.735
  0.00   5.3425   1.682  -0.726 28.390 15.126  1.792  0.914 2.56E-01 2.26E-01 3.13E-07 6.54E-02  1.030  0.874
  0.20   5.5235   1.611  -1.329 27.026 16.551  1.895  0.905 3.22E-01 2.84E-01 7.86E-07 6.04E-02  1.145  1.008
  0.40   5.7041   1.540  -1.940 25.692 17.398  1.963  0.901 3.88E-01 3.44E-01 1.84E-06 5.81E-02  1.256  1.139
  0.60   5.8842   1.471  -2.554 24.388 17.669  1.996  0.900 4.55E-01 4.04E-01 4.05E-06 5.54E-02  1.369  1.271
  0.80   6.0646   1.406  -3.143 23.140 17.422  1.993  0.904 5.18E-01 4.62E-01 8.40E-06 5.30E-02  1.485  1.404
  1.00   6.2460   1.347  -3.695 21.956 16.801  1.960  0.910 5.77E-01 5.15E-01 1.66E-05 5.09E-02  1.600  1.536
  1.20   6.4276   1.291  -4.235 20.809 15.871  1.894  0.920 6.31E-01 5.65E-01 3.16E-05 4.70E-02  1.714  1.664
  1.40   6.6124   1.247  -4.685 19.774 14.802  1.823  0.929 6.74E-01 6.06E-01 5.75E-05 4.86E-02  1.820  1.782
  1.60   6.7993   1.210  -5.081 18.813 13.683  1.741  0.939 7.09E-01 6.40E-01 1.01E-04 5.22E-02  1.915  1.886
  1.80   6.9884   1.180  -5.425 17.918 12.581  1.654  0.952 7.35E-01 6.66E-01 1.71E-04 5.87E-02  1.997  1.972
  2.00   7.1802   1.158  -5.719 17.082 11.548  1.568  0.966 7.52E-01 6.84E-01 2.78E-04 6.92E-02  2.062  2.035
  2.20   7.3751   1.144  -5.970 16.297 10.615  1.483  0.983 7.57E-01 6.93E-01 4.29E-04 8.55E-02  2.105  2.073
  2.40   7.5737   1.141  -6.180 15.552  9.807  1.399  1.005 7.49E-01 6.91E-01 6.20E-04 1.10E-01  2.127  2.085
  2.60   7.7773   1.150  -6.353 14.837  9.147  1.312  1.033 7.22E-01 6.72E-01 8.09E-04 1.48E-01  2.135  2.079
  2.80   7.9872   1.177  -6.478 14.154  8.681  1.216  1.069 6.68E-01 6.29E-01 9.07E-04 2.08E-01  2.130  2.055
  3.00   8.2053   1.227  -6.601 13.446  8.104  1.096  1.114 5.74E-01 5.48E-01 8.03E-04 3.00E-01  2.129  2.038
  3.20   8.4309   1.301  -6.645 12.775 10.042  0.879  1.107 4.09E-01 3.97E-01 4.80E-04 4.48E-01  2.283  2.172
  3.40   8.6534   1.370  -6.554 12.190  9.337  0.618  1.061 1.71E-01 1.69E-01 1.41E-04 6.36E-01  2.757  2.620
  3.60   8.8393   1.327  -6.296 11.787  9.605  0.252  0.744 1.54E-02 1.54E-02 1.11E-05 6.77E-01  3.426  3.283
     5.350    12.100
 -7.40  -1.7824   2.000   1.715 63.823  2.225  1.001  1.000 1.67E-04 2.28E-05 0.00E+00 2.82E-03 -3.623 -3.646
 -7.20  -1.5824   2.000   1.715 62.902  2.225  1.001  1.000 1.90E-04 2.66E-05 0.00E+00 3.25E-03 -3.584 -3.611
 -7.00  -1.3824   2.000   1.715 61.981  2.225  1.001  1.000 2.16E-04 3.09E-05 0.00E+00 3.74E-03 -3.558 -3.582
 -6.80  -1.1825   2.000   1.715 61.060  2.225  1.001  1.000 2.45E-04 3.60E-05 0.00E+00 4.31E-03 -3.527 -3.544
 -6.60  -0.9825   2.000   1.715 60.139  2.225  1.001  1.000 2.77E-04 4.19E-05 0.00E+00 4.95E-03 -3.482 -3.496
 -6.40  -0.7826   1.999   1.714 59.219  2.225  1.001  1.000 3.12E-04 4.88E-05 0.00E+00 5.68E-03 -3.428 -3.440
 -6.20  -0.5826   1.999   1.714 58.298  2.225  1.001  1.000 3.51E-04 5.68E-05 0.00E+00 6.50E-03 -3.368 -3.377
 -6.00  -0.3827   1.999   1.714 57.377  2.225  1.002  1.000 3.92E-04 6.61E-05 0.00E+00 7.43E-03 -3.302 -3.310
 -5.80  -0.1828   1.998   1.713 56.457  2.225  1.002  1.000 4.37E-04 7.70E-05 0.00E+00 8.47E-03 -3.234 -3.241
 -5.60   0.0172   1.998   1.713 55.537  2.225  1.002  1.000 4.86E-04 8.97E-05 0.00E+00 9.63E-03 -3.167 -3.173
 -5.40   0.2171   1.998   1.712 54.616  2.225  1.002  1.000 5.37E-04 1.05E-04 0.00E+00 1.09E-02 -3.101 -3.106
 -5.20   0.4170   1.997   1.712 53.696  2.225  1.002  1.000 5.92E-04 1.22E-04 0.00E+00 1.23E-02 -3.036 -3.041
 -5.00   0.6169   1.997   1.711 52.776  2.225  1.003  1.000 6.51E-04 1.43E-04 0.00E+00 1.39E-02 -2.970 -2.977
 -4.80   0.8168   1.996   1.710 51.856  2.225  1.003  0.999 7.13E-04 1.67E-04 0.00E+00 1.55E-02 -2.901 -2.912
 -4.60   1.0167   1.996   1.709 50.934  2.225  1.003  0.999 7.82E-04 1.96E-04 0.00E+00 1.74E-02 -2.824 -2.846
 -4.40   1.2166   1.996   1.708 50.014  2.225  1.003  0.999 8.56E-04 2.31E-04 0.00E+00 1.94E-02 -2.734 -2.776
 -4.20   1.4165   1.995   1.707 49.093  2.225  1.004  0.999 9.35E-04 2.73E-04 0.00E+00 2.15E-02 -2.612 -2.696
 -4.00   1.6164   1.995   1.706 48.173  2.226  1.004  0.999 1.03E-03 3.25E-04 3.72E-19 2.37E-02 -2.412 -2.588
 -3.80   1.8163   1.994   1.704 47.253  2.227  1.005  0.999 1.13E-03 3.89E-04 1.47E-18 2.60E-02 -1.947 -2.344
 -3.60   2.0161   1.993   1.702 46.332  2.229  1.005  0.999 1.25E-03 4.70E-04 5.79E-18 2.83E-02 -1.755 -2.090
 -3.40   2.2160   1.993   1.700 45.411  2.232  1.006  0.999 1.40E-03 5.75E-04 2.28E-17 3.08E-02 -1.886 -2.183
 -3.20   2.4158   1.992   1.697 44.491  2.237  1.006  0.999 1.59E-03 7.12E-04 8.96E-17 3.33E-02 -1.869 -2.132
